strain,accession,subtype,date,host,country,region,species,broad,order,n_segments
A/canine/Alabama/CVM-194456-1/2022|2022-08-24,EPI2907458,H3N2,2022-08-24,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Beijing/1016/2018|2018-10-01,ON877532,H3N2,2018-10-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/1028/2010|2010-02-02,EPI407500,H3N2,2010-02-02,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/1102/2018|2018-11-01,ON877556,H3N2,2018-11-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/1103/2018|2018-11-01,ON877564,H3N2,2018-11-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/1115/2019|2019-12-01,ON877572,H3N2,2019-12-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/1167/2019|2019-04-01,ON877580,H3N2,2019-04-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/1183/2019|2019-05-01,ON877589,H3N2,2019-05-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/1364/2019|2019-08-01,ON877596,H3N2,2019-08-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/1372/2019|2019-08-01,ON877604,H3N2,2019-08-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/1389/2019|2019-09-01,ON877612,H3N2,2019-09-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/18/2019|2019-03-01,ON877620,H3N2,2019-03-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20121215-34/2012|2012-12-15,EPI1554902,H3N2,2012-12-15,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20121230-62/2012|2012-12-30,EPI1554878,H3N2,2012-12-30,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/20131112-279/2013|2013-11-12,MK212555,H3N2,2013-11-12,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20131203-341/2013|2013-12-03,EPI1554935,H3N2,2013-12-03,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20131203-342/2013|2013-12-03,EPI1554926,H3N2,2013-12-03,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20131204-349/2013|2013-12-04,EPI1554918,H3N2,2013-12-04,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20131207-365/2013|2013-12-07,EPI1554910,H3N2,2013-12-07,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20140103-90/2014|2014-01-03,EPI1555217,H3N2,2014-01-03,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20140110-2/2014|2014-01-10,EPI1555209,H3N2,2014-01-10,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20150118-256/2015|2015-01-18,EPI1555201,H3N2,2015-01-18,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/20150120-265/2015|2015-01-20,MK212803,H3N2,2015-01-20,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20150122-284/2015|2015-01-22,EPI1555185,H3N2,2015-01-22,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/20150124-300/2015|2015-01-24,EPI1555177,H3N2,2015-01-24,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/20161216-8/2016|2016-12-16,MK212507,H3N2,2016-12-16,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20161228-9/2016|2016-12-28,MK212499,H3N2,2016-12-28,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170314-73/2017|2017-03-14,MK212779,H3N2,2017-03-14,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170417-81/2017|2017-04-17,MK212771,H3N2,2017-04-17,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170417-83/2017|2017-04-17,MK212763,H3N2,2017-04-17,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170424-102/2017|2017-04-24,MK212755,H3N2,2017-04-24,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170501-108/2017|2017-05-01,MK212747,H3N2,2017-05-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170510-118/2017|2017-05-10,MK212739,H3N2,2017-05-10,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170512-120/2017|2017-05-12,MK212731,H3N2,2017-05-12,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170512-121/2017|2017-05-12,MK212723,H3N2,2017-05-12,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170512-122/2017|2017-05-12,MK212715,H3N2,2017-05-12,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170512-133/2017|2017-05-12,MK212707,H3N2,2017-05-12,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170512-137/2017|2017-05-12,MK212699,H3N2,2017-05-12,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170527-146/2017|2017-05-27,MK212691,H3N2,2017-05-27,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170528-147/2017|2017-05-28,MK212683,H3N2,2017-05-28,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170528-148/2017|2017-05-28,MK212675,H3N2,2017-05-28,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170604-164/2017|2017-06-04,MK212667,H3N2,2017-06-04,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170610-172/2017|2017-06-10,MK212659,H3N2,2017-06-10,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170610-173/2017|2017-06-10,MK212651,H3N2,2017-06-10,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170610-174/2017|2017-06-10,MK212643,H3N2,2017-06-10,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170612-183/2017|2017-06-12,MK212635,H3N2,2017-06-12,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170614-185/2017|2017-06-14,MK212627,H3N2,2017-06-14,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170615-195/2017|2017-06-15,MK212619,H3N2,2017-06-15,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170616-200/2017|2017-06-16,MK212611,H3N2,2017-06-16,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170616-202/2017|2017-06-16,MK212603,H3N2,2017-06-16,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170618-206/2017|2017-06-18,MK212595,H3N2,2017-06-18,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170709-15/2017|2017-07-09,MK212587,H3N2,2017-07-09,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170711-16/2017|2017-07-11,MK212579,H3N2,2017-07-11,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170712-18/2017|2017-07-12,MK212571,H3N2,2017-07-12,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/20170720-30/2017|2017-07-20,MK212563,H3N2,2017-07-20,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/253/2009|2009-12-09,EPI407573,H3N2,2009-12-09,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/295/2009|2009-12-14,EPI407556,H3N2,2009-12-14,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/305/2009|2009-12-13,EPI407548,H3N2,2009-12-13,Canine,China,China,Canine,Canine,Canine,8
