	given_date	apparent_date	residual
A/canine/Beijing/20150124-300/2015|2015-01-24	2015.07	1983.0294772146055	-9.916445066941325
A/canine/Beijing/20150120-265/2015|2015-01-20	2015.05	1995.9628721489896	-5.907408442989345
A/canine/Beijing/20150122-284/2015|2015-01-22	2015.06	1995.9628721489896	-5.910503412797795
A/canine/Beijing/20121230-62/2012|2012-12-30	2012.99	1999.4474938094872	-4.191364779108702
A/canine/Beijing/20150118-256/2015|2015-01-18	2015.05	1999.4474938094872	-4.828928559660174
A/canine/Beijing/20131204-349/2013|2013-12-04	2013.92	1999.4483313300752	-4.4789377612060175
A/canine/China/JLM2/2015|2015-11-25	2015.89	2001.1548297799684	-4.560490695413496
A/canine/China/LG2/2015|2015-12-16	2015.95	2001.1557008013801	-4.578790935767238
A/canine/China/LG1/2015|2015-12-16	2015.95	2002.0099969270623	-4.314388864116605
A/canine/China/JLM1/2015|2015-11-25	2015.89	2002.0155664389745	-4.294095298144044
A/canine/Beijing/20131203-341/2013|2013-12-03	2013.91	2000.3736575768507	-4.189457111719123
A/canine/California/043670/2017|2017-03-24	2017.23	2004.080046313924	-4.069870964160487
A/canine/California/20170411-20/2017|2017-04-01	2017.25	2004.080046313924	-4.076060903777388
A/canine/Beijing/20131207-365/2013|2013-12-07	2013.92	2000.3744950974392	-4.192292871434059
A/canine/Beijing/20140110-2/2014|2014-01-10	2014.03	2000.3744950974392	-4.226337539327588
A/canine/Beijing/20131112-279/2013|2013-11-12	2013.85	2000.3744950974392	-4.170628082774561
A/canine/Beijing/20131203-342/2013|2013-12-03	2013.91	2000.3744950974392	-4.189197901625609
A/canine/Beijing/20121215-34/2012|2012-12-15	2012.95	1998.5247638765354	-4.464567028263495
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2020.107501932864	5.811580156130148
