	given_date	apparent_date	residual
A/canine/Korea/S1/2012|2012-11-05	2012.84	2002.5798106347042	-4.495580295043373
A/canine/Korea/SH1/2014|2014-09-01	2014.66	2005.1739154530044	-4.156400359513355
A/canine/Beijing/20150118-256/2015|2015-01-18	2015.05	2026.082818464741	4.834113633091773
A/canine/Beijing/20150120-265/2015|2015-01-20	2015.05	2026.082463151597	4.833957949925429
A/canine/Beijing/20150122-284/2015|2015-01-22	2015.06	2027.3713661349302	5.3943190550131215
A/canine/Beijing/20150124-300/2015|2015-01-24	2015.07	2027.3713661349302	5.389937478674677
A/canine/China/LG2/2015|2015-12-16	2015.95	2027.3052870008335	4.975405683853848
A/canine/Korea/AS-09/2012|2012-10-15	2012.78	2002.471125964944	-4.516911854749904
A/canine/Korea/AS-05/2012|2012-07-14	2012.53	2002.471125964944	-4.407372446290051
A/canine/Korea/AS-08/2012|2012-09-17	2012.7	2002.471125964944	-4.481859244042709
A/canine/Beijing/CAU-JC2538/2010|2010-08-01	2010.58	2020.6801957217062	4.425477858738872
A/canine/Beijing/CAU-JC2550/2010|2010-08-01	2010.58	2020.6801957217062	4.425477858738872
A/canine/Beijing/CAU-510/2010|2010-05-01	2010.33	2020.684341041714	4.536833570804835
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2021.3289064157982	8.762673514524272
