	given_date	apparent_date	residual
A/canine/Guangdong/1/2006|2006-06-01	2006.41	2013.3155912093964	4.5916276419183335
A/canine/Guangdong/02/2013|2013-04-01	2013.25	2006.68444129211	-4.365535105345532
A/canine/Guangdong/02/2014|2014-02-01	2014.08	2007.4548844472395	-4.405135314347155
A/canine/Guangdong/01/2013|2013-04-01	2013.25	2006.2979460660426	-4.622521380621419
A/canine/Guangdong/03/2013|2013-11-01	2013.82	2006.3003089036104	-4.999951553733656
A/canine/Beijing/20150122-284/2015|2015-01-22	2015.06	2021.8610787455814	4.5221357905725
A/canine/China/LG1/2015|2015-12-16	2015.95	2026.4589234900063	6.987535479635685
A/canine/China/LG2/2015|2015-12-16	2015.95	2025.302951324915	6.218912839578588
A/canine/Beijing/CAU-511/2011|2011-05-01	2011.33	2020.2511343351125	5.931791466982974
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2021.4114983915936	13.35247921720515
A/canine/Beijing/CAU-510/2010|2010-05-01	2010.33	2021.0258815438037	7.111846598215742
A/canine/Beijing/CAU-JC2538/2010|2010-08-01	2010.58	2021.4140017696857	7.203684737462068
A/canine/Beijing/CAU-JC2550/2010|2010-08-01	2010.58	2021.4140017696857	7.203684737462068
