#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.059414, 0.000227
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.059414, -0.000454
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.059414, 0.000227
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.022644, -0.039595
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.038087, -0.024131
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.038087, -0.024142
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.041283, -0.019723
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.042301, -0.018811
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.045708, -0.018829
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.045708, -0.018851
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.041282, -0.019734
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.041282, -0.019851
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.041282, -0.019660
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.041282, -0.019724
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.042214, -0.020897
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.042215, -0.020960
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.043236, -0.019940
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.043242, -0.019869
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.040180, -0.019847
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.040180, -0.022038
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.040181, -0.020835
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.041285, -0.018700
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.046402, -0.012615
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.045449, -0.014270
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.045449, -0.014281
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.044414, -0.014858
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.044414, -0.014964
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.046367, -0.013873
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.050460, -0.007175
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.049443, -0.007584
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.049443, -0.007754
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.049443, -0.007754
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.049443, -0.007308
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.049443, -0.007669
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.051436, -0.005336
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.054500, -0.002358
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.051440, -0.005503
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.052455, -0.005541
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.051438, -0.005845
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.050418, -0.006365
