	given_date	apparent_date	residual
A/canine/Korea/S1/2012|2012-11-05	2012.84	2002.5818072166026	-4.497053338996268
A/canine/Korea/SH1/2014|2014-09-01	2014.66	2005.1756802731259	-4.1577978301284135
A/canine/Beijing/20150118-256/2015|2015-01-18	2015.05	2026.0876771258338	4.83876875991551
A/canine/Beijing/20150120-265/2015|2015-01-20	2015.05	2026.0873127000984	4.838609000588935
A/canine/Beijing/20150122-284/2015|2015-01-22	2015.06	2027.3762136408955	5.399261921380739
A/canine/Beijing/20150124-300/2015|2015-01-24	2015.07	2027.3762136408955	5.394878056275096
A/canine/China/LG2/2015|2015-12-16	2015.95	2027.3036929195603	4.977305821010104
A/canine/Korea/AS-09/2012|2012-10-15	2012.78	2002.4705894547762	-4.519506514882263
A/canine/Korea/AS-05/2012|2012-07-14	2012.53	2002.4705894547762	-4.4099098872413585
A/canine/Korea/AS-08/2012|2012-09-17	2012.7	2002.4705894547762	-4.484435594037117
A/canine/Beijing/CAU-JC2538/2010|2010-08-01	2010.58	2020.679977722175	4.4276939903884385
A/canine/Beijing/CAU-JC2550/2010|2010-08-01	2010.58	2020.679977722175	4.4276939903884385
A/canine/Beijing/CAU-510/2010|2010-05-01	2010.33	2020.6841139542712	4.539103886384701
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2021.3307965322988	8.768079400275367
