	given_date	apparent_date	residual
A/canine/Korea/AS-01/2009|2009-09-18	2009.71	2000.1665496599628	-4.092546496482786
A/canine/Guangdong/03/2013|2013-11-01	2013.82	2004.2066741349854	-4.122511427901438
A/canine/Beijing/20150122-284/2015|2015-01-22	2015.06	2027.4638636408017	5.319186130518173
A/canine/Beijing/20150120-265/2015|2015-01-20	2015.05	2025.7011205822207	4.5675520560432235
A/canine/Beijing/20150124-300/2015|2015-01-24	2015.07	2025.7011205822207	4.5589753959241595
A/canine/China/LG1/2015|2015-12-16	2015.95	2034.336383268374	7.884688005583573
A/canine/China/LG2/2015|2015-12-16	2015.95	2032.6091048916292	7.143974027166225
A/canine/Korea/CY053/2014|2014-03-02	2014.17	2004.285906838587	-4.238625381529737
A/canine/Korea/KRIBB01/2011|2011-11-01	2011.82	2000.2392697822274	-4.966199350419911
A/canine/Korea/S1/2012|2012-11-05	2012.84	2002.969433164033	-4.232824846729259
A/canine/Korea/AS-15/2013|2013-09-11	2013.69	2004.2928001958487	-4.029829439556607
A/canine/Korea/AS-05/2012|2012-07-14	2012.53	2003.1540044459937	-4.020736357227906
A/canine/Korea/AS-08/2012|2012-09-17	2012.7	2003.1553174664243	-4.093074901741828
A/canine/Korea/AS-09/2012|2012-10-15	2012.78	2003.1553174664243	-4.127381542218083
A/canine/Korea/VC123578/2012|2012-03-13	2012.2	2241.83087990869	98.47330049091164
A/canine/China/11071/2019|2019-02-11	2019.11	2084.5052577053034	28.04364493684655
A/canine/Guangdong/GY01/2018|2018-05-01	2018.33	2084.5052577053034	28.378134681490028
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2021.6780179027874	8.72590168244096
A/canine/Beijing/CAU-510/2010|2010-05-01	2010.33	2021.1015888034526	4.619212805475943
A/canine/Beijing/CAU-JC2538/2010|2010-08-01	2010.58	2021.6810115893695	4.760480168990168
A/canine/Beijing/CAU-JC2550/2010|2010-08-01	2010.58	2021.6810115893695	4.760480168990168
