Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 4.670392

Equilibrium frequencies (pi_i):
  A: 0.1348
  B: 0.0644
  C: 0.1004
  D: 0.1166
  E: 0.1422
  F: 0.114
  G: 0.0743
  H: 0.1175
  I: 0.0149
  J: 0.1208

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.5861	0.4247	0.6004	0.605	0.603	1.1217	0.6046	1.22	0.6051
  B	0.5861	0	9.1413	0.8987	0.5845	0.5887	0.9613	0.588	9.3378	0.589
  C	0.4247	9.1413	0	0.9121	0.2636	0.4422	5.8374	0.8804	28.9848	0.3981
  D	0.6004	0.8987	0.9121	0	0.6012	0.7928	1.6755	0.9835	4.1005	0.602
  E	0.605	0.5845	0.2636	0.6012	0	0.604	0.9724	0.6058	1.1285	0.6063
  F	0.603	0.5887	0.4422	0.7928	0.604	0	0.5643	1.2464	2.604	0.6043
  G	1.1217	0.9613	5.8374	1.6755	0.9724	0.5643	0	0.5911	34.9676	0.8173
  H	0.6046	0.588	0.8804	0.9835	0.6058	1.2464	0.5911	0	0.8547	0.6058
  I	1.22	9.3378	28.9848	4.1005	1.1285	2.604	34.9676	0.8547	0	1.7337
  J	0.6051	0.589	0.3981	0.602	0.6063	0.6043	0.8173	0.6058	1.7337	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.079	0.0572	0.0809	0.0815	0.0813	0.1512	0.0815	0.1644	0.0815
  B	0.0377	0	0.5886	0.0579	0.0376	0.0379	0.0619	0.0379	0.6012	0.0379
  C	0.0427	0.9182	0	0.0916	0.0265	0.0444	0.5864	0.0884	2.9115	0.04
  D	0.07	0.1048	0.1064	0	0.0701	0.0925	0.1954	0.1147	0.4783	0.0702
  E	0.0861	0.0831	0.0375	0.0855	0	0.0859	0.1383	0.0862	0.1605	0.0862
  F	0.0687	0.0671	0.0504	0.0904	0.0688	0	0.0643	0.1421	0.2968	0.0689
  G	0.0833	0.0714	0.4337	0.1245	0.0723	0.0419	0	0.0439	2.5982	0.0607
  H	0.0711	0.0691	0.1035	0.1156	0.0712	0.1465	0.0695	0	0.1005	0.0712
  I	0.0182	0.1393	0.4325	0.0612	0.0168	0.0389	0.5218	0.0128	0	0.0259
  J	0.0731	0.0712	0.0481	0.0727	0.0733	0.073	0.0987	0.0732	0.2094	0
