Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.05916

Equilibrium frequencies (pi_i):
  A: 0.1116
  B: 0.0701
  C: 0.0485
  D: 0.0783
  E: 0.1149
  F: 0.0829
  G: 0.0649
  H: 0.2229
  I: 0.123
  J: 0.0829

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.283	0.5884	0.4029	0.5182	0.4946	0.6756	0.4447	0.3168	0.5798
  B	0.283	0	3.0132	5.8869	4.6095	1.2824	0.371	0.2392	4.5252	4.7637
  C	0.5884	3.0132	0	0.9333	6.3775	1.3257	0.5874	0.2274	1.8558	4.2507
  D	0.4029	5.8869	0.9333	0	2.9437	0.7925	0.3503	0.301	0.7346	1.06
  E	0.5182	4.6095	6.3775	2.9437	0	1.3258	3.21	0.1381	0.8626	0.8561
  F	0.4946	1.2824	1.3257	0.7925	1.3258	0	0.6897	0.4744	0.8367	0.3664
  G	0.6756	0.371	0.5874	0.3503	3.21	0.6897	0	0.321	0.391	0.4983
  H	0.4447	0.2392	0.2274	0.301	0.1381	0.4744	0.321	0	0.4104	2.4383
  I	0.3168	4.5252	1.8558	0.7346	0.8626	0.8367	0.391	0.4104	0	1.4515
  J	0.5798	4.7637	4.2507	1.06	0.8561	0.3664	0.4983	2.4383	1.4515	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0316	0.0657	0.045	0.0578	0.0552	0.0754	0.0496	0.0353	0.0647
  B	0.0198	0	0.2111	0.4125	0.323	0.0899	0.026	0.0168	0.3171	0.3338
  C	0.0285	0.146	0	0.0452	0.309	0.0642	0.0285	0.011	0.0899	0.206
  D	0.0315	0.461	0.0731	0	0.2305	0.0621	0.0274	0.0236	0.0575	0.083
  E	0.0595	0.5294	0.7325	0.3381	0	0.1523	0.3687	0.0159	0.0991	0.0983
  F	0.041	0.1063	0.1099	0.0657	0.1099	0	0.0572	0.0393	0.0694	0.0304
  G	0.0439	0.0241	0.0382	0.0228	0.2085	0.0448	0	0.0208	0.0254	0.0324
  H	0.0991	0.0533	0.0507	0.0671	0.0308	0.1057	0.0716	0	0.0915	0.5436
  I	0.039	0.5566	0.2283	0.0904	0.1061	0.1029	0.0481	0.0505	0	0.1786
  J	0.0481	0.3951	0.3525	0.0879	0.071	0.0304	0.0413	0.2022	0.1204	0
