Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 5.66112

Equilibrium frequencies (pi_i):
  A: 0.1014
  B: 0.0424
  C: 0.0928
  D: 0.0856
  E: 0.07
  F: 0.1487
  G: 0.0384
  H: 0.01
  I: 0.068
  J: 0.0437
  K: 0.0653
  L: 0.2337

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	14.2163	0.4001	0.7982	0.7635	0.3264	10.3075	0.8333	0.4438	8.8083	1.3487	0.5041
  B	14.2163	0	0.6248	0.6139	0.7472	0.6165	0.772	0.6152	0.6278	1.5886	0.6286	0.4829
  C	0.4001	0.6248	0	0.6091	0.9188	0.637	0.6192	0.5924	0.6371	0.6213	0.6367	0.3974
  D	0.7982	0.6139	0.6091	0	0.8915	3.5812	0.6094	0.5929	0.6159	0.6097	0.6164	0.7618
  E	0.7635	0.7472	0.9188	0.8915	0	0.5975	0.6206	0.6005	0.6185	0.6323	0.6197	0.6139
  F	0.3264	0.6165	0.637	3.5812	0.5975	0	0.6081	0.8518	0.636	0.6113	0.6355	0.3233
  G	10.3075	0.772	0.6192	0.6094	0.6206	0.6081	0	1.8507	0.6287	0.9088	0.6242	4.2796
  H	0.8333	0.6152	0.5924	0.5929	0.6005	0.8518	1.8507	0	0.6043	0.614	0.6051	13.5722
  I	0.4438	0.6278	0.6371	0.6159	0.6185	0.636	0.6287	0.6043	0	0.6253	0.6365	1.1073
  J	8.8083	1.5886	0.6213	0.6097	0.6323	0.6113	0.9088	0.614	0.6253	0	0.6257	0.472
  K	1.3487	0.6286	0.6367	0.6164	0.6197	0.6355	0.6242	0.6051	0.6365	0.6257	0	0.4461
  L	0.5041	0.4829	0.3974	0.7618	0.6139	0.3233	4.2796	13.5722	1.1073	0.472	0.4461	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.442	0.0406	0.081	0.0774	0.0331	1.0455	0.0845	0.045	0.8934	0.1368	0.0511
  B	0.6021	0	0.0265	0.026	0.0316	0.0261	0.0327	0.0261	0.0266	0.0673	0.0266	0.0205
  C	0.0371	0.058	0	0.0565	0.0853	0.0591	0.0575	0.055	0.0591	0.0577	0.0591	0.0369
  D	0.0683	0.0525	0.0521	0	0.0763	0.3064	0.0521	0.0507	0.0527	0.0522	0.0527	0.0652
  E	0.0535	0.0523	0.0644	0.0624	0	0.0419	0.0435	0.0421	0.0433	0.0443	0.0434	0.043
  F	0.0485	0.0917	0.0947	0.5326	0.0889	0	0.0904	0.1267	0.0946	0.0909	0.0945	0.0481
  G	0.3955	0.0296	0.0238	0.0234	0.0238	0.0233	0	0.071	0.0241	0.0349	0.024	0.1642
  H	0.0084	0.0062	0.0059	0.006	0.006	0.0086	0.0186	0	0.0061	0.0062	0.0061	0.1363
  I	0.0302	0.0427	0.0434	0.0419	0.0421	0.0433	0.0428	0.0411	0	0.0425	0.0433	0.0753
  J	0.3846	0.0694	0.0271	0.0266	0.0276	0.0267	0.0397	0.0268	0.0273	0	0.0273	0.0206
  K	0.088	0.041	0.0416	0.0402	0.0404	0.0415	0.0407	0.0395	0.0415	0.0408	0	0.0291
  L	0.1178	0.1128	0.0929	0.178	0.1435	0.0756	1.0001	3.1717	0.2588	0.1103	0.1042	0
