Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 2.778416

Equilibrium frequencies (pi_i):
  A: 0.1375
  B: 0.1051
  C: 0.1151
  D: 0.0734
  E: 0.1953
  F: 0.0117
  G: 0.0805
  H: 0.0755
  I: 0.206

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.4712	0.8731	1.0524	0.3432	2.4418	0.5251	1.6093	2.4668
  B	0.4712	0	0.7896	1.1912	0.8304	0.7681	0.8306	0.8301	0.4921
  C	0.8731	0.7896	0	1.1458	4.5393	0.7584	0.7979	0.7994	0.8951
  D	1.0524	1.1912	1.1458	0	0.7635	0.7826	0.8019	0.8038	0.7949
  E	0.3432	0.8304	4.5393	0.7635	0	1.0809	0.8286	0.8277	0.364
  F	2.4418	0.7681	0.7584	0.7826	1.0809	0	0.7823	0.7849	17.0861
  G	0.5251	0.8306	0.7979	0.8019	0.8286	0.7823	0	0.8296	1.3631
  H	1.6093	0.8301	0.7994	0.8038	0.8277	0.7849	0.8296	0	0.5548
  I	2.4668	0.4921	0.8951	0.7949	0.364	17.0861	1.3631	0.5548	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0648	0.12	0.1447	0.0472	0.3357	0.0722	0.2212	0.3391
  B	0.0495	0	0.083	0.1252	0.0873	0.0808	0.0873	0.0873	0.0517
  C	0.1005	0.0909	0	0.1319	0.5226	0.0873	0.0919	0.092	0.1031
  D	0.0772	0.0874	0.0841	0	0.056	0.0574	0.0588	0.059	0.0583
  E	0.067	0.1622	0.8865	0.1491	0	0.2111	0.1618	0.1616	0.0711
  F	0.0285	0.009	0.0089	0.0091	0.0126	0	0.0091	0.0092	0.1996
  G	0.0423	0.0668	0.0642	0.0645	0.0667	0.063	0	0.0668	0.1097
  H	0.1214	0.0626	0.0603	0.0607	0.0625	0.0592	0.0626	0	0.0419
  I	0.5081	0.1014	0.1844	0.1637	0.075	3.5191	0.2808	0.1143	0
