Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 5.744313

Equilibrium frequencies (pi_i):
  A: 0.1064
  B: 0.0396
  C: 0.0915
  D: 0.0843
  E: 0.0691
  F: 0.1537
  G: 0.0376
  H: 0.0104
  I: 0.0671
  J: 0.0447
  K: 0.0643
  L: 0.2315

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	15.2216	0.4017	0.8002	0.7653	0.3209	10.4231	0.8279	0.4452	8.4771	1.3527	0.5005
  B	15.2216	0	0.6234	0.6135	0.7469	0.6141	0.7709	0.6156	0.6265	1.5893	0.6274	0.4883
  C	0.4017	0.6234	0	0.6084	0.9178	0.6361	0.6183	0.5922	0.636	0.6207	0.6357	0.3986
  D	0.8002	0.6135	0.6084	0	0.8908	3.5727	0.6087	0.5926	0.6151	0.6087	0.6156	0.5729
  E	0.7653	0.7469	0.9178	0.8908	0	0.5953	0.6198	0.6	0.6178	0.6307	0.6189	0.6156
  F	0.3209	0.6141	0.6361	3.5727	0.5953	0	0.6059	0.8479	0.635	0.6098	0.6344	0.3175
  G	10.4231	0.7709	0.6183	0.6087	0.6198	0.6059	0	1.8489	0.6277	0.9122	0.6233	4.1826
  H	0.8279	0.6156	0.5922	0.5926	0.6	0.8479	1.8489	0	0.6039	0.6126	0.6047	13.5258
  I	0.4452	0.6265	0.636	0.6151	0.6178	0.635	0.6277	0.6039	0	0.6245	0.6355	1.1097
  J	8.4771	1.5893	0.6207	0.6087	0.6307	0.6098	0.9122	0.6126	0.6245	0	0.625	0.4694
  K	1.3527	0.6274	0.6357	0.6156	0.6189	0.6344	0.6233	0.6047	0.6355	0.625	0	0.4471
  L	0.5005	0.4883	0.3986	0.5729	0.6156	0.3175	4.1826	13.5258	1.1097	0.4694	0.4471	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.6196	0.0427	0.0851	0.0814	0.0341	1.1091	0.0881	0.0474	0.902	0.1439	0.0533
  B	0.6025	0	0.0247	0.0243	0.0296	0.0243	0.0305	0.0244	0.0248	0.0629	0.0248	0.0193
  C	0.0368	0.0571	0	0.0557	0.084	0.0582	0.0566	0.0542	0.0582	0.0568	0.0582	0.0365
  D	0.0674	0.0517	0.0513	0	0.0751	0.3011	0.0513	0.0499	0.0518	0.0513	0.0519	0.0483
  E	0.0529	0.0516	0.0634	0.0615	0	0.0411	0.0428	0.0414	0.0427	0.0436	0.0427	0.0425
  F	0.0493	0.0944	0.0977	0.549	0.0915	0	0.0931	0.1303	0.0976	0.0937	0.0975	0.0488
  G	0.3916	0.029	0.0232	0.0229	0.0233	0.0228	0	0.0695	0.0236	0.0343	0.0234	0.1571
  H	0.0086	0.0064	0.0061	0.0062	0.0062	0.0088	0.0192	0	0.0063	0.0064	0.0063	0.1404
  I	0.0299	0.042	0.0427	0.0413	0.0414	0.0426	0.0421	0.0405	0	0.0419	0.0426	0.0744
  J	0.3785	0.071	0.0277	0.0272	0.0282	0.0272	0.0407	0.0274	0.0279	0	0.0279	0.021
  K	0.087	0.0404	0.0409	0.0396	0.0398	0.0408	0.0401	0.0389	0.0409	0.0402	0	0.0288
  L	0.1159	0.113	0.0923	0.1326	0.1425	0.0735	0.9682	3.1309	0.2569	0.1087	0.1035	0
