Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 4.744345

Equilibrium frequencies (pi_i):
  A: 0.1343
  B: 0.0622
  C: 0.1019
  D: 0.1071
  E: 0.1348
  F: 0.1142
  G: 0.0735
  H: 0.1344
  I: 0.016
  J: 0.1217

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.5789	0.4205	0.5929	0.5978	0.5957	1.1078	0.597	1.2083	0.5977
  B	0.5789	0	9.5515	0.8766	0.5781	0.5815	0.7564	0.5779	9.3189	0.5816
  C	0.4205	9.5515	0	0.9999	0.2682	0.4367	5.8745	0.6709	27.8618	0.3927
  D	0.5929	0.8766	0.9999	0	0.5939	0.8011	1.6484	0.9492	4.3692	0.5944
  E	0.5978	0.5781	0.2682	0.5939	0	0.5969	0.8325	0.5984	1.2239	0.599
  F	0.5957	0.5815	0.4367	0.8011	0.5969	0	0.6176	1.2234	2.5422	0.5969
  G	1.1078	0.7564	5.8745	1.6484	0.8325	0.6176	0	0.5771	34.6305	0.8385
  H	0.597	0.5779	0.6709	0.9492	0.5984	1.2234	0.5771	0	0.7792	0.5983
  I	1.2083	9.3189	27.8618	4.3692	1.2239	2.5422	34.6305	0.7792	0	1.6868
  J	0.5977	0.5816	0.3927	0.5944	0.599	0.5969	0.8385	0.5983	1.6868	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0777	0.0565	0.0796	0.0803	0.08	0.1487	0.0802	0.1622	0.0803
  B	0.036	0	0.594	0.0545	0.036	0.0362	0.047	0.0359	0.5795	0.0362
  C	0.0429	0.9737	0	0.1019	0.0273	0.0445	0.5989	0.0684	2.8403	0.04
  D	0.0635	0.0939	0.1071	0	0.0636	0.0858	0.1765	0.1016	0.4678	0.0636
  E	0.0806	0.0779	0.0361	0.08	0	0.0804	0.1122	0.0806	0.1649	0.0807
  F	0.068	0.0664	0.0499	0.0915	0.0682	0	0.0706	0.1398	0.2904	0.0682
  G	0.0814	0.0556	0.4316	0.1211	0.0612	0.0454	0	0.0424	2.5442	0.0616
  H	0.0803	0.0777	0.0902	0.1276	0.0805	0.1645	0.0776	0	0.1048	0.0804
  I	0.0193	0.1489	0.4452	0.0698	0.0196	0.0406	0.5533	0.0125	0	0.027
  J	0.0727	0.0708	0.0478	0.0723	0.0729	0.0726	0.102	0.0728	0.2052	0
