Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.148218

Equilibrium frequencies (pi_i):
  A: 0.1128
  B: 0.0672
  C: 0.0575
  D: 0.075
  E: 0.1239
  F: 0.0848
  G: 0.0682
  H: 0.2115
  I: 0.1152
  J: 0.0839

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.3053	0.5762	0.4011	0.491	0.3406	0.6772	0.4435	0.3297	0.5766
  B	0.3053	0	3.0989	6.0821	4.6261	1.6603	0.4354	0.3222	4.7614	4.7547
  C	0.5762	3.0989	0	1.0379	4.94	1.0748	0.7231	0.2319	2.0565	4.3689
  D	0.4011	6.0821	1.0379	0	2.7433	0.6913	0.3447	0.3017	0.8789	1.0565
  E	0.491	4.6261	4.94	2.7433	0	1.1656	2.8753	0.1416	0.7433	0.6804
  F	0.3406	1.6603	1.0748	0.6913	1.1656	0	0.7113	0.3783	0.8175	0.3549
  G	0.6772	0.4354	0.7231	0.3447	2.8753	0.7113	0	0.3208	0.4906	0.4975
  H	0.4435	0.3222	0.2319	0.3017	0.1416	0.3783	0.3208	0	0.4159	2.4303
  I	0.3297	4.7614	2.0565	0.8789	0.7433	0.8175	0.4906	0.4159	0	1.4748
  J	0.5766	4.7547	4.3689	1.0565	0.6804	0.3549	0.4975	2.4303	1.4748	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0344	0.065	0.0452	0.0554	0.0384	0.0764	0.05	0.0372	0.0651
  B	0.0205	0	0.2081	0.4085	0.3107	0.1115	0.0292	0.0216	0.3198	0.3193
  C	0.0331	0.1781	0	0.0596	0.2839	0.0618	0.0416	0.0133	0.1182	0.2511
  D	0.0301	0.4564	0.0779	0	0.2059	0.0519	0.0259	0.0226	0.0659	0.0793
  E	0.0608	0.573	0.6119	0.3398	0	0.1444	0.3562	0.0175	0.0921	0.0843
  F	0.0289	0.1407	0.0911	0.0586	0.0988	0	0.0603	0.0321	0.0693	0.0301
  G	0.0462	0.0297	0.0494	0.0235	0.1962	0.0485	0	0.0219	0.0335	0.034
  H	0.0938	0.0681	0.049	0.0638	0.0299	0.08	0.0679	0	0.088	0.514
  I	0.038	0.5484	0.2368	0.1012	0.0856	0.0942	0.0565	0.0479	0	0.1698
  J	0.0484	0.3991	0.3667	0.0887	0.0571	0.0298	0.0418	0.204	0.1238	0
