Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 6.357786

Equilibrium frequencies (pi_i):
  A: 0.1511
  B: 0.0722
  C: 0.0961
  D: 0.1047
  E: 0.1326
  F: 0.1093
  G: 0.0766
  H: 0.1116
  I: 0.019
  J: 0.1268

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.5187	0.4158	0.5303	0.5329	0.5316	1.2787	0.5316	1.1442	0.532
  B	0.5187	0	8.9946	0.5254	0.5217	0.525	0.6361	0.5234	9.78	0.5218
  C	0.4158	8.9946	0	1.1733	0.3118	0.37	4.8433	0.7973	32.8634	0.3071
  D	0.5303	0.5254	1.1733	0	0.5323	0.5317	0.8866	1.0757	5.1713	0.5318
  E	0.5329	0.5217	0.3118	0.5323	0	0.5334	0.6841	0.5334	1.2514	0.534
  F	0.5316	0.525	0.37	0.5317	0.5334	0	0.5256	0.6333	3.2265	0.5328
  G	1.2787	0.6361	4.8433	0.8866	0.6841	0.5256	0	0.6946	37.4178	0.7365
  H	0.5316	0.5234	0.7973	1.0757	0.5334	0.6333	0.6946	0	1.474	0.5328
  I	1.1442	9.78	32.8634	5.1713	1.2514	3.2265	37.4178	1.474	0	1.7751
  J	0.532	0.5218	0.3071	0.5318	0.534	0.5328	0.7365	0.5328	1.7751	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0784	0.0628	0.0801	0.0805	0.0803	0.1932	0.0803	0.1729	0.0804
  B	0.0374	0	0.6491	0.0379	0.0377	0.0379	0.0459	0.0378	0.7058	0.0377
  C	0.04	0.8643	0	0.1128	0.03	0.0356	0.4654	0.0766	3.158	0.0295
  D	0.0555	0.055	0.1228	0	0.0557	0.0557	0.0928	0.1126	0.5414	0.0557
  E	0.0706	0.0692	0.0413	0.0706	0	0.0707	0.0907	0.0707	0.1659	0.0708
  F	0.0581	0.0574	0.0405	0.0581	0.0583	0	0.0575	0.0692	0.3527	0.0582
  G	0.098	0.0487	0.3712	0.0679	0.0524	0.0403	0	0.0532	2.8677	0.0564
  H	0.0593	0.0584	0.089	0.12	0.0595	0.0707	0.0775	0	0.1645	0.0594
  I	0.0218	0.1861	0.6254	0.0984	0.0238	0.0614	0.7121	0.028	0	0.0338
  J	0.0675	0.0662	0.0389	0.0674	0.0677	0.0676	0.0934	0.0676	0.2251	0
