Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.759319

Equilibrium frequencies (pi_i):
  A: 0.1156
  B: 0.083
  C: 0.0451
  D: 0.06
  E: 0.1221
  F: 0.1002
  G: 0.0607
  H: 0.2017
  I: 0.1216
  J: 0.09

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.255	0.7204	0.3401	0.4603	0.2885	0.4859	0.3428	0.3429	0.5059
  B	0.255	0	3.7544	3.274	4.413	1.1912	0.4111	0.3045	4.1263	4.9642
  C	0.7204	3.7544	0	1.6112	5.8299	1.1808	0.536	0.5409	2.3468	4.5337
  D	0.3401	3.274	1.6112	0	3.8406	0.579	0.2963	0.2749	1.538	2.6402
  E	0.4603	4.413	5.8299	3.8406	0	1.1126	3.3844	0.1384	1.298	0.6724
  F	0.2885	1.1912	1.1808	0.579	1.1126	0	0.5037	0.5466	0.4386	0.6328
  G	0.4859	0.4111	0.536	0.2963	3.3844	0.5037	0	0.2712	0.6515	0.3399
  H	0.3428	0.3045	0.5409	0.2749	0.1384	0.5466	0.2712	0	0.2972	1.6775
  I	0.3429	4.1263	2.3468	1.538	1.298	0.4386	0.6515	0.2972	0	0.6116
  J	0.5059	4.9642	4.5337	2.6402	0.6724	0.6328	0.3399	1.6775	0.6116	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0295	0.0833	0.0393	0.0532	0.0334	0.0562	0.0396	0.0397	0.0585
  B	0.0212	0	0.3116	0.2717	0.3662	0.0989	0.0341	0.0253	0.3424	0.412
  C	0.0325	0.1693	0	0.0726	0.2628	0.0532	0.0242	0.0244	0.1058	0.2044
  D	0.0204	0.1965	0.0967	0	0.2305	0.0347	0.0178	0.0165	0.0923	0.1584
  E	0.0562	0.5388	0.7117	0.4689	0	0.1358	0.4132	0.0169	0.1585	0.0821
  F	0.0289	0.1194	0.1184	0.058	0.1115	0	0.0505	0.0548	0.044	0.0634
  G	0.0295	0.0249	0.0325	0.018	0.2053	0.0306	0	0.0165	0.0395	0.0206
  H	0.0692	0.0614	0.1091	0.0555	0.0279	0.1103	0.0547	0	0.0599	0.3384
  I	0.0417	0.5019	0.2854	0.1871	0.1579	0.0533	0.0792	0.0361	0	0.0744
  J	0.0455	0.4466	0.4078	0.2375	0.0605	0.0569	0.0306	0.1509	0.055	0
