Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 8.355157

Equilibrium frequencies (pi_i):
  A: 0.0895
  B: 0.0486
  C: 0.1015
  D: 0.0906
  E: 0.0707
  F: 0.1558
  G: 0.0447
  H: 0.0216
  I: 0.0763
  J: 0.0457
  K: 0.0717
  L: 0.1834

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	14.6613	0.3556	0.717	0.7703	0.3032	8.2899	0.5714	0.3865	11.7172	1.1784	1.0105
  B	14.6613	0	0.5162	0.506	0.5112	0.5114	0.6199	0.5128	0.5181	3.4018	0.5185	0.425
  C	0.3556	0.5162	0	0.501	0.7609	0.5244	0.5135	0.5006	0.5245	0.5141	0.524	0.3634
  D	0.717	0.506	0.501	0	0.9872	3.6928	0.5044	0.4985	0.5063	0.5048	0.507	1.0641
  E	0.7703	0.5112	0.7609	0.9872	0	0.4979	0.5094	0.5042	0.5112	0.5099	0.5117	0.5742
  F	0.3032	0.5114	0.5244	3.6928	0.4979	0	0.5074	0.7328	0.5238	0.5082	0.5232	0.469
  G	8.2899	0.6199	0.5135	0.5044	0.5094	0.5074	0	1.5447	0.5162	0.6366	0.5165	3.8752
  H	0.5714	0.5128	0.5006	0.4985	0.5042	0.7328	1.5447	0	0.5065	0.5125	0.5074	7.1676
  I	0.3865	0.5181	0.5245	0.5063	0.5112	0.5238	0.5162	0.5065	0	0.5165	0.5239	0.9928
  J	11.7172	3.4018	0.5141	0.5048	0.5099	0.5082	0.6366	0.5125	0.5165	0	0.517	0.4257
  K	1.1784	0.5185	0.524	0.507	0.5117	0.5232	0.5165	0.5074	0.5239	0.517	0	0.3987
  L	1.0105	0.425	0.3634	1.0641	0.5742	0.469	3.8752	7.1676	0.9928	0.4257	0.3987	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.3121	0.0318	0.0642	0.0689	0.0271	0.7419	0.0511	0.0346	1.0486	0.1055	0.0904
  B	0.7126	0	0.0251	0.0246	0.0248	0.0249	0.0301	0.0249	0.0252	0.1653	0.0252	0.0207
  C	0.0361	0.0524	0	0.0509	0.0773	0.0532	0.0521	0.0508	0.0533	0.0522	0.0532	0.0369
  D	0.0649	0.0458	0.0454	0	0.0894	0.3344	0.0457	0.0451	0.0459	0.0457	0.0459	0.0964
  E	0.0544	0.0361	0.0538	0.0698	0	0.0352	0.036	0.0356	0.0361	0.036	0.0362	0.0406
  F	0.0472	0.0797	0.0817	0.5752	0.0775	0	0.079	0.1141	0.0816	0.0792	0.0815	0.073
  G	0.3704	0.0277	0.0229	0.0225	0.0228	0.0227	0	0.069	0.0231	0.0284	0.0231	0.1732
  H	0.0124	0.0111	0.0108	0.0108	0.0109	0.0159	0.0334	0	0.011	0.0111	0.011	0.1551
  I	0.0295	0.0395	0.04	0.0386	0.039	0.04	0.0394	0.0386	0	0.0394	0.04	0.0757
  J	0.5356	0.1555	0.0235	0.0231	0.0233	0.0232	0.0291	0.0234	0.0236	0	0.0236	0.0195
  K	0.0844	0.0372	0.0375	0.0363	0.0367	0.0375	0.037	0.0364	0.0375	0.037	0	0.0286
  L	0.1853	0.0779	0.0666	0.1951	0.1053	0.086	0.7106	1.3144	0.1821	0.0781	0.0731	0
