Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 8.260579

Equilibrium frequencies (pi_i):
  A: 0.0906
  B: 0.0483
  C: 0.1025
  D: 0.0949
  E: 0.0714
  F: 0.1423
  G: 0.0452
  H: 0.0218
  I: 0.077
  J: 0.048
  K: 0.0724
  L: 0.1856

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	14.7097	0.3553	0.7084	0.7698	0.3153	8.2906	0.5721	0.3863	11.6351	1.178	1.0056
  B	14.7097	0	0.5171	0.5067	0.5122	0.5134	0.6216	0.5139	0.5191	3.6721	0.5195	0.426
  C	0.3553	0.5171	0	0.5019	0.7623	0.5254	0.5145	0.5015	0.5256	0.5152	0.5251	0.3631
  D	0.7084	0.5067	0.5019	0	0.9878	3.2174	0.5049	0.4985	0.5073	0.5051	0.508	1.0523
  E	0.7698	0.5122	0.7623	0.9878	0	0.501	0.5103	0.5051	0.5121	0.5107	0.5127	0.5738
  F	0.3153	0.5134	0.5254	3.2174	0.501	0	0.5099	0.7387	0.5249	0.5109	0.5243	0.4869
  G	8.2906	0.6216	0.5145	0.5049	0.5103	0.5099	0	1.5476	0.5172	0.6389	0.5175	3.869
  H	0.5721	0.5139	0.5015	0.4985	0.5051	0.7387	1.5476	0	0.5074	0.5131	0.5084	7.1714
  I	0.3863	0.5191	0.5256	0.5073	0.5121	0.5249	0.5172	0.5074	0	0.5177	0.525	0.9925
  J	11.6351	3.6721	0.5152	0.5051	0.5107	0.5109	0.6389	0.5131	0.5177	0	0.5181	0.4232
  K	1.178	0.5195	0.5251	0.508	0.5127	0.5243	0.5175	0.5084	0.525	0.5181	0	0.3986
  L	1.0056	0.426	0.3631	1.0523	0.5738	0.4869	3.869	7.1714	0.9925	0.4232	0.3986	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.3331	0.0322	0.0642	0.0698	0.0286	0.7514	0.0519	0.035	1.0545	0.1068	0.0911
  B	0.7107	0	0.025	0.0245	0.0247	0.0248	0.03	0.0248	0.0251	0.1774	0.0251	0.0206
  C	0.0364	0.053	0	0.0514	0.0781	0.0538	0.0527	0.0514	0.0538	0.0528	0.0538	0.0372
  D	0.0673	0.0481	0.0477	0	0.0938	0.3055	0.0479	0.0473	0.0482	0.048	0.0482	0.0999
  E	0.055	0.0366	0.0544	0.0705	0	0.0358	0.0364	0.0361	0.0366	0.0365	0.0366	0.041
  F	0.0449	0.0731	0.0748	0.4579	0.0713	0	0.0726	0.1051	0.0747	0.0727	0.0746	0.0693
  G	0.3745	0.0281	0.0232	0.0228	0.0231	0.023	0	0.0699	0.0234	0.0289	0.0234	0.1748
  H	0.0125	0.0112	0.011	0.0109	0.011	0.0161	0.0338	0	0.0111	0.0112	0.0111	0.1567
  I	0.0298	0.04	0.0405	0.0391	0.0395	0.0404	0.0398	0.0391	0	0.0399	0.0404	0.0765
  J	0.5584	0.1762	0.0247	0.0242	0.0245	0.0245	0.0307	0.0246	0.0248	0	0.0249	0.0203
  K	0.0852	0.0376	0.038	0.0368	0.0371	0.0379	0.0374	0.0368	0.038	0.0375	0	0.0288
  L	0.1866	0.0791	0.0674	0.1953	0.1065	0.0903	0.7179	1.3307	0.1842	0.0785	0.074	0
