Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 6.312836

Equilibrium frequencies (pi_i):
  A: 0.1511
  B: 0.0738
  C: 0.095
  D: 0.1047
  E: 0.1325
  F: 0.1093
  G: 0.0767
  H: 0.1115
  I: 0.0187
  J: 0.1268

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.5224	0.4187	0.534	0.5365	0.5352	1.2873	0.5353	1.1524	0.5357
  B	0.5224	0	8.9048	0.5291	0.5254	0.5286	0.6405	0.5271	9.7014	0.5255
  C	0.4187	8.9048	0	1.1816	0.314	0.3725	4.8686	0.8031	33.397	0.3092
  D	0.534	0.5291	1.1816	0	0.5359	0.5354	0.8915	1.0829	5.2067	0.5354
  E	0.5365	0.5254	0.314	0.5359	0	0.5371	0.6888	0.5371	1.26	0.5377
  F	0.5352	0.5286	0.3725	0.5354	0.5371	0	0.5292	0.6374	3.2483	0.5365
  G	1.2873	0.6405	4.8686	0.8915	0.6888	0.5292	0	0.6986	37.6368	0.7414
  H	0.5353	0.5271	0.8031	1.0829	0.5371	0.6374	0.6986	0	1.485	0.5365
  I	1.1524	9.7014	33.397	5.2067	1.26	3.2483	37.6368	1.485	0	1.7876
  J	0.5357	0.5255	0.3092	0.5354	0.5377	0.5365	0.7414	0.5365	1.7876	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0789	0.0632	0.0807	0.081	0.0809	0.1945	0.0809	0.1741	0.0809
  B	0.0386	0	0.6572	0.039	0.0388	0.039	0.0473	0.0389	0.716	0.0388
  C	0.0398	0.8462	0	0.1123	0.0298	0.0354	0.4627	0.0763	3.1737	0.0294
  D	0.0559	0.0554	0.1237	0	0.0561	0.056	0.0933	0.1133	0.5449	0.056
  E	0.0711	0.0696	0.0416	0.071	0	0.0712	0.0913	0.0712	0.167	0.0713
  F	0.0585	0.0578	0.0407	0.0585	0.0587	0	0.0578	0.0697	0.355	0.0586
  G	0.0987	0.0491	0.3733	0.0684	0.0528	0.0406	0	0.0536	2.886	0.0568
  H	0.0597	0.0588	0.0895	0.1207	0.0599	0.0711	0.0779	0	0.1656	0.0598
  I	0.0216	0.1814	0.6246	0.0974	0.0236	0.0607	0.7038	0.0278	0	0.0334
  J	0.0679	0.0666	0.0392	0.0679	0.0682	0.068	0.094	0.068	0.2266	0
