Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.747067

Equilibrium frequencies (pi_i):
  A: 0.1157
  B: 0.0827
  C: 0.0455
  D: 0.06
  E: 0.1238
  F: 0.1004
  G: 0.0607
  H: 0.2017
  I: 0.1216
  J: 0.0879

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2552	0.7211	0.3402	0.4605	0.2886	0.4862	0.3431	0.343	0.5058
  B	0.2552	0	3.7713	3.2809	4.4045	1.1941	0.412	0.3045	4.1297	4.9763
  C	0.7211	3.7713	0	1.6138	5.7063	1.1828	0.5369	0.5417	2.3505	4.4219
  D	0.3402	3.2809	1.6138	0	3.8391	0.5795	0.2968	0.275	1.5392	2.6422
  E	0.4605	4.4045	5.7063	3.8391	0	1.1085	3.3811	0.1385	1.2969	0.7663
  F	0.2886	1.1941	1.1828	0.5795	1.1085	0	0.5047	0.5469	0.4388	0.633
  G	0.4862	0.412	0.5369	0.2968	3.3811	0.5047	0	0.2713	0.652	0.3359
  H	0.3431	0.3045	0.5417	0.275	0.1385	0.5469	0.2713	0	0.2974	1.6758
  I	0.343	4.1297	2.3505	1.5392	1.2969	0.4388	0.652	0.2974	0	0.6127
  J	0.5058	4.9763	4.4219	2.6422	0.7663	0.633	0.3359	1.6758	0.6127	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0295	0.0834	0.0394	0.0533	0.0334	0.0562	0.0397	0.0397	0.0585
  B	0.0211	0	0.3119	0.2713	0.3642	0.0988	0.0341	0.0252	0.3415	0.4115
  C	0.0328	0.1715	0	0.0734	0.2595	0.0538	0.0244	0.0246	0.1069	0.2011
  D	0.0204	0.1969	0.0969	0	0.2305	0.0348	0.0178	0.0165	0.0924	0.1586
  E	0.057	0.5452	0.7064	0.4753	0	0.1372	0.4185	0.0172	0.1605	0.0949
  F	0.029	0.1199	0.1188	0.0582	0.1113	0	0.0507	0.0549	0.0441	0.0636
  G	0.0295	0.025	0.0326	0.018	0.2053	0.0306	0	0.0165	0.0396	0.0204
  H	0.0692	0.0614	0.1092	0.0555	0.0279	0.1103	0.0547	0	0.06	0.3379
  I	0.0417	0.5024	0.2859	0.1872	0.1578	0.0534	0.0793	0.0362	0	0.0745
  J	0.0444	0.4372	0.3885	0.2321	0.0673	0.0556	0.0295	0.1472	0.0538	0
