Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 0.613378

Equilibrium frequencies (pi_i):
  A: 0.0913
  B: 0.0894
  C: 0.141
  D: 0.0883
  E: 0.0947
  F: 0.0864
  G: 0.0921
  H: 0.0877
  I: 0.1399
  J: 0.0892

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	1.6698	1.3139	1.1896	1.2167	1.2025	1.6092	1.2113	1.2959	1.2193
  B	1.6698	0	0.9289	1.1243	1.5074	1.201	1.0219	1.1414	1.2649	1.1183
  C	1.3139	0.9289	0	0.7774	0.6533	0.6772	0.9259	0.7088	1.0406	0.6749
  D	1.1896	1.1243	0.7774	0	1.2128	1.2121	1.1608	1.2914	0.8789	1.223
  E	1.2167	1.5074	0.6533	1.2128	0	1.298	1.6255	1.2349	0.9296	1.2148
  F	1.2025	1.201	0.6772	1.2121	1.298	0	1.1015	1.2315	1.1638	1.2059
  G	1.6092	1.0219	0.9259	1.1608	1.6255	1.1015	0	1.3795	1.1533	1.4599
  H	1.2113	1.1414	0.7088	1.2914	1.2349	1.2315	1.3795	0	0.8942	1.3701
  I	1.2959	1.2649	1.0406	0.8789	0.9296	1.1638	1.1533	0.8942	0	0.8707
  J	1.2193	1.1183	0.6749	1.223	1.2148	1.2059	1.4599	1.3701	0.8707	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.1525	0.12	0.1086	0.1111	0.1098	0.1469	0.1106	0.1183	0.1113
  B	0.1493	0	0.083	0.1005	0.1348	0.1074	0.0914	0.102	0.1131	0.1
  C	0.1853	0.131	0	0.1096	0.0921	0.0955	0.1305	0.0999	0.1467	0.0952
  D	0.1051	0.0993	0.0687	0	0.1071	0.1071	0.1026	0.1141	0.0776	0.1081
  E	0.1152	0.1427	0.0618	0.1148	0	0.1229	0.1539	0.1169	0.088	0.115
  F	0.1039	0.1038	0.0585	0.1047	0.1122	0	0.0952	0.1064	0.1006	0.1042
  G	0.1482	0.0941	0.0853	0.1069	0.1498	0.1015	0	0.1271	0.1063	0.1345
  H	0.1063	0.1001	0.0622	0.1133	0.1083	0.108	0.121	0	0.0784	0.1202
  I	0.1812	0.1769	0.1455	0.1229	0.13	0.1628	0.1613	0.1251	0	0.1218
  J	0.1087	0.0997	0.0602	0.1091	0.1083	0.1075	0.1302	0.1222	0.0777	0
