Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 5.507476

Equilibrium frequencies (pi_i):
  A: 0.0962
  B: 0.0353
  C: 0.0926
  D: 0.0767
  E: 0.0731
  F: 0.1619
  G: 0.0348
  H: 0.0122
  I: 0.0717
  J: 0.0364
  K: 0.0629
  L: 0.2463

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	14.5855	0.3401	1.0794	0.6831	0.2529	10.1304	0.7217	0.3812	13.3833	1.1476	0.6341
  B	14.5855	0	0.6036	0.6021	0.6491	0.5798	0.7047	0.6208	0.6113	6.2779	0.6176	0.5015
  C	0.3401	0.6036	0	0.609	0.9171	0.6366	0.6144	0.5957	0.6369	0.5897	0.6361	0.3906
  D	1.0794	0.6021	0.609	0	1.1962	3.8964	0.609	0.5991	0.6148	0.5902	0.6168	0.7749
  E	0.6831	0.6491	0.9171	1.1962	0	0.5925	0.6205	0.6011	0.6167	0.6365	0.6192	0.5947
  F	0.2529	0.5798	0.6366	3.8964	0.5925	0	0.5976	0.8513	0.6357	0.5578	0.6342	0.3025
  G	10.1304	0.7047	0.6144	0.609	0.6205	0.5976	0	1.8877	0.6913	1.2063	0.6225	3.7006
  H	0.7217	0.6208	0.5957	0.5991	0.6011	0.8513	1.8877	0	0.6052	0.6183	0.6085	13.8734
  I	0.3812	0.6113	0.6369	0.6148	0.6167	0.6357	0.6913	0.6052	0	0.6003	0.636	1.0652
  J	13.3833	6.2779	0.5897	0.5902	0.6365	0.5578	1.2063	0.6183	0.6003	0	0.7093	0.4772
  K	1.1476	0.6176	0.6361	0.6168	0.6192	0.6342	0.6225	0.6085	0.636	0.7093	0	0.4452
  L	0.6341	0.5015	0.3906	0.7749	0.5947	0.3025	3.7006	13.8734	1.0652	0.4772	0.4452	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.4025	0.0327	0.1038	0.0657	0.0243	0.9741	0.0694	0.0367	1.2869	0.1104	0.061
  B	0.5151	0	0.0213	0.0213	0.0229	0.0205	0.0249	0.0219	0.0216	0.2217	0.0218	0.0177
  C	0.0315	0.0559	0	0.0564	0.085	0.059	0.0569	0.0552	0.059	0.0546	0.0589	0.0362
  D	0.0828	0.0462	0.0467	0	0.0917	0.2987	0.0467	0.0459	0.0471	0.0453	0.0473	0.0594
  E	0.0499	0.0474	0.067	0.0874	0	0.0433	0.0453	0.0439	0.0451	0.0465	0.0452	0.0434
  F	0.0409	0.0939	0.103	0.6307	0.0959	0	0.0967	0.1378	0.1029	0.0903	0.1027	0.049
  G	0.3529	0.0245	0.0214	0.0212	0.0216	0.0208	0	0.0658	0.0241	0.042	0.0217	0.1289
  H	0.0088	0.0076	0.0073	0.0073	0.0073	0.0104	0.023	0	0.0074	0.0075	0.0074	0.1691
  I	0.0273	0.0438	0.0457	0.0441	0.0442	0.0456	0.0496	0.0434	0	0.043	0.0456	0.0764
  J	0.4878	0.2288	0.0215	0.0215	0.0232	0.0203	0.044	0.0225	0.0219	0	0.0258	0.0174
  K	0.0722	0.0388	0.04	0.0388	0.0389	0.0399	0.0391	0.0383	0.04	0.0446	0	0.028
  L	0.1562	0.1235	0.0962	0.1908	0.1465	0.0745	0.9113	3.4165	0.2623	0.1175	0.1096	0
