Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.51056

Equilibrium frequencies (pi_i):
  A: 0.1193
  B: 0.0973
  C: 0.0616
  D: 0.0671
  E: 0.1276
  F: 0.0913
  G: 0.0717
  H: 0.1678
  I: 0.1185
  J: 0.0778

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2345	0.524	0.3468	0.4091	0.3065	0.5038	0.295	0.3505	0.5076
  B	0.2345	0	2.9345	4.0688	3.5121	0.5922	0.3133	0.3868	4.4015	4.3456
  C	0.524	2.9345	0	0.9755	4.6673	1.5208	0.7696	0.3299	1.4138	5.1323
  D	0.3468	4.0688	0.9755	0	3.2645	0.5412	0.3201	0.4104	0.999	1.9441
  E	0.4091	3.5121	4.6673	3.2645	0	1.4465	2.4196	0.1911	0.9795	0.6988
  F	0.3065	0.5922	1.5208	0.5412	1.4465	0	0.3209	0.3245	0.7238	0.6121
  G	0.5038	0.3133	0.7696	0.3201	2.4196	0.3209	0	0.2799	0.4152	0.4253
  H	0.295	0.3868	0.3299	0.4104	0.1911	0.3245	0.2799	0	0.4425	1.3879
  I	0.3505	4.4015	1.4138	0.999	0.9795	0.7238	0.4152	0.4425	0	1.0052
  J	0.5076	4.3456	5.1323	1.9441	0.6988	0.6121	0.4253	1.3879	1.0052	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.028	0.0625	0.0414	0.0488	0.0366	0.0601	0.0352	0.0418	0.0606
  B	0.0228	0	0.2855	0.3959	0.3417	0.0576	0.0305	0.0376	0.4282	0.4228
  C	0.0323	0.1809	0	0.0601	0.2877	0.0937	0.0474	0.0203	0.0871	0.3164
  D	0.0233	0.2729	0.0654	0	0.219	0.0363	0.0215	0.0275	0.067	0.1304
  E	0.0522	0.448	0.5954	0.4164	0	0.1845	0.3087	0.0244	0.125	0.0891
  F	0.028	0.0541	0.1388	0.0494	0.132	0	0.0293	0.0296	0.0661	0.0559
  G	0.0361	0.0225	0.0551	0.0229	0.1734	0.023	0	0.0201	0.0298	0.0305
  H	0.0495	0.0649	0.0554	0.0689	0.0321	0.0544	0.047	0	0.0743	0.2329
  I	0.0415	0.5216	0.1675	0.1184	0.1161	0.0858	0.0492	0.0524	0	0.1191
  J	0.0395	0.3381	0.3994	0.1513	0.0544	0.0476	0.0331	0.108	0.0782	0
