Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 5.357981

Equilibrium frequencies (pi_i):
  A: 0.088
  B: 0.0362
  C: 0.0931
  D: 0.0804
  E: 0.0732
  F: 0.1629
  G: 0.0369
  H: 0.0131
  I: 0.072
  J: 0.0376
  K: 0.0632
  L: 0.2435

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	13.9193	0.3417	1.0681	0.6892	0.2536	9.4513	0.728	0.383	13.1696	1.1531	0.6521
  B	13.9193	0	0.6081	0.6045	0.652	0.584	0.6996	0.6248	0.6159	6.4277	0.6219	0.5009
  C	0.3417	0.6081	0	0.6138	0.9243	0.6417	0.62	0.6009	0.6421	0.5934	0.6412	0.3928
  D	1.0681	0.6045	0.6138	0	1.2035	4.1947	0.6129	0.6027	0.6196	0.5918	0.6217	0.7696
  E	0.6892	0.652	0.9243	1.2035	0	0.597	0.6244	0.6061	0.6216	0.6404	0.624	0.5991
  F	0.2536	0.584	0.6417	4.1947	0.597	0	0.6036	0.8591	0.6408	0.5605	0.6393	0.3037
  G	9.4513	0.6996	0.62	0.6129	0.6244	0.6036	0	1.8977	0.6981	1.205	0.6278	3.6942
  H	0.728	0.6248	0.6009	0.6027	0.6061	0.8591	1.8977	0	0.6103	0.6221	0.6137	13.3623
  I	0.383	0.6159	0.6421	0.6196	0.6216	0.6408	0.6981	0.6103	0	0.6042	0.6411	1.0709
  J	13.1696	6.4277	0.5934	0.5918	0.6404	0.5605	1.205	0.6221	0.6042	0	0.7136	0.4768
  K	1.1531	0.6219	0.6412	0.6217	0.624	0.6393	0.6278	0.6137	0.6411	0.7136	0	0.4478
  L	0.6521	0.5009	0.3928	0.7696	0.5991	0.3037	3.6942	13.3623	1.0709	0.4768	0.4478	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.2249	0.0301	0.094	0.0606	0.0223	0.8317	0.0641	0.0337	1.1589	0.1015	0.0574
  B	0.5039	0	0.022	0.0219	0.0236	0.0211	0.0253	0.0226	0.0223	0.2327	0.0225	0.0181
  C	0.0318	0.0566	0	0.0571	0.086	0.0597	0.0577	0.0559	0.0598	0.0552	0.0597	0.0366
  D	0.0858	0.0486	0.0493	0	0.0967	0.3371	0.0493	0.0484	0.0498	0.0476	0.05	0.0618
  E	0.0505	0.0478	0.0677	0.0881	0	0.0437	0.0457	0.0444	0.0455	0.0469	0.0457	0.0439
  F	0.0413	0.0951	0.1045	0.6832	0.0972	0	0.0983	0.1399	0.1044	0.0913	0.1041	0.0495
  G	0.3485	0.0258	0.0229	0.0226	0.023	0.0223	0	0.07	0.0257	0.0444	0.0232	0.1362
  H	0.0095	0.0082	0.0079	0.0079	0.0079	0.0113	0.0249	0	0.008	0.0082	0.008	0.1752
  I	0.0276	0.0444	0.0462	0.0446	0.0448	0.0462	0.0503	0.044	0	0.0435	0.0462	0.0771
  J	0.4945	0.2414	0.0223	0.0222	0.024	0.021	0.0452	0.0234	0.0227	0	0.0268	0.0179
  K	0.0729	0.0393	0.0405	0.0393	0.0394	0.0404	0.0397	0.0388	0.0405	0.0451	0	0.0283
  L	0.1588	0.122	0.0956	0.1874	0.1459	0.0739	0.8994	3.2534	0.2607	0.1161	0.109	0
