Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.507983

Equilibrium frequencies (pi_i):
  A: 0.1193
  B: 0.0929
  C: 0.052
  D: 0.0658
  E: 0.1392
  F: 0.0939
  G: 0.0717
  H: 0.176
  I: 0.121
  J: 0.0682

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.251	0.5094	0.3438	0.4029	0.3376	0.5551	0.3036	0.3669	0.5237
  B	0.251	0	3.6706	4.0353	3.6001	0.8729	0.3681	0.383	4.3591	4.7633
  C	0.5094	3.6706	0	1.0471	5.2825	1.6845	1.0431	0.3316	1.9207	5.2122
  D	0.3438	4.0353	1.0471	0	3.3589	0.6105	0.3326	0.4204	1.0181	1.8673
  E	0.4029	3.6001	5.2825	3.3589	0	1.1897	2.2956	0.1414	0.7463	0.9874
  F	0.3376	0.8729	1.6845	0.6105	1.1897	0	0.3335	0.4659	0.7112	0.6412
  G	0.5551	0.3681	1.0431	0.3326	2.2956	0.3335	0	0.287	0.4568	0.3434
  H	0.3036	0.383	0.3316	0.4204	0.1414	0.4659	0.287	0	0.4458	1.4256
  I	0.3669	4.3591	1.9207	1.0181	0.7463	0.7112	0.4568	0.4458	0	1.0773
  J	0.5237	4.7633	5.2122	1.8673	0.9874	0.6412	0.3434	1.4256	1.0773	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0299	0.0608	0.041	0.0481	0.0403	0.0662	0.0362	0.0438	0.0625
  B	0.0233	0	0.3409	0.3748	0.3344	0.0811	0.0342	0.0356	0.4048	0.4424
  C	0.0265	0.191	0	0.0545	0.2749	0.0877	0.0543	0.0173	0.1	0.2713
  D	0.0226	0.2657	0.0689	0	0.2211	0.0402	0.0219	0.0277	0.067	0.1229
  E	0.0561	0.501	0.7351	0.4674	0	0.1656	0.3194	0.0197	0.1038	0.1374
  F	0.0317	0.082	0.1582	0.0573	0.1117	0	0.0313	0.0437	0.0668	0.0602
  G	0.0398	0.0264	0.0748	0.0238	0.1646	0.0239	0	0.0206	0.0328	0.0246
  H	0.0534	0.0674	0.0584	0.074	0.0249	0.082	0.0505	0	0.0785	0.251
  I	0.0444	0.5274	0.2324	0.1232	0.0903	0.086	0.0553	0.0539	0	0.1303
  J	0.0357	0.3248	0.3554	0.1273	0.0673	0.0437	0.0234	0.0972	0.0734	0
