Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 2.633866

Equilibrium frequencies (pi_i):
  A: 0.1587
  B: 0.1029
  C: 0.106
  D: 0.0669
  E: 0.2116
  F: 0.0119
  G: 0.08
  H: 0.0638
  I: 0.1981

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.3818	1.0894	0.9124	0.2434	2.2862	0.4366	1.4511	2.2036
  B	0.3818	0	0.799	1.2027	0.8389	0.7808	0.8394	0.8382	0.4921
  C	1.0894	0.799	0	1.5615	4.963	0.7748	0.8069	0.8121	0.9197
  D	0.9124	1.2027	1.5615	0	0.7638	0.7968	0.8095	0.8151	0.8142
  E	0.2434	0.8389	4.963	0.7638	0	1.0892	0.8373	0.835	0.3417
  F	2.2862	0.7808	0.7748	0.7968	1.0892	0	0.7934	0.8022	18.1399
  G	0.4366	0.8394	0.8069	0.8095	0.8373	0.7934	0	0.8381	1.3624
  H	1.4511	0.8382	0.8121	0.8151	0.835	0.8022	0.8381	0	0.5824
  I	2.2036	0.4921	0.9197	0.8142	0.3417	18.1399	1.3624	0.5824	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0606	0.1729	0.1448	0.0386	0.3628	0.0693	0.2303	0.3497
  B	0.0393	0	0.0822	0.1237	0.0863	0.0803	0.0863	0.0862	0.0506
  C	0.1154	0.0847	0	0.1654	0.5258	0.0821	0.0855	0.086	0.0974
  D	0.0611	0.0805	0.1045	0	0.0511	0.0533	0.0542	0.0546	0.0545
  E	0.0515	0.1775	1.0504	0.1616	0	0.2305	0.1772	0.1767	0.0723
  F	0.0273	0.0093	0.0092	0.0095	0.013	0	0.0095	0.0096	0.2164
  G	0.0349	0.0672	0.0646	0.0648	0.067	0.0635	0	0.0671	0.109
  H	0.0926	0.0535	0.0518	0.052	0.0533	0.0512	0.0535	0	0.0372
  I	0.4365	0.0975	0.1822	0.1613	0.0677	3.5936	0.2699	0.1154	0
