Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 2.610615

Equilibrium frequencies (pi_i):
  A: 0.1258
  B: 0.1207
  C: 0.1184
  D: 0.083
  E: 0.1998
  F: 0.0229
  G: 0.0966
  H: 0.0846
  I: 0.1482

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.4257	0.8327	0.9725	0.3399	2.1275	0.4703	1.4825	3.6304
  B	0.4257	0	0.7532	1.1458	0.7947	0.7451	0.7967	0.7957	0.4896
  C	0.8327	0.7532	0	1.1041	3.6517	0.7391	0.7609	0.7643	1.4185
  D	0.9725	1.1458	1.1041	0	0.7415	0.7551	0.7697	0.7724	0.806
  E	0.3399	0.7947	3.6517	0.7415	0	1.1639	0.794	0.7926	0.519
  F	2.1275	0.7451	0.7391	0.7551	1.1639	0	0.755	0.7598	10.8053
  G	0.4703	0.7967	0.7609	0.7697	0.794	0.755	0	0.7955	1.3322
  H	1.4825	0.7957	0.7643	0.7724	0.7926	0.7598	0.7955	0	0.5525
  I	3.6304	0.4896	1.4185	0.806	0.519	10.8053	1.3322	0.5525	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0536	0.1048	0.1224	0.0428	0.2677	0.0592	0.1866	0.4569
  B	0.0514	0	0.0909	0.1383	0.0959	0.0899	0.0962	0.096	0.0591
  C	0.0986	0.0892	0	0.1307	0.4323	0.0875	0.0901	0.0905	0.1679
  D	0.0807	0.0951	0.0916	0	0.0615	0.0626	0.0639	0.0641	0.0669
  E	0.0679	0.1588	0.7296	0.1481	0	0.2325	0.1586	0.1584	0.1037
  F	0.0488	0.0171	0.0169	0.0173	0.0267	0	0.0173	0.0174	0.2478
  G	0.0454	0.077	0.0735	0.0744	0.0767	0.073	0	0.0769	0.1287
  H	0.1254	0.0673	0.0647	0.0654	0.0671	0.0643	0.0673	0	0.0467
  I	0.5379	0.0725	0.2102	0.1194	0.0769	1.601	0.1974	0.0819	0
