Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 12.396461

Equilibrium frequencies (pi_i):
  A: 0.1036
  B: 0.1087
  C: 0.0468
  D: 0.0736
  E: 0.1303
  F: 0.0885
  G: 0.0543
  H: 0.1904
  I: 0.1326
  J: 0.0713

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2376	0.7271	0.2928	0.5706	0.2792	0.3302	0.2997	0.3293	0.5134
  B	0.2376	0	4.3104	2.5839	1.9282	0.5996	0.4682	0.4425	4.2883	4.2661
  C	0.7271	4.3104	0	1.4089	4.696	1.8974	0.8134	0.2157	1.6637	5.0935
  D	0.2928	2.5839	1.4089	0	3.3668	0.5083	0.4381	0.2529	1.4636	1.8462
  E	0.5706	1.9282	4.696	3.3668	0	1.3473	3.7731	0.1256	1.2609	0.5844
  F	0.2792	0.5996	1.8974	0.5083	1.3473	0	0.2943	0.27	0.3338	0.2817
  G	0.3302	0.4682	0.8134	0.4381	3.7731	0.2943	0	0.27	0.4584	0.4215
  H	0.2997	0.4425	0.2157	0.2529	0.1256	0.27	0.27	0	0.4685	1.6751
  I	0.3293	4.2883	1.6637	1.4636	1.2609	0.3338	0.4584	0.4685	0	1.9892
  J	0.5134	4.2661	5.0935	1.8462	0.5844	0.2817	0.4215	1.6751	1.9892	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0246	0.0753	0.0303	0.0591	0.0289	0.0342	0.031	0.0341	0.0532
  B	0.0258	0	0.4685	0.2808	0.2096	0.0652	0.0509	0.0481	0.4661	0.4636
  C	0.034	0.2018	0	0.066	0.2199	0.0888	0.0381	0.0101	0.0779	0.2385
  D	0.0215	0.1901	0.1036	0	0.2477	0.0374	0.0322	0.0186	0.1077	0.1358
  E	0.0744	0.2513	0.6119	0.4387	0	0.1756	0.4917	0.0164	0.1643	0.0762
  F	0.0247	0.0531	0.1679	0.045	0.1192	0	0.026	0.0239	0.0295	0.0249
  G	0.0179	0.0254	0.0442	0.0238	0.2048	0.016	0	0.0147	0.0249	0.0229
  H	0.0571	0.0843	0.0411	0.0481	0.0239	0.0514	0.0514	0	0.0892	0.319
  I	0.0437	0.5686	0.2206	0.1941	0.1672	0.0443	0.0608	0.0621	0	0.2637
  J	0.0366	0.3041	0.363	0.1316	0.0416	0.0201	0.03	0.1194	0.1418	0
