Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 4.458496

Equilibrium frequencies (pi_i):
  A: 0.1454
  B: 0.0735
  C: 0.087
  D: 0.1061
  E: 0.1338
  F: 0.1117
  G: 0.0755
  H: 0.1161
  I: 0.0124
  J: 0.1385

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.6258	0.3272	0.6388	0.6446	0.6425	1.3235	0.6431	1.3364	0.644
  B	0.6258	0	9.5411	0.6414	0.6275	1.023	0.6167	0.6294	9.4368	0.9317
  C	0.3272	9.5411	0	1.066	0.3246	0.3899	5.2634	0.6902	36.375	0.4169
  D	0.6388	0.6414	1.066	0	0.6397	0.9592	1.0595	1.2795	5.3971	0.6394
  E	0.6446	0.6275	0.3246	0.6397	0	0.6432	0.9123	0.6438	1.2879	0.6447
  F	0.6425	1.023	0.3899	0.9592	0.6432	0	0.6133	0.8673	2.9276	0.6427
  G	1.3235	0.6167	5.2634	1.0595	0.9123	0.6133	0	0.7306	39.5776	0.9795
  H	0.6431	0.6294	0.6902	1.2795	0.6438	0.8673	0.7306	0	1.7573	0.7317
  I	1.3364	9.4368	36.375	5.3971	1.2879	2.9276	39.5776	1.7573	0	1.4757
  J	0.644	0.9317	0.4169	0.6394	0.6447	0.6427	0.9795	0.7317	1.4757	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.091	0.0476	0.0929	0.0937	0.0934	0.1924	0.0935	0.1943	0.0936
  B	0.046	0	0.7016	0.0472	0.0461	0.0752	0.0454	0.0463	0.6939	0.0685
  C	0.0285	0.8305	0	0.0928	0.0283	0.0339	0.4582	0.0601	3.1662	0.0363
  D	0.0678	0.068	0.1131	0	0.0679	0.1017	0.1124	0.1357	0.5724	0.0678
  E	0.0863	0.084	0.0434	0.0856	0	0.0861	0.1221	0.0862	0.1723	0.0863
  F	0.0718	0.1143	0.0436	0.1072	0.0719	0	0.0685	0.0969	0.3271	0.0718
  G	0.0999	0.0465	0.3972	0.0799	0.0688	0.0463	0	0.0551	2.9863	0.0739
  H	0.0747	0.0731	0.0801	0.1486	0.0748	0.1007	0.0848	0	0.2041	0.085
  I	0.0165	0.1168	0.4502	0.0668	0.0159	0.0362	0.4898	0.0217	0	0.0183
  J	0.0892	0.129	0.0577	0.0885	0.0893	0.089	0.1356	0.1013	0.2044	0
