Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Neonave
L:	Seal
M:	Swine
N:	?


Substitution rate (mu): 6.692438

Equilibrium frequencies (pi_i):
  A: 0.1
  B: 0.0391
  C: 0.0961
  D: 0.0808
  E: 0.0702
  F: 0.1218
  G: 0.0353
  H: 0.0192
  I: 0.0716
  J: 0.0402
  K: 0.0795
  L: 0.0642
  M: 0.1818

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	16.6348	0.3711	0.767	0.7298	0.3454	8.748	0.6028	0.4107	11.3522	0.5954	1.2715	0.8835
  B	16.6348	0	0.5826	0.575	0.6002	0.5811	0.961	0.5913	0.5861	6.3528	0.5854	0.5892	0.4877
  C	0.3711	0.5826	0	0.5704	0.8653	0.5955	0.5772	0.5654	0.5966	0.5824	0.5971	0.596	0.3981
  D	0.767	0.575	0.5704	0	0.8424	2.824	0.5711	0.5674	0.5765	0.5744	0.5748	0.5781	1.1916
  E	0.7298	0.6002	0.8653	0.8424	0	0.5708	0.5793	0.5706	0.5815	0.6821	0.5802	0.5828	0.6272
  F	0.3454	0.5811	0.5955	2.824	0.5708	0	0.584	0.897	0.5956	0.5806	0.5958	0.5948	0.4929
  G	8.748	0.961	0.5772	0.5711	0.5793	0.584	0	1.7668	0.5875	0.7644	0.5805	0.5834	4.613
  H	0.6028	0.5913	0.5654	0.5674	0.5706	0.897	1.7668	0	0.5736	0.592	0.5707	0.5756	8.2574
  I	0.4107	0.5861	0.5966	0.5765	0.5815	0.5956	0.5875	0.5736	0	0.5859	0.5966	0.5959	1.1029
  J	11.3522	6.3528	0.5824	0.5744	0.6821	0.5806	0.7644	0.592	0.5859	0	0.5849	0.587	0.4852
  K	0.5954	0.5854	0.5971	0.5748	0.5802	0.5958	0.5805	0.5707	0.5966	0.5849	0	0.5962	0.4224
  L	1.2715	0.5892	0.596	0.5781	0.5828	0.5948	0.5834	0.5756	0.5959	0.587	0.5962	0	0.4467
  M	0.8835	0.4877	0.3981	1.1916	0.6272	0.4929	4.613	8.2574	1.1029	0.4852	0.4224	0.4467	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	1.6631	0.0371	0.0767	0.073	0.0345	0.8746	0.0603	0.0411	1.135	0.0595	0.1271	0.0883
  B	0.6512	0	0.0228	0.0225	0.0235	0.0227	0.0376	0.0231	0.0229	0.2487	0.0229	0.0231	0.0191
  C	0.0357	0.056	0	0.0548	0.0832	0.0572	0.0555	0.0544	0.0574	0.056	0.0574	0.0573	0.0383
  D	0.062	0.0465	0.0461	0	0.0681	0.2283	0.0462	0.0459	0.0466	0.0464	0.0465	0.0467	0.0963
  E	0.0512	0.0421	0.0607	0.0591	0	0.0401	0.0407	0.04	0.0408	0.0479	0.0407	0.0409	0.044
  F	0.0421	0.0708	0.0725	0.344	0.0695	0	0.0711	0.1093	0.0726	0.0707	0.0726	0.0725	0.06
  G	0.309	0.034	0.0204	0.0202	0.0205	0.0206	0	0.0624	0.0208	0.027	0.0205	0.0206	0.163
  H	0.0116	0.0114	0.0109	0.0109	0.011	0.0172	0.034	0	0.011	0.0114	0.011	0.0111	0.1587
  I	0.0294	0.042	0.0427	0.0413	0.0417	0.0427	0.0421	0.0411	0	0.042	0.0427	0.0427	0.079
  J	0.4559	0.2551	0.0234	0.0231	0.0274	0.0233	0.0307	0.0238	0.0235	0	0.0235	0.0236	0.0195
  K	0.0473	0.0466	0.0475	0.0457	0.0461	0.0474	0.0462	0.0454	0.0474	0.0465	0	0.0474	0.0336
  L	0.0816	0.0378	0.0383	0.0371	0.0374	0.0382	0.0374	0.0369	0.0382	0.0377	0.0383	0	0.0287
  M	0.1607	0.0887	0.0724	0.2167	0.1141	0.0896	0.8388	1.5015	0.2006	0.0882	0.0768	0.0812	0
