Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 12.42659

Equilibrium frequencies (pi_i):
  A: 0.1035
  B: 0.1087
  C: 0.0466
  D: 0.0735
  E: 0.1302
  F: 0.0884
  G: 0.0542
  H: 0.1904
  I: 0.1325
  J: 0.0721

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2373	0.726	0.2923	0.57	0.2788	0.3298	0.2993	0.3289	0.5127
  B	0.2373	0	4.3046	2.58	1.9253	0.5986	0.4674	0.442	4.284	4.2537
  C	0.726	4.3046	0	1.4087	4.6935	1.8949	0.8124	0.2157	1.6622	5.2084
  D	0.2923	2.58	1.4087	0	3.3633	0.5072	0.4375	0.2525	1.4617	1.8416
  E	0.57	1.9253	4.6935	3.3633	0	1.3462	3.7687	0.1254	1.2594	0.5806
  F	0.2788	0.5986	1.8949	0.5072	1.3462	0	0.2939	0.2696	0.3331	0.2815
  G	0.3298	0.4674	0.8124	0.4375	3.7687	0.2939	0	0.2697	0.4578	0.4209
  H	0.2993	0.442	0.2157	0.2525	0.1254	0.2696	0.2697	0	0.4679	1.6728
  I	0.3289	4.284	1.6622	1.4617	1.2594	0.3331	0.4578	0.4679	0	1.9848
  J	0.5127	4.2537	5.2084	1.8416	0.5806	0.2815	0.4209	1.6728	1.9848	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0246	0.0751	0.0303	0.059	0.0289	0.0341	0.031	0.034	0.0531
  B	0.0258	0	0.4677	0.2804	0.2092	0.065	0.0508	0.048	0.4655	0.4622
  C	0.0338	0.2006	0	0.0656	0.2187	0.0883	0.0379	0.0101	0.0775	0.2427
  D	0.0215	0.1896	0.1035	0	0.2472	0.0373	0.0322	0.0186	0.1074	0.1354
  E	0.0742	0.2506	0.6109	0.4378	0	0.1752	0.4905	0.0163	0.1639	0.0756
  F	0.0247	0.0529	0.1675	0.0448	0.119	0	0.026	0.0238	0.0295	0.0249
  G	0.0179	0.0254	0.0441	0.0237	0.2044	0.0159	0	0.0146	0.0248	0.0228
  H	0.057	0.0841	0.0411	0.0481	0.0239	0.0513	0.0513	0	0.0891	0.3184
  I	0.0436	0.5676	0.2202	0.1937	0.1669	0.0441	0.0607	0.062	0	0.263
  J	0.037	0.3066	0.3754	0.1327	0.0419	0.0203	0.0303	0.1206	0.1431	0
