Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 4.458957

Equilibrium frequencies (pi_i):
  A: 0.1454
  B: 0.0735
  C: 0.087
  D: 0.1061
  E: 0.1338
  F: 0.1117
  G: 0.0755
  H: 0.1161
  I: 0.0124
  J: 0.1385

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.6257	0.3271	0.6387	0.6445	0.6424	1.3233	0.643	1.3363	0.6439
  B	0.6257	0	9.5397	0.6413	0.6274	1.0229	0.6166	0.6293	9.4355	0.9316
  C	0.3271	9.5397	0	1.0658	0.3246	0.3898	5.2627	0.6951	36.3626	0.4168
  D	0.6387	0.6413	1.0658	0	0.6396	0.9591	1.0594	1.2793	5.3963	0.6393
  E	0.6445	0.6274	0.3246	0.6396	0	0.6431	0.9122	0.6437	1.2877	0.6446
  F	0.6424	1.0229	0.3898	0.9591	0.6431	0	0.6132	0.8673	2.9273	0.6427
  G	1.3233	0.6166	5.2627	1.0594	0.9122	0.6132	0	0.7307	39.5727	0.9794
  H	0.643	0.6293	0.6951	1.2793	0.6437	0.8673	0.7307	0	1.7513	0.7316
  I	1.3363	9.4355	36.3626	5.3963	1.2877	2.9273	39.5727	1.7513	0	1.4755
  J	0.6439	0.9316	0.4168	0.6393	0.6446	0.6427	0.9794	0.7316	1.4755	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.091	0.0476	0.0929	0.0937	0.0934	0.1924	0.0935	0.1943	0.0936
  B	0.046	0	0.7015	0.0472	0.0461	0.0752	0.0453	0.0463	0.6939	0.0685
  C	0.0285	0.8304	0	0.0928	0.0283	0.0339	0.4581	0.0605	3.1653	0.0363
  D	0.0677	0.068	0.1131	0	0.0678	0.1017	0.1124	0.1357	0.5724	0.0678
  E	0.0863	0.084	0.0434	0.0856	0	0.0861	0.1221	0.0861	0.1723	0.0863
  F	0.0718	0.1143	0.0435	0.1071	0.0718	0	0.0685	0.0969	0.327	0.0718
  G	0.0999	0.0465	0.3971	0.0799	0.0688	0.0463	0	0.0551	2.9861	0.0739
  H	0.0747	0.0731	0.0807	0.1485	0.0747	0.1007	0.0848	0	0.2033	0.0849
  I	0.0165	0.1168	0.4501	0.0668	0.0159	0.0362	0.4899	0.0217	0	0.0183
  J	0.0892	0.129	0.0577	0.0885	0.0893	0.089	0.1356	0.1013	0.2043	0
