strain	accession	subtype	date	host	country	region	species	broad	order
A-duck-Ibaraki-1-2016-E1_S1	EPI866748	H3N8	2016-10-18	Avian	Japan	Japan Korea	Duck	duck	Anseriformes
A/Aichi/2/1968	M63515	H3N2	1968-XX-XX	Human	Japan	Japan Korea	Human	human	Human
A/Albany/1/1969	CY019900	H3N2	1969-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/1/1970	CY022939	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/1/1976	CY021942	H3N2	1976-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/10/1968	CY021846	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/11/1968	CY019892	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/14/1978	CY020222	H3N2	1978-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/15/1976	CY021830	H3N2	1976-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/17/1968	CY021110	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/18/1968	CY020526	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/19/1968	CY019908	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/20/1974	CY021094	H3N2	1974-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/3/1969	CY019916	H3N2	1969-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/3/1970	CY022947	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/4/1969	CY021838	H3N2	1969-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/4/1977	CY021102	H3N2	1977-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/42/1975	CY021078	H3N2	1975-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/6/1968	CY022086	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/6/1970	CY021118	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Alchi/2/1968	KX879576	H3N2	1968-XX-XX	Human	Japan	Japan Korea	Human	human	Human
A/American_black_duck/Alberta/284/2016	MG599640	H3N8	2016-08-28	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Alberta/96/2016	EPI1070270	H3N6	2016-08-11	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/44411/532/2008	KP636481	H3N8	2008-01-01	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_Black_Duck/Maine/A00090256/2007	MN210124	H3N2	2007-09-25	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/ME-Y17-170/2017	EPI1774729	H3N8	2017-08-29	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI15-7694/2015	EPI1774769	H3N2	2015-08-26	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI15-7795/2015	EPI1774777	H3N2	2015-09-28	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI16-5397/2016	EPI1774785	H3N8	2016-08-19	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI16-5433/2016	EPI1774801	H3N8	2016-09-13	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00322/2010	CY138649	H3N8	2010-08-08	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00424/2010	CY138851	H3N8	2010-08-10	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00425/2010	CY138859	H3N8	2010-08-10	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00454/2010	CY138867	H3N8	2010-08-11	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00467/2010	CY138875	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00484/2010	CY138958	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00485/2010	CY138966	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00500/2010	CY139041	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00522/2010	CY139068	H3N8	2010-08-13	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00525/2010	CY138066	H3N8	2010-08-13	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00558/2010	CY139084	H3N8	2010-08-14	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00608/2010	CY139108	H3N8	2010-08-16	Avian	Canada	North America	American Black Duck	duck	Anseriformes
