Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 8.205319

Equilibrium frequencies (pi_i):
  A: 0.1106
  B: 0.0448
  C: 0.0965
  D: 0.0919
  E: 0.0588
  F: 0.145
  G: 0.0387
  H: 0.0148
  I: 0.0707
  J: 0.0426
  K: 0.0685
  L: 0.2171

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	15.057	0.3379	0.8042	0.9394	0.2875	7.685	0.5942	0.3723	12.681	1.1115	0.7911
  B	15.057	0	0.5065	0.4998	0.5048	0.5007	0.6669	0.5041	0.5091	4.6396	0.514	0.4314
  C	0.3379	0.5065	0	0.4918	0.749	0.5159	0.5037	0.4901	0.5167	0.5054	0.5165	0.3376
  D	0.8042	0.4998	0.4918	0	0.972	3.1474	0.5293	0.4878	0.4979	0.4977	0.4983	0.7995
  E	0.9394	0.5048	0.749	0.972	0	0.49	0.5023	0.4978	0.5036	0.5137	0.5039	0.5532
  F	0.2875	0.5007	0.5159	3.1474	0.49	0	0.4968	0.716	0.5155	0.4991	0.5152	0.2866
  G	7.685	0.6669	0.5037	0.5293	0.5023	0.4968	0	1.3489	0.5094	0.6504	0.5074	4.6211
  H	0.5942	0.5041	0.4901	0.4878	0.4978	0.716	1.3489	0	0.4972	0.504	0.4976	7.7143
  I	0.3723	0.5091	0.5167	0.4979	0.5036	0.5155	0.5094	0.4972	0	0.5083	0.5163	0.938
  J	12.681	4.6396	0.5054	0.4977	0.5137	0.4991	0.6504	0.504	0.5083	0	0.5263	0.4042
  K	1.1115	0.514	0.5165	0.4983	0.5039	0.5152	0.5074	0.4976	0.5163	0.5263	0	0.3747
  L	0.7911	0.4314	0.3376	0.7995	0.5532	0.2866	4.6211	7.7143	0.938	0.4042	0.3747	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.6657	0.0374	0.089	0.1039	0.0318	0.8502	0.0657	0.0412	1.4028	0.123	0.0875
  B	0.6743	0	0.0227	0.0224	0.0226	0.0224	0.0299	0.0226	0.0228	0.2078	0.023	0.0193
  C	0.0326	0.0489	0	0.0475	0.0723	0.0498	0.0486	0.0473	0.0499	0.0488	0.0498	0.0326
  D	0.0739	0.0459	0.0452	0	0.0893	0.2893	0.0486	0.0448	0.0458	0.0457	0.0458	0.0735
  E	0.0552	0.0297	0.044	0.0571	0	0.0288	0.0295	0.0293	0.0296	0.0302	0.0296	0.0325
  F	0.0417	0.0726	0.0748	0.4563	0.071	0	0.072	0.1038	0.0747	0.0724	0.0747	0.0415
  G	0.2974	0.0258	0.0195	0.0205	0.0194	0.0192	0	0.0522	0.0197	0.0252	0.0196	0.1788
  H	0.0088	0.0075	0.0073	0.0072	0.0074	0.0106	0.02	0	0.0074	0.0075	0.0074	0.1145
  I	0.0263	0.036	0.0365	0.0352	0.0356	0.0364	0.036	0.0352	0	0.0359	0.0365	0.0663
  J	0.5397	0.1975	0.0215	0.0212	0.0219	0.0212	0.0277	0.0215	0.0216	0	0.0224	0.0172
  K	0.0761	0.0352	0.0354	0.0341	0.0345	0.0353	0.0347	0.0341	0.0354	0.036	0	0.0257
  L	0.1718	0.0937	0.0733	0.1736	0.1201	0.0622	1.0034	1.6751	0.2037	0.0878	0.0814	0
