Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.37286

Equilibrium frequencies (pi_i):
  A: 0.1072
  B: 0.0874
  C: 0.0613
  D: 0.0829
  E: 0.1429
  F: 0.1057
  G: 0.0623
  H: 0.1747
  I: 0.1049
  J: 0.0707

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.3423	0.3641	0.2728	0.5428	0.2451	0.268	0.2482	0.3026	0.5617
  B	0.3423	0	4.0445	3.3098	3.3939	1.2552	0.5329	0.7353	5.4247	5.5518
  C	0.3641	4.0445	0	0.7786	4.2523	1.0232	0.5276	0.2009	1.0413	4.381
  D	0.2728	3.3098	0.7786	0	2.526	0.5321	0.3676	0.2279	0.567	2.2219
  E	0.5428	3.3939	4.2523	2.526	0	0.9059	3.0092	0.129	1.5012	1.0861
  F	0.2451	1.2552	1.0232	0.5321	0.9059	0	0.3885	0.2586	0.5614	0.271
  G	0.268	0.5329	0.5276	0.3676	3.0092	0.3885	0	0.2391	0.4974	0.4075
  H	0.2482	0.7353	0.2009	0.2279	0.129	0.2586	0.2391	0	0.2187	1.5721
  I	0.3026	5.4247	1.0413	0.567	1.5012	0.5614	0.4974	0.2187	0	1.3122
  J	0.5617	5.5518	4.381	2.2219	1.0861	0.271	0.4075	1.5721	1.3122	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0367	0.039	0.0292	0.0582	0.0263	0.0287	0.0266	0.0324	0.0602
  B	0.0299	0	0.3536	0.2894	0.2967	0.1097	0.0466	0.0643	0.4743	0.4854
  C	0.0223	0.2478	0	0.0477	0.2605	0.0627	0.0323	0.0123	0.0638	0.2684
  D	0.0226	0.2745	0.0646	0	0.2095	0.0441	0.0305	0.0189	0.047	0.1842
  E	0.0776	0.4849	0.6076	0.3609	0	0.1294	0.43	0.0184	0.2145	0.1552
  F	0.0259	0.1327	0.1081	0.0562	0.0957	0	0.0411	0.0273	0.0593	0.0286
  G	0.0167	0.0332	0.0329	0.0229	0.1875	0.0242	0	0.0149	0.031	0.0254
  H	0.0434	0.1285	0.0351	0.0398	0.0225	0.0452	0.0418	0	0.0382	0.2746
  I	0.0317	0.5688	0.1092	0.0595	0.1574	0.0589	0.0522	0.0229	0	0.1376
  J	0.0397	0.3926	0.3098	0.1571	0.0768	0.0192	0.0288	0.1112	0.0928	0
