Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 5.434002

Equilibrium frequencies (pi_i):
  A: 0.1289
  B: 0.0726
  C: 0.0949
  D: 0.0971
  E: 0.1638
  F: 0.1119
  G: 0.0742
  H: 0.1132
  I: 0.0185
  J: 0.1248

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.5509	0.4548	0.5613	0.564	0.5629	0.8034	0.5633	1.1852	0.5636
  B	0.5509	0	7.9107	0.6012	0.6951	0.6096	0.8138	0.5515	9.8679	0.5505
  C	0.4548	7.9107	0	1.1946	0.2593	0.4451	5.0208	0.4585	34.556	0.3097
  D	0.5613	0.6012	1.1946	0	0.5609	0.6254	0.9887	1.0959	5.3069	0.6647
  E	0.564	0.6951	0.2593	0.5609	0	0.5632	1.0313	0.5637	0.8752	0.5643
  F	0.5629	0.6096	0.4451	0.6254	0.5632	0	0.5715	0.8445	2.669	0.5631
  G	0.8034	0.8138	5.0208	0.9887	1.0313	0.5715	0	0.5549	36.0716	1.2353
  H	0.5633	0.5515	0.4585	1.0959	0.5637	0.8445	0.5549	0	2.0415	0.5635
  I	1.1852	9.8679	34.556	5.3069	0.8752	2.669	36.0716	2.0415	0	1.754
  J	0.5636	0.5505	0.3097	0.6647	0.5643	0.5631	1.2353	0.5635	1.754	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.071	0.0586	0.0724	0.0727	0.0726	0.1036	0.0726	0.1528	0.0727
  B	0.04	0	0.5741	0.0436	0.0504	0.0442	0.0591	0.04	0.7162	0.04
  C	0.0431	0.7504	0	0.1133	0.0246	0.0422	0.4763	0.0435	3.2781	0.0294
  D	0.0545	0.0584	0.116	0	0.0545	0.0608	0.096	0.1065	0.5155	0.0646
  E	0.0924	0.1139	0.0425	0.0919	0	0.0923	0.1689	0.0923	0.1434	0.0924
  F	0.063	0.0682	0.0498	0.07	0.063	0	0.064	0.0945	0.2987	0.063
  G	0.0596	0.0604	0.3724	0.0733	0.0765	0.0424	0	0.0412	2.6755	0.0916
  H	0.0638	0.0625	0.0519	0.1241	0.0638	0.0956	0.0628	0	0.2312	0.0638
  I	0.022	0.1829	0.6405	0.0984	0.0162	0.0495	0.6686	0.0378	0	0.0325
  J	0.0703	0.0687	0.0387	0.083	0.0704	0.0703	0.1542	0.0703	0.2189	0
