strain	accession	subtype	date	host	country	region	species	broad	order
A-duck-Ibaraki-1-2016-E1_S1	EPI866747	H3N8	2016-10-18	Avian	Japan	Japan Korea	Duck	duck	Anseriformes
A/Aichi/2/1968	M34829	H3N2	1968-XX-XX	Human	Japan	Japan Korea	Human	human	Human
A/Albany/1/1969	CY019903	H3N2	1969-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/1/1970	CY022942	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/1/1976	CY021945	H3N2	1976-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/10/1968	CY021849	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/11/1968	CY019895	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/14/1978	CY020225	H3N2	1978-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/15/1976	CY021833	H3N2	1976-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/17/1968	CY021113	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/18/1968	CY020529	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/19/1968	CY019911	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/2/1970	CY021089	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/20/1974	CY021097	H3N2	1974-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/3/1969	CY019919	H3N2	1969-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/3/1970	CY022950	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/4/1969	CY021841	H3N2	1969-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/4/1977	CY021105	H3N2	1977-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/42/1975	CY021081	H3N2	1975-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/6/1968	CY022089	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/6/1970	CY021121	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Alchi/2/1968	KX879577	H3N2	1968-XX-XX	Human	Japan	Japan Korea	Human	human	Human
A/American_black_duck/Alberta/284/2016	MG599636	H3N8	2016-08-28	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Alberta/96/2016	MF613684	H3N6	2016-08-11	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/44411/532/2008	KP636482	H3N8	2008-01-01	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_Black_Duck/Maine/A00090256/2007	MN210127	H3N2	2007-09-25	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/ME-Y17-170/2017	MT421015	H3N8	2017-08-29	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI15-7694/2015	MT421055	H3N2	2015-08-26	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI15-7795/2015	MT421063	H3N2	2015-09-28	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI16-5397/2016	MT421071	H3N8	2016-08-19	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI16-5433/2016	MT421087	H3N8	2016-09-13	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00322/2010	CY138652	H3N8	2010-08-08	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00424/2010	CY138854	H3N8	2010-08-10	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00425/2010	CY138862	H3N8	2010-08-10	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00454/2010	CY138870	H3N8	2010-08-11	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00467/2010	CY138878	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00484/2010	CY138961	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00485/2010	CY138969	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00500/2010	CY139044	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
