Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 5.412779

Equilibrium frequencies (pi_i):
  A: 0.1289
  B: 0.0734
  C: 0.0945
  D: 0.0971
  E: 0.1637
  F: 0.1118
  G: 0.0741
  H: 0.1132
  I: 0.0185
  J: 0.1247

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.5528	0.4565	0.5633	0.5659	0.5648	0.8062	0.5653	1.1897	0.5656
  B	0.5528	0	7.7022	0.6031	0.6971	0.6118	0.8163	0.5534	9.8794	0.5524
  C	0.4565	7.7022	0	1.1984	0.2602	0.4469	5.0415	0.4602	34.4998	0.3109
  D	0.5633	0.6031	1.1984	0	0.5629	0.6275	0.9921	1.0996	5.3274	0.667
  E	0.5659	0.6971	0.2602	0.5629	0	0.5651	1.0349	0.5657	0.879	0.5662
  F	0.5648	0.6118	0.4469	0.6275	0.5651	0	0.5735	0.8475	2.6788	0.5651
  G	0.8062	0.8163	5.0415	0.9921	1.0349	0.5735	0	0.5569	36.2107	1.2396
  H	0.5653	0.5534	0.4602	1.0996	0.5657	0.8475	0.5569	0	2.0492	0.5655
  I	1.1897	9.8794	34.4998	5.3274	0.879	2.6788	36.2107	2.0492	0	1.7607
  J	0.5656	0.5524	0.3109	0.667	0.5662	0.5651	1.2396	0.5655	1.7607	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0712	0.0588	0.0726	0.0729	0.0728	0.1039	0.0728	0.1533	0.0729
  B	0.0406	0	0.5657	0.0443	0.0512	0.0449	0.0599	0.0406	0.7256	0.0406
  C	0.0432	0.7282	0	0.1133	0.0246	0.0423	0.4766	0.0435	3.2617	0.0294
  D	0.0547	0.0585	0.1163	0	0.0546	0.0609	0.0963	0.1067	0.5172	0.0648
  E	0.0926	0.1141	0.0426	0.0921	0	0.0925	0.1694	0.0926	0.1439	0.0927
  F	0.0632	0.0684	0.05	0.0702	0.0632	0	0.0641	0.0948	0.2996	0.0632
  G	0.0598	0.0605	0.3738	0.0736	0.0767	0.0425	0	0.0413	2.6847	0.0919
  H	0.064	0.0626	0.0521	0.1244	0.064	0.0959	0.063	0	0.2319	0.064
  I	0.022	0.183	0.6391	0.0987	0.0163	0.0496	0.6708	0.038	0	0.0326
  J	0.0705	0.0689	0.0388	0.0832	0.0706	0.0705	0.1546	0.0705	0.2196	0
