Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.443479

Equilibrium frequencies (pi_i):
  A: 0.107
  B: 0.0876
  C: 0.0618
  D: 0.0828
  E: 0.1419
  F: 0.1055
  G: 0.0621
  H: 0.1746
  I: 0.1046
  J: 0.0721

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.3413	0.3622	0.272	0.5417	0.2444	0.2675	0.2474	0.3018	0.56
  B	0.3413	0	4.0022	3.2987	3.3897	1.253	0.5318	0.7312	5.411	5.5346
  C	0.3622	4.0022	0	0.7767	4.226	1.0177	0.5248	0.2005	1.0377	4.6372
  D	0.272	3.2987	0.7767	0	2.52	0.5311	0.3666	0.2272	0.5671	2.2227
  E	0.5417	3.3897	4.226	2.52	0	0.9031	3.0018	0.1286	1.498	0.9706
  F	0.2444	1.253	1.0177	0.5311	0.9031	0	0.3876	0.2581	0.5607	0.2709
  G	0.2675	0.5318	0.5248	0.3666	3.0018	0.3876	0	0.2384	0.497	0.4073
  H	0.2474	0.7312	0.2005	0.2272	0.1286	0.2581	0.2384	0	0.2182	1.5721
  I	0.3018	5.411	1.0377	0.5671	1.498	0.5607	0.497	0.2182	0	1.3156
  J	0.56	5.5346	4.6372	2.2227	0.9706	0.2709	0.4073	1.5721	1.3156	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0365	0.0388	0.0291	0.058	0.0261	0.0286	0.0265	0.0323	0.0599
  B	0.0299	0	0.3505	0.2889	0.2969	0.1097	0.0466	0.064	0.4739	0.4847
  C	0.0224	0.2474	0	0.048	0.2612	0.0629	0.0324	0.0124	0.0641	0.2866
  D	0.0225	0.2731	0.0643	0	0.2086	0.044	0.0304	0.0188	0.047	0.184
  E	0.0769	0.4809	0.5996	0.3575	0	0.1281	0.4259	0.0183	0.2125	0.1377
  F	0.0258	0.1322	0.1074	0.0561	0.0953	0	0.0409	0.0272	0.0592	0.0286
  G	0.0166	0.033	0.0326	0.0228	0.1864	0.0241	0	0.0148	0.0309	0.0253
  H	0.0432	0.1276	0.035	0.0397	0.0225	0.0451	0.0416	0	0.0381	0.2744
  I	0.0316	0.5661	0.1086	0.0593	0.1567	0.0587	0.052	0.0228	0	0.1376
  J	0.0404	0.3991	0.3344	0.1603	0.07	0.0195	0.0294	0.1134	0.0949	0
