strain,accession,subtype,date,host,country,region,species,broad,order
A-duck-Ibaraki-1-2016-E1_S1|2016-10-18,EPI866748,H3N8,2016-10-18,Avian,Japan,Japan Korea,Duck,duck,Anseriformes
A/Aichi/2/1968|1968-01-01,M63515,H3N2,1968-01-01,Human,Japan,Japan Korea,Human,human,Human
A/Albany/1/1969|1969-01-01,CY019900,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/1/1970|1970-01-01,CY022939,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Albany/1/1976|1976-01-01,CY021942,H3N2,1976-01-01,Human,Usa,North America,Human,human,Human
A/Albany/10/1968|1968-01-01,CY021846,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/11/1968|1968-01-01,CY019892,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/14/1978|1978-01-01,CY020222,H3N2,1978-01-01,Human,Usa,North America,Human,human,Human
A/Albany/15/1976|1976-01-01,CY021830,H3N2,1976-01-01,Human,Usa,North America,Human,human,Human
A/Albany/17/1968|1968-01-01,CY021110,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/18/1968|1968-01-01,CY020526,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/19/1968|1968-01-01,CY019908,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/20/1974|1974-01-01,CY021094,H3N2,1974-01-01,Human,Usa,North America,Human,human,Human
A/Albany/3/1969|1969-01-01,CY019916,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/3/1970|1970-01-01,CY022947,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Albany/4/1969|1969-01-01,CY021838,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/4/1977|1977-01-01,CY021102,H3N2,1977-01-01,Human,Usa,North America,Human,human,Human
A/Albany/42/1975|1975-01-01,CY021078,H3N2,1975-01-01,Human,Usa,North America,Human,human,Human
A/Albany/6/1968|1968-01-01,CY022086,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/6/1970|1970-01-01,CY021118,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Alchi/2/1968|1968-01-01,KX879576,H3N2,1968-01-01,Human,Japan,Japan Korea,Human,human,Human
A/American_black_duck/Alberta/284/2016|2016-08-28,MG599640,H3N8,2016-08-28,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Alberta/96/2016|2016-08-11,EPI1070270,H3N6,2016-08-11,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/44411/532/2008|2008-01-01,KP636481,H3N8,2008-01-01,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_Black_Duck/Maine/A00090256/2007|2007-09-25,MN210124,H3N2,2007-09-25,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/ME-Y17-170/2017|2017-08-29,EPI1774729,H3N8,2017-08-29,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/UGAI15-7694/2015|2015-08-26,EPI1774769,H3N2,2015-08-26,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/UGAI15-7795/2015|2015-09-28,EPI1774777,H3N2,2015-09-28,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/UGAI16-5397/2016|2016-08-19,EPI1774785,H3N8,2016-08-19,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/UGAI16-5433/2016|2016-09-13,EPI1774801,H3N8,2016-09-13,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00322/2010|2010-08-08,CY138649,H3N8,2010-08-08,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00424/2010|2010-08-10,CY138851,H3N8,2010-08-10,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00425/2010|2010-08-10,CY138859,H3N8,2010-08-10,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00454/2010|2010-08-11,CY138867,H3N8,2010-08-11,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00467/2010|2010-08-12,CY138875,H3N8,2010-08-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00484/2010|2010-08-12,CY138958,H3N8,2010-08-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
