Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 4.524236

Equilibrium frequencies (pi_i):
  A: 0.1267
  B: 0.073
  C: 0.0938
  D: 0.0912
  E: 0.1516
  F: 0.1124
  G: 0.0724
  H: 0.1268
  I: 0.0133
  J: 0.1388

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.6119	0.3976	0.6228	0.627	0.6247	0.8921	0.6261	1.5352	0.6261
  B	0.6119	0	9.1002	0.6552	0.8495	0.6527	0.8308	0.6102	9.9769	0.8406
  C	0.3976	9.1002	0	1.2709	0.2909	0.3416	5.6093	0.7277	37.9445	0.3171
  D	0.6228	0.6552	1.2709	0	0.6222	0.7618	1.0858	0.9347	6.0154	0.6219
  E	0.627	0.8495	0.2909	0.6222	0	0.625	0.8781	0.6268	1.0351	0.627
  F	0.6247	0.6527	0.3416	0.7618	0.625	0	0.6151	1.2296	2.9016	0.6244
  G	0.8921	0.8308	5.6093	1.0858	0.8781	0.6151	0	0.6496	38.5226	1.004
  H	0.6261	0.6102	0.7277	0.9347	0.6268	1.2296	0.6496	0	1.3861	0.626
  I	1.5352	9.9769	37.9445	6.0154	1.0351	2.9016	38.5226	1.3861	0	1.5428
  J	0.6261	0.8406	0.3171	0.6219	0.627	0.6244	1.004	0.626	1.5428	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0775	0.0504	0.0789	0.0794	0.0791	0.113	0.0793	0.1945	0.0793
  B	0.0447	0	0.6641	0.0478	0.062	0.0476	0.0606	0.0445	0.7281	0.0614
  C	0.0373	0.8536	0	0.1192	0.0273	0.032	0.5262	0.0683	3.5593	0.0297
  D	0.0568	0.0597	0.1159	0	0.0567	0.0695	0.099	0.0852	0.5485	0.0567
  E	0.0951	0.1288	0.0441	0.0944	0	0.0948	0.1332	0.0951	0.157	0.0951
  F	0.0702	0.0734	0.0384	0.0856	0.0703	0	0.0692	0.1382	0.3262	0.0702
  G	0.0646	0.0602	0.4062	0.0786	0.0636	0.0445	0	0.047	2.7896	0.0727
  H	0.0794	0.0774	0.0922	0.1185	0.0795	0.1559	0.0823	0	0.1757	0.0794
  I	0.0204	0.1327	0.5047	0.08	0.0138	0.0386	0.5124	0.0184	0	0.0205
  J	0.0869	0.1167	0.044	0.0863	0.087	0.0867	0.1393	0.0869	0.2141	0
