Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 2.571929

Equilibrium frequencies (pi_i):
  A: 0.1204
  B: 0.1214
  C: 0.0943
  D: 0.0879
  E: 0.2046
  F: 0.0202
  G: 0.0951
  H: 0.0849
  I: 0.1712

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.4263	1.155	0.956	0.3215	2.2313	0.475	1.4907	3.5276
  B	0.4263	0	0.766	1.1608	0.8095	0.7595	0.8096	0.8091	0.4792
  C	1.155	0.766	0	1.5028	3.3271	0.7634	0.7745	0.7779	1.536
  D	0.956	1.1608	1.5028	0	0.7498	0.7675	0.7808	0.7836	1.0562
  E	0.3215	0.8095	3.3271	0.7498	0	1.0919	0.8081	0.8074	0.562
  F	2.2313	0.7595	0.7634	0.7675	1.0919	0	0.77	0.774	11.8978
  G	0.475	0.8096	0.7745	0.7808	0.8081	0.77	0	0.8088	1.3244
  H	1.4907	0.8091	0.7779	0.7836	0.8074	0.774	0.8088	0	0.5455
  I	3.5276	0.4792	1.536	1.0562	0.562	11.8978	1.3244	0.5455	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0513	0.139	0.1151	0.0387	0.2686	0.0572	0.1794	0.4246
  B	0.0517	0	0.093	0.1409	0.0982	0.0922	0.0983	0.0982	0.0582
  C	0.1089	0.0722	0	0.1417	0.3138	0.072	0.073	0.0734	0.1449
  D	0.0841	0.1021	0.1321	0	0.0659	0.0675	0.0687	0.0689	0.0929
  E	0.0658	0.1657	0.6809	0.1534	0	0.2234	0.1654	0.1652	0.115
  F	0.045	0.0153	0.0154	0.0155	0.022	0	0.0155	0.0156	0.2398
  G	0.0452	0.077	0.0737	0.0743	0.0769	0.0733	0	0.0769	0.126
  H	0.1265	0.0687	0.066	0.0665	0.0685	0.0657	0.0686	0	0.0463
  I	0.604	0.082	0.263	0.1808	0.0962	2.0371	0.2268	0.0934	0
