Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 12.356739

Equilibrium frequencies (pi_i):
  A: 0.1259
  B: 0.0989
  C: 0.0692
  D: 0.0829
  E: 0.1286
  F: 0.0887
  G: 0.0657
  H: 0.1818
  I: 0.0995
  J: 0.0588

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.3076	0.4735	0.3111	0.3602	0.3019	0.4765	0.276	0.3553	0.7932
  B	0.3076	0	2.9911	3.4437	2.3366	1.55	0.4502	0.4403	4.6869	5.9055
  C	0.4735	2.9911	0	0.9104	4.3078	0.8489	0.4181	0.1999	1.6562	5.273
  D	0.3111	3.4437	0.9104	0	2.6726	0.5229	0.2767	0.2477	1.0865	2.4318
  E	0.3602	2.3366	4.3078	2.6726	0	1.1922	2.5126	0.1249	2.1505	0.7295
  F	0.3019	1.55	0.8489	0.5229	1.1922	0	0.6313	0.3873	0.6421	0.8339
  G	0.4765	0.4502	0.4181	0.2767	2.5126	0.6313	0	0.2625	0.3808	0.4989
  H	0.276	0.4403	0.1999	0.2477	0.1249	0.3873	0.2625	0	0.3353	1.8164
  I	0.3553	4.6869	1.6562	1.0865	2.1505	0.6421	0.3808	0.3353	0	1.278
  J	0.7932	5.9055	5.273	2.4318	0.7295	0.8339	0.4989	1.8164	1.278	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0387	0.0596	0.0392	0.0453	0.038	0.06	0.0348	0.0447	0.0999
  B	0.0304	0	0.2958	0.3405	0.2311	0.1533	0.0445	0.0435	0.4635	0.584
  C	0.0328	0.2071	0	0.063	0.2983	0.0588	0.0289	0.0138	0.1147	0.3651
  D	0.0258	0.2855	0.0755	0	0.2216	0.0434	0.0229	0.0205	0.0901	0.2016
  E	0.0463	0.3006	0.5541	0.3438	0	0.1534	0.3232	0.0161	0.2766	0.0938
  F	0.0268	0.1374	0.0753	0.0464	0.1057	0	0.056	0.0343	0.0569	0.0739
  G	0.0313	0.0296	0.0275	0.0182	0.1651	0.0415	0	0.0172	0.025	0.0328
  H	0.0502	0.08	0.0363	0.045	0.0227	0.0704	0.0477	0	0.061	0.3302
  I	0.0353	0.4663	0.1648	0.1081	0.2139	0.0639	0.0379	0.0334	0	0.1271
  J	0.0466	0.3471	0.3099	0.1429	0.0429	0.049	0.0293	0.1068	0.0751	0
