Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Neonave
L:	Seal
M:	Swine
N:	?


Substitution rate (mu): 5.748294

Equilibrium frequencies (pi_i):
  A: 0.0768
  B: 0.0395
  C: 0.1016
  D: 0.0675
  E: 0.071
  F: 0.1349
  G: 0.0388
  H: 0.0175
  I: 0.0743
  J: 0.0412
  K: 0.0841
  L: 0.069
  M: 0.1838

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	17.4529	0.3836	1.0807	0.8004	0.3392	8.8011	0.6921	0.4294	13.3738	0.6177	1.2913	1.3097
  B	17.4529	0	0.6225	0.6188	0.6322	0.6174	0.6522	0.6285	0.6264	4.1241	0.6255	0.6669	0.5102
  C	0.3836	0.6225	0	0.6083	0.9205	0.6372	0.6144	0.604	0.6373	0.6217	0.6378	0.637	0.4041
  D	1.0807	0.6188	0.6083	0	1.2038	2.7083	0.6119	0.6104	0.6156	0.6169	0.6131	0.6169	1.331
  E	0.8004	0.6322	0.9205	1.2038	0	0.6055	0.6161	0.6104	0.6195	0.6882	0.6175	0.6207	0.8928
  F	0.3392	0.6174	0.6372	2.7083	0.6055	0	0.6069	0.8905	0.6366	0.6162	0.6371	0.6362	0.5434
  G	8.8011	0.6522	0.6144	0.6119	0.6161	0.6069	0	1.8764	0.6218	0.6993	0.6184	0.6215	4.2494
  H	0.6921	0.6285	0.604	0.6104	0.6104	0.8905	1.8764	0	0.6129	0.6301	0.6096	0.6144	9.5624
  I	0.4294	0.6264	0.6373	0.6156	0.6195	0.6366	0.6218	0.6129	0	0.6257	0.6373	0.6368	1.1395
  J	13.3738	4.1241	0.6217	0.6169	0.6882	0.6162	0.6993	0.6301	0.6257	0	0.6246	0.6266	0.5046
  K	0.6177	0.6255	0.6378	0.6131	0.6175	0.6371	0.6184	0.6096	0.6373	0.6246	0	0.637	0.4312
  L	1.2913	0.6669	0.637	0.6169	0.6207	0.6362	0.6215	0.6144	0.6368	0.6266	0.637	0	0.4571
  M	1.3097	0.5102	0.4041	1.331	0.8928	0.5434	4.2494	9.5624	1.1395	0.5046	0.4312	0.4571	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	1.341	0.0295	0.083	0.0615	0.0261	0.6763	0.0532	0.033	1.0276	0.0475	0.0992	0.1006
  B	0.69	0	0.0246	0.0245	0.025	0.0244	0.0258	0.0248	0.0248	0.1631	0.0247	0.0264	0.0202
  C	0.039	0.0632	0	0.0618	0.0935	0.0647	0.0624	0.0613	0.0647	0.0631	0.0648	0.0647	0.041
  D	0.0729	0.0417	0.041	0	0.0812	0.1827	0.0413	0.0412	0.0415	0.0416	0.0414	0.0416	0.0898
  E	0.0568	0.0449	0.0654	0.0855	0	0.043	0.0438	0.0434	0.044	0.0489	0.0439	0.0441	0.0634
  F	0.0457	0.0833	0.0859	0.3652	0.0817	0	0.0818	0.1201	0.0858	0.0831	0.0859	0.0858	0.0733
  G	0.3411	0.0253	0.0238	0.0237	0.0239	0.0235	0	0.0727	0.0241	0.0271	0.024	0.0241	0.1647
  H	0.0121	0.011	0.0106	0.0107	0.0107	0.0156	0.0329	0	0.0107	0.011	0.0107	0.0108	0.1676
  I	0.0319	0.0466	0.0474	0.0458	0.0461	0.0473	0.0462	0.0456	0	0.0465	0.0474	0.0473	0.0847
  J	0.5513	0.17	0.0256	0.0254	0.0284	0.0254	0.0288	0.026	0.0258	0	0.0258	0.0258	0.0208
  K	0.0519	0.0526	0.0536	0.0516	0.0519	0.0536	0.052	0.0513	0.0536	0.0525	0	0.0536	0.0363
  L	0.0892	0.046	0.044	0.0426	0.0429	0.0439	0.0429	0.0424	0.044	0.0433	0.044	0	0.0316
  M	0.2407	0.0937	0.0743	0.2446	0.164	0.0998	0.7808	1.7571	0.2094	0.0927	0.0792	0.084	0
