Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 6.789676

Equilibrium frequencies (pi_i):
  A: 0.0943
  B: 0.0392
  C: 0.0965
  D: 0.0828
  E: 0.0744
  F: 0.1491
  G: 0.0372
  H: 0.0172
  I: 0.0726
  J: 0.0457
  K: 0.0712
  L: 0.2198

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	16.6821	0.3467	0.891	0.6115	0.2848	9.3832	0.8513	0.3844	11.6443	1.0208	0.7641
  B	16.6821	0	0.5605	0.5561	0.5702	0.5527	0.7791	0.5686	0.5637	6.4037	0.5658	0.4608
  C	0.3467	0.5605	0	0.5488	0.8303	0.5736	0.5537	0.5469	0.574	0.5555	0.5736	0.3741
  D	0.891	0.5561	0.5488	0	0.8066	3.22	0.5477	0.5466	0.5545	0.5478	0.5546	0.9176
  E	0.6115	0.5702	0.8303	0.8066	0	0.5418	0.5521	0.5496	0.5581	0.7377	0.5582	0.5755
  F	0.2848	0.5527	0.5736	3.22	0.5418	0	0.5426	0.7989	0.573	0.545	0.5723	0.3136
  G	9.3832	0.7791	0.5537	0.5477	0.5521	0.5426	0	1.6961	0.5599	0.8563	0.5589	4.339
  H	0.8513	0.5686	0.5469	0.5466	0.5496	0.7989	1.6961	0	0.5537	0.5713	0.5539	8.8482
  I	0.3844	0.5637	0.574	0.5545	0.5581	0.573	0.5599	0.5537	0	0.5599	0.5734	1.0292
  J	11.6443	6.4037	0.5555	0.5478	0.7377	0.545	0.8563	0.5713	0.5599	0	0.7776	0.4725
  K	1.0208	0.5658	0.5736	0.5546	0.5582	0.5723	0.5589	0.5539	0.5734	0.7776	0	0.4106
  L	0.7641	0.4608	0.3741	0.9176	0.5755	0.3136	4.339	8.8482	1.0292	0.4725	0.4106	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.5739	0.0327	0.0841	0.0577	0.0269	0.8853	0.0803	0.0363	1.0986	0.0963	0.0721
  B	0.6541	0	0.022	0.0218	0.0224	0.0217	0.0305	0.0223	0.0221	0.2511	0.0222	0.0181
  C	0.0334	0.0541	0	0.0529	0.0801	0.0553	0.0534	0.0528	0.0554	0.0536	0.0553	0.0361
  D	0.0738	0.0461	0.0454	0	0.0668	0.2666	0.0454	0.0453	0.0459	0.0454	0.0459	0.076
  E	0.0455	0.0424	0.0618	0.06	0	0.0403	0.0411	0.0409	0.0415	0.0549	0.0415	0.0428
  F	0.0425	0.0824	0.0855	0.4802	0.0808	0	0.0809	0.1192	0.0854	0.0813	0.0853	0.0468
  G	0.3486	0.0289	0.0206	0.0203	0.0205	0.0202	0	0.063	0.0208	0.0318	0.0208	0.1612
  H	0.0147	0.0098	0.0094	0.0094	0.0095	0.0138	0.0292	0	0.0095	0.0098	0.0095	0.1525
  I	0.0279	0.0409	0.0417	0.0402	0.0405	0.0416	0.0406	0.0402	0	0.0406	0.0416	0.0747
  J	0.5321	0.2926	0.0254	0.025	0.0337	0.0249	0.0391	0.0261	0.0256	0	0.0355	0.0216
  K	0.0727	0.0403	0.0408	0.0395	0.0397	0.0407	0.0398	0.0394	0.0408	0.0554	0	0.0292
  L	0.168	0.1013	0.0822	0.2017	0.1265	0.0689	0.9537	1.9449	0.2262	0.1039	0.0903	0
