Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 6.798715

Equilibrium frequencies (pi_i):
  A: 0.0947
  B: 0.0386
  C: 0.0964
  D: 0.0827
  E: 0.0743
  F: 0.1491
  G: 0.0371
  H: 0.0172
  I: 0.0725
  J: 0.0464
  K: 0.0711
  L: 0.2197

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	16.7338	0.3467	0.8909	0.6116	0.2847	9.3806	0.8509	0.3844	11.5712	1.0207	0.7635
  B	16.7338	0	0.5602	0.5561	0.5699	0.5524	0.7803	0.5685	0.5635	6.4002	0.5656	0.4616
  C	0.3467	0.5602	0	0.5487	0.83	0.5734	0.5535	0.5467	0.5738	0.5554	0.5734	0.374
  D	0.8909	0.5561	0.5487	0	0.8064	3.2208	0.5475	0.5465	0.5544	0.5476	0.5544	0.9176
  E	0.6116	0.5699	0.83	0.8064	0	0.5416	0.5519	0.5494	0.5579	0.7372	0.5581	0.5754
  F	0.2847	0.5524	0.5734	3.2208	0.5416	0	0.5424	0.7987	0.5728	0.545	0.5721	0.3135
  G	9.3806	0.7803	0.5535	0.5475	0.5519	0.5424	0	1.6956	0.5597	0.8559	0.5587	4.3387
  H	0.8509	0.5685	0.5467	0.5465	0.5494	0.7987	1.6956	0	0.5536	0.5709	0.5537	8.8463
  I	0.3844	0.5635	0.5738	0.5544	0.5579	0.5728	0.5597	0.5536	0	0.5597	0.5732	1.0291
  J	11.5712	6.4002	0.5554	0.5476	0.7372	0.545	0.8559	0.5709	0.5597	0	0.7775	0.471
  K	1.0207	0.5656	0.5734	0.5544	0.5581	0.5721	0.5587	0.5537	0.5732	0.7775	0	0.4106
  L	0.7635	0.4616	0.374	0.9176	0.5754	0.3135	4.3387	8.8463	1.0291	0.471	0.4106	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.5839	0.0328	0.0843	0.0579	0.0269	0.8879	0.0805	0.0364	1.0953	0.0966	0.0723
  B	0.6467	0	0.0217	0.0215	0.022	0.0213	0.0302	0.022	0.0218	0.2473	0.0219	0.0178
  C	0.0334	0.054	0	0.0529	0.08	0.0553	0.0534	0.0527	0.0553	0.0535	0.0553	0.0361
  D	0.0737	0.046	0.0454	0	0.0667	0.2665	0.0453	0.0452	0.0459	0.0453	0.0459	0.0759
  E	0.0455	0.0424	0.0617	0.0599	0	0.0403	0.041	0.0408	0.0415	0.0548	0.0415	0.0428
  F	0.0425	0.0824	0.0855	0.4803	0.0808	0	0.0809	0.1191	0.0854	0.0813	0.0853	0.0468
  G	0.3482	0.029	0.0205	0.0203	0.0205	0.0201	0	0.0629	0.0208	0.0318	0.0207	0.1611
  H	0.0147	0.0098	0.0094	0.0094	0.0095	0.0138	0.0292	0	0.0095	0.0098	0.0095	0.1523
  I	0.0279	0.0409	0.0416	0.0402	0.0405	0.0415	0.0406	0.0401	0	0.0406	0.0416	0.0746
  J	0.5368	0.2969	0.0258	0.0254	0.0342	0.0253	0.0397	0.0265	0.026	0	0.0361	0.0219
  K	0.0726	0.0402	0.0408	0.0394	0.0397	0.0407	0.0397	0.0394	0.0408	0.0553	0	0.0292
  L	0.1677	0.1014	0.0822	0.2016	0.1264	0.0689	0.9533	1.9437	0.2261	0.1035	0.0902	0
