Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Neonave
L:	Seal
M:	Swine
N:	?


Substitution rate (mu): 5.8737

Equilibrium frequencies (pi_i):
  A: 0.0731
  B: 0.0443
  C: 0.0973
  D: 0.0784
  E: 0.0656
  F: 0.1548
  G: 0.0366
  H: 0.0183
  I: 0.0723
  J: 0.0372
  K: 0.0963
  L: 0.0629
  M: 0.1627

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	15.286	0.3773	0.8029	0.8528	0.3027	8.9755	0.6835	0.4222	13.2931	0.39	1.3259	1.2768
  B	15.286	0	0.6323	0.6218	0.6292	0.624	0.7016	0.6352	0.6353	8.5604	0.705	0.6364	0.5395
  C	0.3773	0.6323	0	0.6165	0.9331	0.6435	0.6257	0.6109	0.6447	0.624	0.6454	0.6441	0.4169
  D	0.8029	0.6218	0.6165	0	0.912	3.9414	0.6189	0.6124	0.6231	0.6174	0.6167	0.6254	1.28
  E	0.8528	0.6292	0.9331	0.912	0	0.6078	0.6246	0.6177	0.6274	0.6249	0.6222	0.6293	0.6766
  F	0.3027	0.624	0.6435	3.9414	0.6078	0	0.6139	0.8878	0.6429	0.6114	0.6435	0.6421	0.344
  G	8.9755	0.7016	0.6257	0.6189	0.6246	0.6139	0	1.8804	0.6304	0.9846	0.6259	0.6321	3.9339
  H	0.6835	0.6352	0.6109	0.6124	0.6177	0.8878	1.8804	0	0.6199	0.6352	0.6112	0.6225	10.3678
  I	0.4222	0.6353	0.6447	0.6231	0.6274	0.6429	0.6304	0.6199	0	0.6291	0.6447	0.644	1.1538
  J	13.2931	8.5604	0.624	0.6174	0.6249	0.6114	0.9846	0.6352	0.6291	0	0.8549	0.631	0.5427
  K	0.39	0.705	0.6454	0.6167	0.6222	0.6435	0.6259	0.6112	0.6447	0.8549	0	0.6441	0.4184
  L	1.3259	0.6364	0.6441	0.6254	0.6293	0.6421	0.6321	0.6225	0.644	0.631	0.6441	0	0.4756
  M	1.2768	0.5395	0.4169	1.28	0.6766	0.344	3.9339	10.3678	1.1538	0.5427	0.4184	0.4756	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M
  A	0	1.1179	0.0276	0.0587	0.0624	0.0221	0.6564	0.05	0.0309	0.9721	0.0285	0.097	0.0934
  B	0.6779	0	0.028	0.0276	0.0279	0.0277	0.0311	0.0282	0.0282	0.3796	0.0313	0.0282	0.0239
  C	0.0367	0.0615	0	0.06	0.0908	0.0626	0.0609	0.0594	0.0627	0.0607	0.0628	0.0627	0.0406
  D	0.063	0.0488	0.0484	0	0.0715	0.3092	0.0486	0.048	0.0489	0.0484	0.0484	0.0491	0.1004
  E	0.056	0.0413	0.0612	0.0598	0	0.0399	0.041	0.0405	0.0412	0.041	0.0408	0.0413	0.0444
  F	0.0468	0.0966	0.0996	0.61	0.0941	0	0.095	0.1374	0.0995	0.0946	0.0996	0.0994	0.0532
  G	0.3284	0.0257	0.0229	0.0226	0.0229	0.0225	0	0.0688	0.0231	0.036	0.0229	0.0231	0.1439
  H	0.0125	0.0116	0.0112	0.0112	0.0113	0.0163	0.0344	0	0.0113	0.0116	0.0112	0.0114	0.1898
  I	0.0305	0.046	0.0466	0.0451	0.0454	0.0465	0.0456	0.0448	0	0.0455	0.0466	0.0466	0.0835
  J	0.495	0.3188	0.0232	0.023	0.0233	0.0228	0.0367	0.0237	0.0234	0	0.0318	0.0235	0.0202
  K	0.0376	0.0679	0.0622	0.0594	0.0599	0.062	0.0603	0.0589	0.0621	0.0824	0	0.0621	0.0403
  L	0.0834	0.04	0.0405	0.0393	0.0396	0.0404	0.0397	0.0391	0.0405	0.0397	0.0405	0	0.0299
  M	0.2077	0.0878	0.0678	0.2083	0.1101	0.056	0.6401	1.687	0.1877	0.0883	0.0681	0.0774	0
