Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 11.401505

Equilibrium frequencies (pi_i):
  A: 0.1134
  B: 0.1058
  C: 0.058
  D: 0.0769
  E: 0.1287
  F: 0.0916
  G: 0.0649
  H: 0.1968
  I: 0.0984
  J: 0.0655

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2892	0.4421	0.3116	0.4451	0.297	0.4599	0.3377	0.3373	0.5008
  B	0.2892	0	3.1421	3.8511	2.5115	1.4678	0.2927	0.406	4.2146	5.7097
  C	0.4421	3.1421	0	1.0594	4.4189	0.9799	0.7922	0.2295	1.3524	4.9783
  D	0.3116	3.8511	1.0594	0	2.9674	0.4648	0.2998	0.2534	1.3201	1.5546
  E	0.4451	2.5115	4.4189	2.9674	0	1.1995	2.987	0.1383	1.7011	0.7275
  F	0.297	1.4678	0.9799	0.4648	1.1995	0	0.3011	0.4494	0.6683	0.4036
  G	0.4599	0.2927	0.7922	0.2998	2.987	0.3011	0	0.2718	0.3505	0.4228
  H	0.3377	0.406	0.2295	0.2534	0.1383	0.4494	0.2718	0	0.2945	1.8849
  I	0.3373	4.2146	1.3524	1.3201	1.7011	0.6683	0.3505	0.2945	0	2.0099
  J	0.5008	5.7097	4.9783	1.5546	0.7275	0.4036	0.4228	1.8849	2.0099	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0328	0.0501	0.0354	0.0505	0.0337	0.0522	0.0383	0.0383	0.0568
  B	0.0306	0	0.3323	0.4073	0.2656	0.1552	0.031	0.0429	0.4457	0.6039
  C	0.0256	0.1821	0	0.0614	0.2562	0.0568	0.0459	0.0133	0.0784	0.2886
  D	0.024	0.2962	0.0815	0	0.2283	0.0358	0.0231	0.0195	0.1015	0.1196
  E	0.0573	0.3234	0.5689	0.3821	0	0.1544	0.3846	0.0178	0.219	0.0937
  F	0.0272	0.1344	0.0897	0.0426	0.1098	0	0.0276	0.0412	0.0612	0.037
  G	0.0298	0.019	0.0514	0.0195	0.1938	0.0195	0	0.0176	0.0227	0.0274
  H	0.0664	0.0799	0.0451	0.0499	0.0272	0.0884	0.0535	0	0.058	0.3709
  I	0.0332	0.4149	0.1331	0.13	0.1675	0.0658	0.0345	0.029	0	0.1979
  J	0.0328	0.3739	0.326	0.1018	0.0476	0.0264	0.0277	0.1234	0.1316	0
