strain	accession	subtype	date	host	country	region	species	broad	order
A-duck-Ibaraki-1-2016-E1_S1	EPI866750	H3N8	2016-10-18	Avian	Japan	Japan Korea	Duck	duck	Anseriformes
A/Aichi/2/1968	CY121124	H3N2	1968-XX-XX	Human	Japan	Japan Korea	Human	human	Human
A/Albany/1/1969	CY019906	H3N2	1969-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/1/1970	CY022945	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/1/1976	CY021948	H3N2	1976-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/10/1968	CY021852	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/11/1968	CY019898	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/14/1978	CY020228	H3N2	1978-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/15/1976	CY021836	H3N2	1976-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/17/1968	CY021116	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/18/1968	CY020532	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/19/1968	CY019914	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/2/1970	CY021092	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/20/1974	CY021100	H3N2	1974-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/3/1969	CY019922	H3N2	1969-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/3/1970	CY022953	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/4/1969	CY021844	H3N2	1969-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/4/1977	CY021108	H3N2	1977-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/42/1975	CY021084	H3N2	1975-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/6/1968	CY022092	H3N2	1968-XX-XX	Human	Usa	North America	Human	human	Human
A/Albany/6/1970	CY021124	H3N2	1970-XX-XX	Human	Usa	North America	Human	human	Human
A/Alchi/2/1968	KX879570	H3N2	1968-XX-XX	Human	Japan	Japan Korea	Human	human	Human
A/American_black_duck/Alberta/284/2016	MG599645	H3N8	2016-08-28	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Alberta/96/2016	EPI1072972	H3N6	2016-08-11	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/44411/532/2008	EPI576517	H3N8	2008-01-01	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_Black_Duck/Maine/A00090256/2007	EPI1581790	H3N2	2007-09-25	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/ME-Y17-170/2017	EPI1774723	H3N8	2017-08-29	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI15-7694/2015	EPI1774763	H3N2	2015-08-26	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI15-7795/2015	EPI1774771	H3N2	2015-09-28	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI16-5397/2016	EPI1774779	H3N8	2016-08-19	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Maine/UGAI16-5433/2016	EPI1774795	H3N8	2016-09-13	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00322/2010	EPI434318	H3N8	2010-08-08	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00424/2010	EPI434633	H3N8	2010-08-10	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00425/2010	EPI434649	H3N8	2010-08-10	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00454/2010	EPI434656	H3N8	2010-08-11	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00467/2010	EPI434662	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00484/2010	EPI434754	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00485/2010	EPI434761	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00500/2010	EPI434820	H3N8	2010-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00522/2010	EPI434888	H3N8	2010-08-13	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00525/2010	CY138072	H3N8	2010-08-13	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00558/2010	EPI434903	H3N8	2010-08-14	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00608/2010	EPI434928	H3N8	2010-08-16	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00614/2010	EPI434953	H3N8	2010-08-16	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00616/2010	EPI434970	H3N8	2010-08-16	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00618/2010	EPI434994	H3N6	2010-08-16	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00619/2010	EPI435001	H3N6	2010-08-16	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00620/2010	EPI434976	H3N6	2010-08-16	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00622/2010	EPI435029	H3N6	2010-08-16	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00624/2010	EPI435043	H3N6	2010-08-16	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00687/2010	EPI435064	H3N8	2010-08-09	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/00953/2010	EPI435310	H3N8	2010-09-15	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02491/2007	EPI404843	H3N8	2007-09-17	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02496/2007	EPI405228	H3N8	2007-09-18	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02497/2007	EPI405170	H3N8	2007-09-18	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02502/2007	EPI405206	H3N8	2007-09-18	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02507/2007	EPI405103	H3N8	2007-09-18	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02525/2007	EPI405278	H3N8	2007-09-24	Avian	Canada	North America	American Black Duck	duck	Anseriformes
