strain,accession,subtype,date,host,country,region,species,broad,order
A-duck-Ibaraki-1-2016-E1_S1|2016-10-18,EPI866751,H3N8,2016-10-18,Avian,Japan,Japan Korea,Duck,duck,Anseriformes
A/Aichi/2/1968|1968-01-01,CY121123,H3N2,1968-01-01,Human,Japan,Japan Korea,Human,human,Human
A/Albany/1/1969|1969-01-01,CY019905,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/1/1970|1970-01-01,CY022944,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Albany/1/1976|1976-01-01,CY021947,H3N2,1976-01-01,Human,Usa,North America,Human,human,Human
A/Albany/10/1968|1968-01-01,CY021851,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/11/1968|1968-01-01,CY019897,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/14/1978|1978-01-01,CY020227,H3N2,1978-01-01,Human,Usa,North America,Human,human,Human
A/Albany/15/1976|1976-01-01,CY021835,H3N2,1976-01-01,Human,Usa,North America,Human,human,Human
A/Albany/17/1968|1968-01-01,CY021115,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/18/1968|1968-01-01,CY020531,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/19/1968|1968-01-01,CY019913,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/2/1970|1970-01-01,CY021091,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Albany/20/1974|1974-01-01,CY021099,H3N2,1974-01-01,Human,Usa,North America,Human,human,Human
A/Albany/3/1969|1969-01-01,CY019921,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/3/1970|1970-01-01,CY022952,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Albany/4/1969|1969-01-01,CY021843,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/4/1977|1977-01-01,CY021107,H3N2,1977-01-01,Human,Usa,North America,Human,human,Human
A/Albany/42/1975|1975-01-01,CY021083,H3N2,1975-01-01,Human,Usa,North America,Human,human,Human
A/Albany/6/1968|1968-01-01,CY022091,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/6/1970|1970-01-01,CY021123,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Alchi/2/1968|1968-01-01,KX879571,H3N2,1968-01-01,Human,Japan,Japan Korea,Human,human,Human
A/American_black_duck/Alberta/284/2016|2016-08-28,MG599666,H3N8,2016-08-28,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Alberta/96/2016|2016-08-11,EPI1070017,H3N6,2016-08-11,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/44411/532/2008|2008-01-01,KP636476,H3N8,2008-01-01,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_Black_Duck/Maine/A00090256/2007|2007-09-25,MN210129,H3N2,2007-09-25,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/ME-Y17-170/2017|2017-08-29,EPI1774724,H3N8,2017-08-29,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/UGAI15-7694/2015|2015-08-26,EPI1774764,H3N2,2015-08-26,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/UGAI15-7795/2015|2015-09-28,EPI1774772,H3N2,2015-09-28,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/UGAI16-5397/2016|2016-08-19,EPI1774780,H3N8,2016-08-19,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Maine/UGAI16-5433/2016|2016-09-13,EPI1774796,H3N8,2016-09-13,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00322/2010|2010-08-08,EPI434317,H3N8,2010-08-08,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00424/2010|2010-08-10,EPI434632,H3N8,2010-08-10,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00425/2010|2010-08-10,EPI434648,H3N8,2010-08-10,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00454/2010|2010-08-11,EPI434655,H3N8,2010-08-11,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00467/2010|2010-08-12,EPI434661,H3N8,2010-08-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00484/2010|2010-08-12,CY138963,H3N8,2010-08-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00485/2010|2010-08-12,CY138971,H3N8,2010-08-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00500/2010|2010-08-12,EPI434819,H3N8,2010-08-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00522/2010|2010-08-13,EPI434887,H3N8,2010-08-13,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00525/2010|2010-08-13,EPI433674,H3N8,2010-08-13,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00558/2010|2010-08-14,EPI434902,H3N8,2010-08-14,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00608/2010|2010-08-16,EPI434927,H3N8,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00614/2010|2010-08-16,EPI434951,H3N8,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00616/2010|2010-08-16,EPI434969,H3N8,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00618/2010|2010-08-16,CY139171,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00619/2010|2010-08-16,EPI435000,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00620/2010|2010-08-16,EPI435007,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00622/2010|2010-08-16,EPI435028,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00624/2010|2010-08-16,EPI435042,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00687/2010|2010-08-09,CY139245,H3N8,2010-08-09,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00953/2010|2010-09-15,EPI435309,H3N8,2010-09-15,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02491/2007|2007-09-17,EPI404842,H3N8,2007-09-17,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02496/2007|2007-09-18,EPI405227,H3N8,2007-09-18,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02497/2007|2007-09-18,EPI405169,H3N8,2007-09-18,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02502/2007|2007-09-18,EPI405205,H3N8,2007-09-18,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02507/2007|2007-09-18,EPI405102,H3N8,2007-09-18,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02525/2007|2007-09-24,EPI405277,H3N8,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02549/2007|2007-09-26,CY128674,H3N8,2007-09-26,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02629/2007|2007-09-22,EPI404688,H3N8,2007-09-22,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02649/2007|2007-09-24,CY129100,H3N6,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02650/2007|2007-09-24,EPI404708,H3N2,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02651/2007|2007-09-24,EPI405109,H3N2,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02656/2007|2007-09-24,EPI404880,H3N8,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02725/2007|2007-09-19,EPI404701,H3N8,2007-09-19,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02749/2007|2007-09-04,CY129348,H3N8,2007-09-04,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03395/2009|2009-08-09,EPI404660,H3N8,2009-08-09,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03398/2009|2009-08-09,EPI404626,H3N8,2009-08-09,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03408/2009|2009-08-10,EPI404653,H3N8,2009-08-10,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03451/2009|2009-08-12,EPI404592,H3N9,2009-08-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03495/2009|2009-09-09,EPI404672,H3N8,2009-09-09,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03509/2009|2009-09-10,EPI404665,H3N8,2009-09-10,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/04484/2007|2007-09-04,CY129284,H3N8,2007-09-04,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/19350/2006|2006-09-14,CY095424,H3N8,2006-09-14,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/25182/2007|2007-09-21,CY047702,H3N6,2007-09-21,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Hampshire/23-031358-001-original/2023|2023-10-05,EPI3509561,H3N1,2023-10-05,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/732/2008|2008-09-15,KC492245,H3N8,2008-09-15,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/734/2008|2008-09-19,KC492252,H3N8,2008-09-19,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/GR252/2011|2011-08-31,KC492380,H3N2,2011-08-31,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/GR256/2011|2011-08-31,KC492388,H3N2,2011-08-31,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/GR396/2011|2011-09-12,KC492396,H3N2,2011-09-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/GR490/2011|2011-09-14,KC492412,H3N2,2011-09-14,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/GR679/2011|2011-10-12,KC492420,H3N2,2011-10-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/MW662/2010|2010-09-17,KC492332,H3N6,2010-09-17,Avian,Canada,North America,American Black Duck,duck,Anseriformes
