Map from character to field name
A:	Anseriformes
B:	Avian
C:	Camel
D:	Canine
E:	Equine
F:	Feline
G:	Galliformes
H:	Human
I:	Mink
J:	Neoave
K:	Seal
L:	Swine
M:	?


Substitution rate (mu): 5.916467

Equilibrium frequencies (pi_i):
  A: 0.1197
  B: 0.0408
  C: 0.0916
  D: 0.0789
  E: 0.0693
  F: 0.1467
  G: 0.036
  H: 0.0101
  I: 0.0672
  J: 0.0432
  K: 0.0645
  L: 0.2319

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	14.4042	0.3907	0.7924	0.7415	0.3194	10.2862	0.798	0.4327	8.5746	1.3145	0.4736
  B	14.4042	0	0.6061	0.5969	0.724	0.5981	0.7645	0.5977	0.609	1.5488	0.6098	0.4724
  C	0.3907	0.6061	0	0.5912	0.8919	0.618	0.6	0.5753	0.6181	0.6028	0.6177	0.3873
  D	0.7924	0.5969	0.5912	0	0.8676	3.4742	0.5924	0.5782	0.5977	0.5926	0.5982	0.7655
  E	0.7415	0.724	0.8919	0.8676	0	0.5802	0.6023	0.5829	0.6003	0.6147	0.6015	0.5977
  F	0.3194	0.5981	0.618	3.4742	0.5802	0	0.589	0.8278	0.617	0.5932	0.6165	0.3157
  G	10.2862	0.7645	0.6	0.5924	0.6023	0.589	0	1.7985	0.6094	0.8941	0.6052	4.0699
  H	0.798	0.5977	0.5753	0.5782	0.5829	0.8278	1.7985	0	0.5867	0.5959	0.5874	12.9371
  I	0.4327	0.609	0.6181	0.5977	0.6003	0.617	0.6094	0.5867	0	0.6067	0.6175	1.078
  J	8.5746	1.5488	0.6028	0.5926	0.6147	0.5932	0.8941	0.5959	0.6067	0	0.6071	0.4588
  K	1.3145	0.6098	0.6177	0.5982	0.6015	0.6165	0.6052	0.5874	0.6175	0.6071	0	0.4342
  L	0.4736	0.4724	0.3873	0.7655	0.5977	0.3157	4.0699	12.9371	1.078	0.4588	0.4342	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	1.7239	0.0468	0.0948	0.0887	0.0382	1.231	0.0955	0.0518	1.0262	0.1573	0.0567
  B	0.5878	0	0.0247	0.0244	0.0295	0.0244	0.0312	0.0244	0.0249	0.0632	0.0249	0.0193
  C	0.0358	0.0555	0	0.0542	0.0817	0.0566	0.055	0.0527	0.0566	0.0552	0.0566	0.0355
  D	0.0625	0.0471	0.0466	0	0.0684	0.2739	0.0467	0.0456	0.0471	0.0467	0.0472	0.0604
  E	0.0514	0.0502	0.0618	0.0601	0	0.0402	0.0417	0.0404	0.0416	0.0426	0.0417	0.0414
  F	0.0469	0.0877	0.0907	0.5097	0.0851	0	0.0864	0.1214	0.0905	0.087	0.0905	0.0463
  G	0.3707	0.0276	0.0216	0.0213	0.0217	0.0212	0	0.0648	0.022	0.0322	0.0218	0.1467
  H	0.0081	0.006	0.0058	0.0058	0.0059	0.0084	0.0182	0	0.0059	0.006	0.0059	0.1307
  I	0.0291	0.0409	0.0415	0.0402	0.0403	0.0415	0.0409	0.0394	0	0.0408	0.0415	0.0724
  J	0.3708	0.067	0.0261	0.0256	0.0266	0.0257	0.0387	0.0258	0.0262	0	0.0263	0.0198
  K	0.0848	0.0393	0.0399	0.0386	0.0388	0.0398	0.039	0.0379	0.0398	0.0392	0	0.028
  L	0.1098	0.1096	0.0898	0.1775	0.1386	0.0732	0.9438	3.0	0.25	0.1064	0.1007	0
