Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 4.646864

Equilibrium frequencies (pi_i):
  A: 0.1355
  B: 0.0643
  C: 0.1023
  D: 0.1116
  E: 0.143
  F: 0.115
  G: 0.0752
  H: 0.1101
  I: 0.0148
  J: 0.1283

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.5856	0.4237	0.5997	0.6046	0.6025	1.1198	0.6042	1.2158	0.6045
  B	0.5856	0	9.1627	0.8836	0.5838	0.5881	0.7605	0.5888	9.4907	0.5874
  C	0.4237	9.1627	0	0.8801	0.2626	0.441	5.8715	0.9407	28.6231	0.3904
  D	0.5997	0.8836	0.8801	0	0.6005	0.7859	1.5792	0.9841	4.5006	0.601
  E	0.6046	0.5838	0.2626	0.6005	0	0.6036	0.9706	0.6053	1.1254	0.6059
  F	0.6025	0.5881	0.441	0.7859	0.6036	0	0.5642	1.2435	2.586	0.6037
  G	1.1198	0.7605	5.8715	1.5792	0.9706	0.5642	0	0.5938	34.5537	0.9901
  H	0.6042	0.5888	0.9407	0.9841	0.6053	1.2435	0.5938	0	0.8798	0.6053
  I	1.2158	9.4907	28.6231	4.5006	1.1254	2.586	34.5537	0.8798	0	1.569
  J	0.6045	0.5874	0.3904	0.601	0.6059	0.6037	0.9901	0.6053	1.569	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0794	0.0574	0.0813	0.0819	0.0817	0.1518	0.0819	0.1648	0.0819
  B	0.0376	0	0.5889	0.0568	0.0375	0.0378	0.0489	0.0378	0.61	0.0378
  C	0.0433	0.9371	0	0.09	0.0269	0.0451	0.6005	0.0962	2.9274	0.0399
  D	0.0669	0.0986	0.0982	0	0.067	0.0877	0.1762	0.1098	0.5022	0.0671
  E	0.0864	0.0835	0.0375	0.0859	0	0.0863	0.1388	0.0866	0.1609	0.0866
  F	0.0693	0.0676	0.0507	0.0904	0.0694	0	0.0649	0.143	0.2974	0.0694
  G	0.0842	0.0572	0.4413	0.1187	0.073	0.0424	0	0.0446	2.5972	0.0744
  H	0.0665	0.0648	0.1036	0.1084	0.0666	0.1369	0.0654	0	0.0969	0.0666
  I	0.018	0.1405	0.4237	0.0666	0.0167	0.0383	0.5115	0.013	0	0.0232
  J	0.0776	0.0754	0.0501	0.0771	0.0777	0.0775	0.127	0.0777	0.2013	0
