	given_date	apparent_date	residual
A/canine/Beijing/20150124-300/2015|2015-01-24	2015.07	1983.13452985567	-9.35030851772811
A/canine/Beijing/20150120-265/2015|2015-01-20	2015.05	1996.0003749592274	-5.577493316154768
A/canine/Beijing/20150122-284/2015|2015-01-22	2015.06	1996.0003749592274	-5.580421191797546
A/canine/Beijing/20131203-341/2013|2013-12-03	2013.91	1998.663003072528	-4.464131092995045
A/canine/Beijing/20140103-90/2014|2014-01-03	2014.01	1999.5113806598738	-4.245015442033442
A/canine/California/043670/2017|2017-03-24	2017.23	2002.3493145365758	-4.356879651668146
A/canine/California/20170411-20/2017|2017-04-01	2017.25	2002.3493145365758	-4.362735402953812
A/canine/Beijing/20131207-365/2013|2013-12-07	2013.92	1998.6621699494244	-4.467302896722026
A/canine/Beijing/20140110-2/2014|2014-01-10	2014.03	1998.6621699494244	-4.499509528792921
A/canine/Beijing/20131112-279/2013|2013-11-12	2013.85	1998.6621699494244	-4.446807767222247
A/canine/Beijing/20131203-342/2013|2013-12-03	2013.91	1998.6621699494244	-4.464375021079247
A/canine/China/JLM2/2015|2015-11-25	2015.89	1999.4390822369676	-4.816624142025949
A/canine/China/LG2/2015|2015-12-16	2015.95	1999.4398820351466	-4.833957224921945
A/canine/China/LG1/2015|2015-12-16	2015.95	2000.2899591936236	-4.5850652042405144
A/canine/China/JLM1/2015|2015-11-25	2015.89	2000.2954578061056	-4.565888025028254
A/canine/Beijing/20121230-62/2012|2012-12-30	2012.99	1997.744343220185	-4.463738714426679
A/canine/Beijing/20150118-256/2015|2015-01-18	2015.05	1997.744343220185	-5.066881096845559
A/canine/Beijing/20131204-349/2013|2013-12-04	2013.92	1997.7451763432887	-4.7357872211238545
A/canine/Beijing/20121215-34/2012|2012-12-15	2012.95	1998.6646526562724	-4.182572053678577
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2020.1315690350084	5.504865602421854
