#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.005576, -0.003760
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.005576, -0.003760
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.010885, 0.007500
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.009508, 0.005906
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.007751, 0.002607
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.008627, 0.004108
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.008627, -0.000709
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.004677, -0.006902
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.004677, -0.006087
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.004678, 0.000121
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.005114, 0.000977
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.004555, -0.003826
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.007195, -0.001084
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.004996, -0.003181
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.005434, -0.002947
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.006753, -0.001092
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.004556, -0.003328
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.004556, -0.003341
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.004556, -0.003341
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.006119, -0.001752
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.006120, -0.001865
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.009246, 0.001349
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.009246, 0.001273
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.007686, -0.000198
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.007686, -0.000299
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.012388, 0.004313
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.009251, 0.000960
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.009251, 0.000960
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.006762, -0.001721
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.005438, -0.006664
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.010720, 0.001269
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.006314, -0.006845
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.007634, -0.005526
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.004996, -0.007106
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.004997, -0.007831
