#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/S1/2012|2012-11-05, 2012.84, 0.001748, -0.010731
A/canine/Korea/DG1/2014|2014-02-13, 2014.12, 0.012468, -0.001553
A/canine/Korea/BD-1/2013|2013-05-30, 2013.41, 0.004593, -0.008572
A/canine/Korea/SH1/2014|2014-09-01, 2014.66, 0.004595, -0.010076
A/canine/Korea/AS-01/2009|2009-09-18, 2009.71, 0.004593, -0.004116
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.006875, -0.000666
A/canine/Korea/KRIBB01/2011|2011-11-01, 2011.82, 0.007443, -0.003808
A/canine/Korea/CY053/2014|2014-03-02, 2014.17, 0.009584, -0.004497
A/canine/Korea/CY009/2010|2010-10-01, 2010.74, 0.011011, 0.001062
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.013128, 0.008393
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.027547, 0.012407
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.027547, 0.012406
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.028961, 0.013809
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.028961, 0.013797
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.010997, 0.006057
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.010293, 0.003896
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.011001, 0.005194
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.014550, 0.004191
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.012420, 0.006975
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.015258, 0.009415
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.010998, -0.000710
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.010998, -0.001480
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.010998, -0.000710
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.008146, -0.001226
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.008146, -0.001226
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.008144, -0.004756
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.011712, 0.001353
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.011707, -0.000217
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.011707, -0.000097
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.014569, 0.003054
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.015974, 0.003664
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.016682, 0.004359
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.015978, 0.003367
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.013838, 0.001179
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.017397, 0.003617
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.020963, 0.004811
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.020961, 0.004809
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.020964, 0.004740
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.028883, 0.012659
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.020246, 0.002480
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.020246, 0.002456
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.016680, 0.002768
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.015263, 0.001568
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.015266, 0.001499
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.015977, 0.002089
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.015978, 0.002210
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.015978, 0.002198
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.006723, -0.002347
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.008859, -0.000307
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.008148, -0.001802
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.010983, -0.001989
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.009567, -0.004092
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.009570, -0.004402
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.010279, -0.003694
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.010280, -0.003379
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.010991, -0.001981
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.009572, -0.000896
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.018153, 0.007794
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.006725, -0.002261
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.008860, -0.000692
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.005310, -0.003676
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.006732, -0.002724
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.006023, -0.003060
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.005313, -0.003685
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.005313, -0.003685
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.005313, -0.003769
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.005313, -0.004143
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.005313, -0.003685
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.005313, -0.003950
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.005313, -0.004046
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.005313, -0.003661
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.005313, -0.003637
A/canine/Korea/AS-09/2012|2012-10-15, 2012.78, 0.001804, -0.010602
A/canine/Korea/AS-05/2012|2012-07-14, 2012.53, 0.001804, -0.010301
A/canine/Korea/AS-08/2012|2012-09-17, 2012.7, 0.001804, -0.010506
A/canine/Korea/AS-04/2012|2012-06-11, 2012.44, 0.008944, -0.003053
A/canine/Korea/AS-14/2013|2013-08-09, 2013.6, 0.008944, -0.004450
A/canine/Korea/AS-11/2013|2013-06-08, 2013.43, 0.010365, -0.002824
A/canine/Korea/AS-06/2012|2012-08-24, 2012.64, 0.008949, -0.003288
A/canine/Korea/AS-03/2012|2012-05-10, 2012.36, 0.008949, -0.002951
A/canine/Korea/AS-15/2013|2013-09-11, 2013.69, 0.008949, -0.004553
A/canine/Korea/SH5/2015|2015-11-20, 2015.88, 0.015345, -0.000795
A/canine/South_Korea/20170110-1F1/2016|2016-04-01, 2016.25, 0.013925, -0.002660
A/canine/Korea/SH4/2016|2016-07-22, 2016.55, 0.013220, -0.003727
A/canine/Korea/SH2/2016|2016-07-22, 2016.55, 0.013220, -0.003727
A/canine/Korea/SH3/2016|2016-07-22, 2016.55, 0.013220, -0.003727
A/canine/Illinois/20170110-2F1/2016|2016-04-01, 2016.25, 0.015464, -0.001122
A/canine/Illinois/20170110-2G1/2016|2016-04-01, 2016.25, 0.015464, -0.001122
A/canine/Indiana/093165-16-1-1/2016|2016-09-01, 2016.66, 0.014046, -0.003033
A/canine/Indiana/M16-09378-32-1/2016|2016-04-05, 2016.26, 0.014046, -0.002552
A/canine/Illinois/091375-16-1-1/2016|2016-09-01, 2016.66, 0.014046, -0.003033
A/dog/Indiana/M16-09378-32-1/2016|2016-04-05, 2016.26, 0.014046, -0.002552
A/canine/Illinois/20170110-1G4/2016|2016-04-01, 2016.25, 0.014752, -0.001833
A/canine/Indiana/17031-16-2/2016|2016-09-01, 2016.66, 0.017589, 0.000510
A/canine/Illinois/20170110-1A4/2016|2016-09-01, 2016.66, 0.015465, -0.001615
A/canine/Illinois/20170110-1G12/2016|2016-04-01, 2016.25, 0.015465, -0.001121
A/canine/Illinois/187427-16-7/2016|2016-04-01, 2016.25, 0.015465, -0.001121
A/canine/Indiana/132276-16-1-2/2016|2016-09-01, 2016.66, 0.015465, -0.001615
A/canine/Illinois/145135-16-3-1/2016|2016-09-01, 2016.66, 0.016175, -0.000905
A/canine/Illinois/M16-30480-3-1/2016|2016-04-01, 2016.25, 0.016175, -0.000411
A/canine/Illinois/M17-05782-8-1/2017|2017-04-01, 2017.25, 0.019012, 0.001222
A/canine/Illinois/M16-25374-14-1/2016|2016-04-01, 2016.25, 0.018309, 0.001723
A/canine/Indiana/1177-17-1/2017|2017-09-01, 2017.66, 0.018309, 0.000025
A/canine/Illinois/M16-16391-2-1/2016|2016-04-01, 2016.25, 0.018309, 0.001723
A/canine/Pennsylvania/20170411-5/2017|2017-04-01, 2017.25, 0.018309, 0.000518
A/canine/Illinois/M17-05782-11-1/2017|2017-04-01, 2017.25, 0.019016, 0.001225
A/canine/Illinois/M17-05782-4-1/2017|2017-04-01, 2017.25, 0.019016, 0.001225
A/canine/Illinois/M17-05782-1-1/2017|2017-04-01, 2017.25, 0.019016, 0.001225
A/canine/Illinois/M17-05782-7-1/2017|2017-04-01, 2017.25, 0.019016, 0.001225
A/canine/Illinois/328292/2015|2015-11-01, 2015.82, 0.015570, -0.000498
A/canine/Indiana/003018/2016|2016-11-01, 2016.82, 0.014155, -0.003118
A/canine/Texas/343907/2015|2015-12-22, 2015.96, 0.014155, -0.002082
A/canine/Wisconsin/19137/2016|2016-02-08, 2016.1, 0.017709, 0.001304
A/canine/Illinois/M16-25374-19-1/2016|2016-04-01, 2016.25, 0.017706, 0.001120
A/canine/Illinois/077752/2016|2016-09-01, 2016.66, 0.017000, -0.000079
A/canine/Illinois/077753/2016|2016-11-01, 2016.82, 0.017000, -0.000272
A/canine/Georgia/101875/2015|2015-09-01, 2015.66, 0.012733, -0.003142
A/canine/Illinois/41915/2015|2015-09-01, 2015.66, 0.013443, -0.002432
A/canine/Illinois/12191/2015|2015-04-15, 2015.29, 0.013443, -0.001986
A/canine/Georgia/42632/2015|2015-06-12, 2015.44, 0.014158, -0.001452
A/canine/Korea/0589318/2015|2015-03-05, 2015.18, 0.013444, -0.001853
A/canine/South_Korea/0173915/2015|2015-11-01, 2015.82, 0.013444, -0.002624
A/canine/Georgia/95391/2015|2015-07-13, 2015.53, 0.012023, -0.003695
A/canine/Florida/269770/2015|2015-11-01, 2015.82, 0.012738, -0.003329
A/canine/Indiana/96198/2015|2015-07-02, 2015.5, 0.014162, -0.001521
A/canine/North_Carolina/103297/2015|2015-09-01, 2015.66, 0.014162, -0.001713
A/canine/North_Carolina/109904/2015|2015-07-29, 2015.57, 0.012738, -0.003029
A/canine/Illinois/278597/2016|2016-09-01, 2016.66, 0.013446, -0.003633
A/canine/Illinois/283066/2015|2015-11-01, 2015.82, 0.013446, -0.002622
A/canine/Illinois/1619144/2015|2015-04-14, 2015.28, 0.012026, -0.003391
A/canine/Texas/2100186/2015|2015-09-01, 2015.66, 0.012026, -0.003849
A/canine/Illinois/2883703/2015|2015-05-07, 2015.35, 0.012026, -0.003476
A/canine/Illinois/I0182389/2015|2015-09-01, 2015.66, 0.012026, -0.003849
A/canine/Illinois/0843093/2015|2015-03-30, 2015.25, 0.012026, -0.003355
A/canine/Pennsylvania/0261885/2015|2015-09-01, 2015.66, 0.012026, -0.003849
A/canine/Georgia/104940/2015|2015-07-17, 2015.54, 0.012026, -0.003705
A/canine/Indiana/2093681/2015|2015-09-01, 2015.66, 0.012026, -0.003849
A/canine/Fujian/601/2018|2018-01-01, 2018.0, 0.018198, -0.000495
A/canine/Beijing/20170417-81/2017|2017-04-17, 2017.29, 0.018207, 0.000369
A/canine/Beijing/20170528-148/2017|2017-05-28, 2017.41, 0.018923, 0.000940
A/canine/Beijing/20170512-121/2017|2017-05-12, 2017.36, 0.018210, 0.000287
A/canine/Beijing/20170512-122/2017|2017-05-12, 2017.36, 0.018210, 0.000287
A/canine/Beijing/20170424-102/2017|2017-04-24, 2017.31, 0.017497, -0.000366
A/canine/Beijing/20170720-30/2017|2017-07-20, 2017.55, 0.017497, -0.000655
A/canine/Beijing/20170712-18/2017|2017-07-12, 2017.53, 0.017497, -0.000631
A/canine/Beijing/20170616-202/2017|2017-06-16, 2017.45, 0.017497, -0.000534
A/canine/Beijing/20170314-73/2017|2017-03-14, 2017.2, 0.017497, -0.000233
A/canine/Beijing/20170604-164/2017|2017-06-04, 2017.42, 0.017497, -0.000498
A/canine/Xian/20170601-157/2017|2017-06-01, 2017.41, 0.018214, 0.000231
A/canine/Xian/20170601-159/2017|2017-06-01, 2017.41, 0.020354, 0.002371
A/canine/Shanghai/20170622-7/2017|2017-06-22, 2017.47, 0.019637, 0.001582
A/canine/Beijing/20170527-146/2017|2017-05-27, 2017.4, 0.018214, 0.000244
A/canine/Beijing/20170528-147/2017|2017-05-28, 2017.41, 0.018214, 0.000232
A/canine/Beijing/20170612-183/2017|2017-06-12, 2017.44, 0.019641, 0.001623
A/canine/Beijing/20170614-185/2017|2017-06-14, 2017.45, 0.019641, 0.001611
A/canine/Nanjing/20170419-12/2017|2017-04-19, 2017.3, 0.019638, 0.001787
A/canine/Nanjing/20170704-53/2017|2017-07-04, 2017.5, 0.018930, 0.000839
A/canine/Shanghai/20170721-36/2017|2017-07-21, 2017.55, 0.018929, 0.000778
A/canine/Nanjing/20170607-40/2017|2017-06-07, 2017.43, 0.019645, 0.001638
A/canine/Shanghai/20170713-18/2017|2017-07-13, 2017.53, 0.019648, 0.001520
A/canine/Nanjing/20170328-7/2017|2017-03-28, 2017.24, 0.020364, 0.002586
A/canine/Nanjing/20170515-25/2017|2017-05-15, 2017.37, 0.019649, 0.001715
A/canine/Nanjing/20170620-47/2017|2017-06-20, 2017.47, 0.019647, 0.001592
A/canine/Beijing/20170501-108/2017|2017-05-01, 2017.33, 0.019630, 0.001743
A/canine/Liaoning/530/2018|2018-01-01, 2018.0, 0.021048, 0.002355
A/canine/Beijing/20170512-133/2017|2017-05-12, 2017.36, 0.018213, 0.000290
A/canine/Beijing/20170417-83/2017|2017-04-17, 2017.29, 0.018927, 0.001089
A/canine/Beijing/20170709-15/2017|2017-07-09, 2017.52, 0.018927, 0.000812
A/canine/Beijing/20170512-137/2017|2017-05-12, 2017.36, 0.018926, 0.001004
A/canine/Beijing/20170711-16/2017|2017-07-11, 2017.52, 0.018926, 0.000811
A/canine/Beijing/20170512-120/2017|2017-05-12, 2017.36, 0.019636, 0.001713
A/canine/Beijing/20161216-8/2016|2016-12-16, 2016.95, 0.019637, 0.002208
A/canine/Beijing/20161228-9/2016|2016-12-28, 2016.98, 0.019637, 0.002172
A/canine/Nanjing/404/2017|2017-11-01, 2017.82, 0.018918, 0.000442
A/canine/Ontario/NCFAD-2018-070-14/2018|2018-03-14, 2018.2, 0.020334, 0.001400
A/canine/Ontario/NCFAD-2018-070-11/2018|2018-03-09, 2018.19, 0.019629, 0.000707
A/canine/Ontario/NCFAD-2018-070-15/2018|2018-03-14, 2018.2, 0.019629, 0.000695
A/canine/Ontario/NCFAD-2018-070-8/2018|2018-03-02, 2018.17, 0.019629, 0.000731
A/canine/Ontario/NCFAD-2018-070-7/2018|2018-03-02, 2018.17, 0.019629, 0.000731
A/canine/Ontario/NCFAD-2018-070-9/2018|2018-03-02, 2018.17, 0.019629, 0.000731
A/canine/Ontario/NCFAD-2018-070-12/2018|2018-03-13, 2018.2, 0.019629, 0.000695
A/canine/Ontario/NCFAD-2018-070-16/2018|2018-03-26, 2018.24, 0.019629, 0.000647
A/canine/Ontario/NCFAD-2018-070-10/2018|2018-03-09, 2018.19, 0.019629, 0.000707
A/canine/Ontario/NCFAD-2018-070-13/2018|2018-03-13, 2018.2, 0.019629, 0.000695
A/canine/Korea/SH6/2017|2017-11-07, 2017.84, 0.018918, 0.000417
A/Canis_lupus_familiaris/USA/150620/2018|2018-08-21, 2018.63, 0.023176, 0.003724
A/Canis_lupus_familiaris/USA/152386/2018|2018-08-23, 2018.64, 0.022472, 0.003007
A/canine/New_Jersey/CRP036/2018|2018-05-13, 2018.36, 0.022474, 0.003347
A/canine/New_York/CRP034/2018|2018-05-07, 2018.35, 0.022474, 0.003359
A/Canis_lupus_familiaris/USA/007781/2018|2018-01-17, 2018.05, 0.021761, 0.003007
A/canine/Nevada/BRW018/2018|2018-03-01, 2018.17, 0.021761, 0.002863
A/Canis_lupus_familiaris/USA/218592/2017|2017-12-30, 2017.99, 0.021761, 0.003079
A/canine/California/BRW003/2018|2018-01-01, 2018.0, 0.021761, 0.003067
A/canine/Ontario/NCFAD-2018-070-5/2018|2018-02-01, 2018.08, 0.021761, 0.002971
A/canine/Ontario/NCFAD-2018-070-2/2018|2018-01-09, 2018.02, 0.021761, 0.003043
A/canine/Ontario/NCFAD-2018-070-4/2018|2018-01-26, 2018.07, 0.021761, 0.002983
A/canine/Ontario/NCFAD-2018-070-1/2018|2018-01-09, 2018.02, 0.021761, 0.003043
A/canine/Nevada/BRW015/2018|2018-02-07, 2018.1, 0.021761, 0.002947
A/canine/Ontario/NCFAD-2018-070-3/2018|2018-01-13, 2018.04, 0.021761, 0.003019
A/canine/Ontario/NCFAD-2018-001-4/2018|2018-01-05, 2018.01, 0.021761, 0.003055
A/Canis_lupus_familiaris/USA/006974/2018|2018-01-17, 2018.05, 0.021761, 0.003007
A/canine/California/BRW002/2018|2018-01-06, 2018.02, 0.021761, 0.003043
A/canine/China/QiaoKe01/2017|2017-05-01, 2017.33, 0.018915, 0.001029
A/canine/Henan/L03/2018|2018-05-01, 2018.33, 0.020343, 0.001253
A/canine/Henan/L02/2018|2018-03-01, 2018.17, 0.021059, 0.002161
A/canine/Henan/L06/2018|2018-05-01, 2018.33, 0.023920, 0.004829
A/canine/China/HN3/2018|2018-05-22, 2018.39, 0.018923, -0.000240
A/canine/China/HN6/2018|2018-06-03, 2018.42, 0.018923, -0.000276
A/Canis_lupus_familiaris/USA/188226/2017|2017-10-31, 2017.82, 0.019625, 0.001148
A/canine/Ohio/A82/2017|2017-10-28, 2017.82, 0.018921, 0.000445
A/canine/Ohio/188191/2017|2017-10-31, 2017.82, 0.018922, 0.000445
A/Canis_lupus_familiaris/USA/188203/2017|2017-10-31, 2017.82, 0.018920, 0.000443
A/canine/Illinois/A37/2017|2017-11-01, 2017.82, 0.018920, 0.000443
A/Canis_lupus_familiaris/USA/118191/2017|2017-10-31, 2017.82, 0.018920, 0.000443
A/canine/Ohio/174509/2017|2017-10-08, 2017.76, 0.018209, -0.000195
A/canine/Ohio/A97/2017|2017-10-28, 2017.82, 0.018209, -0.000267
A/Canis_lupus_familiaris/USA/188297/2017|2017-10-31, 2017.82, 0.018209, -0.000267
A/Canis_lupus_familiaris/USA/007780/2018|2018-01-17, 2018.05, 0.018209, -0.000544
A/Canis_lupus_familiaris/USA/188305/2017|2017-10-31, 2017.82, 0.018209, -0.000267
A/canine/Ohio/A91/2017|2017-10-28, 2017.82, 0.018209, -0.000267
A/canine/Kentucky/174490/2017|2017-10-09, 2017.76, 0.018209, -0.000195
A/Canis_lupus_familiaris/USA/000915/2018|2018-01-03, 2018.01, 0.018209, -0.000496
A/canine/Beijing/308/2017|2017-09-01, 2017.66, 0.018918, 0.000634
A/canine/Tianjin/368/2017|2017-11-01, 2017.82, 0.018918, 0.000441
A/canine/Florida/20170606-11/2017|2017-04-01, 2017.25, 0.017502, -0.000288
A/canine/Beijing/20170510-118/2017|2017-05-10, 2017.36, 0.018218, 0.000296
A/canine/Beijing/20170610-173/2017|2017-06-10, 2017.44, 0.018933, 0.000915
A/canine/Beijing/20170610-174/2017|2017-06-10, 2017.44, 0.018933, 0.000915
A/canine/Beijing/20170615-195/2017|2017-06-15, 2017.45, 0.018933, 0.000903
A/canine/Beijing/20170618-206/2017|2017-06-18, 2017.46, 0.018933, 0.000890
A/canine/Beijing/20170610-172/2017|2017-06-10, 2017.44, 0.018933, 0.000915
A/canine/Beijing/20170616-200/2017|2017-06-16, 2017.45, 0.018933, 0.000903
A/canine/California/84315/2017|2017-05-18, 2017.38, 0.019637, 0.001690
A/canine/Shanghai/354/2017|2017-10-01, 2017.74, 0.020350, 0.001969
A/canine/Shanghai/159/2017|2017-10-01, 2017.74, 0.020350, 0.001969
A/canine/Shanxi/361/2017|2017-10-01, 2017.74, 0.020350, 0.001969
A/canine/China/Shanghai-0315-2019/2019|2019-03-08, 2019.19, 0.021776, 0.001650
A/canine/California/CVM-1738411/2019|2019-06-01, 2019.41, 0.023194, 0.002803
A/canine/California/M19-17384-10-1/2019|2019-06-01, 2019.41, 0.023194, 0.002803
A/canine/California/CVM-17384101/2019|2019-06-01, 2019.41, 0.023194, 0.002803
A/canine/California/M19-17384-1-1/2019|2019-06-01, 2019.41, 0.023194, 0.002803
A/canine/Ontario/NCFAD-2018-069-9/2018|2018-10-24, 2018.81, 0.023898, 0.004229
A/canine/Ontario/NCFAD-2018-069-1/2018|2018-10-22, 2018.8, 0.023194, 0.003537
A/canine/Ontario/NCFAD-2018-069-6/2018|2018-10-22, 2018.8, 0.023194, 0.003537
A/canine/Ontario/NCFAD-2018-064-1/2018|2018-10-15, 2018.78, 0.023194, 0.003561
A/canine/Ontario/NCFAD-2018-069-10/2018|2018-10-18, 2018.79, 0.023194, 0.003549
A/canine/Liaoning/284/2017|2017-08-01, 2017.58, 0.017504, -0.000684
A/canine/Georgia/20170606-19/2017|2017-05-25, 2017.4, 0.017504, -0.000467
A/canine/Kentucky/128656/2017|2017-07-26, 2017.56, 0.017504, -0.000660
