#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.115482, 0.001134
A/canine/Singapore/SG_NParks_CIV_M10305/2018|2018-06-01, 2018.41, 0.120526, -0.001135
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.095139, -0.012390
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.098546, -0.013152
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.109841, 0.002111
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.109156, 0.000579
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.111845, 0.002691
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.104637, -0.010464
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.104637, -0.009710
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.104638, -0.003586
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.108720, -0.001553
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.106644, -0.001969
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.107322, -0.005707
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.108663, -0.003294
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.108663, -0.003483
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.108663, -0.003389
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.108663, -0.002988
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.108663, -0.003483
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.106659, -0.005039
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.106659, -0.005581
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.106659, -0.005404
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.106659, -0.005204
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.106659, -0.005404
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.110005, -0.002624
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.107994, -0.003787
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.107994, -0.003787
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.107996, -0.003703
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.111344, -0.000331
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.112679, 0.000910
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.117418, 0.005731
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.117418, 0.005731
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.111331, -0.001804
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.109330, -0.006254
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.109999, -0.006563
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.110001, -0.005583
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.110670, -0.002359
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.109328, -0.003701
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.109328, -0.006927
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.109328, -0.007234
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.109328, -0.006927
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.112016, -0.003497
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.114024, -0.000418
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.116028, 0.001469
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.120736, 0.006577
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.122062, 0.007126
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.120727, 0.005779
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.124747, 0.007020
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.123413, 0.005709
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.123413, 0.005697
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.122061, 0.006831
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.122061, 0.006783
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.128770, 0.008499
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.128770, 0.008475
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.131456, 0.012693
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.130796, 0.012032
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.127414, 0.009710
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.126748, 0.008055
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.126748, 0.008055
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.123401, 0.006922
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.123402, 0.007029
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.123402, 0.006899
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.122735, 0.006373
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.122737, 0.006376
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.123406, 0.007116
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.124746, 0.008373
A/canine/Korea/CY009/2010|2010-10-01, 2010.74, 0.110670, -0.001959
A/canine/Korea/CY053/2014|2014-03-02, 2014.17, 0.110670, -0.005997
A/canine/Korea/AS-01/2009|2009-09-18, 2009.71, 0.111138, -0.000278
A/canine/Korea/KRIBB01/2011|2011-11-01, 2011.82, 0.110666, -0.003234
A/canine/Korea/S1/2012|2012-11-05, 2012.84, 0.112580, -0.002521
A/canine/Korea/AS-05/2012|2012-07-14, 2012.53, 0.113357, -0.001379
A/canine/Korea/AS-08/2012|2012-09-17, 2012.7, 0.113358, -0.001579
A/canine/Korea/AS-09/2012|2012-10-15, 2012.78, 0.113358, -0.001673
A/canine/Korea/AS-11/2013|2013-06-08, 2013.43, 0.113809, -0.001987
A/canine/Korea/AS-06/2012|2012-08-24, 2012.64, 0.113811, -0.001055
A/canine/Korea/AS-04/2012|2012-06-11, 2012.44, 0.113145, -0.001485
A/canine/Korea/AS-14/2013|2013-08-09, 2013.6, 0.113145, -0.002851
A/canine/Korea/AS-03/2012|2012-05-10, 2012.36, 0.113145, -0.001391
A/canine/Korea/AS-15/2013|2013-09-11, 2013.69, 0.113145, -0.002957
A/canine/Korea/DG1/2014|2014-02-13, 2014.12, 0.115831, -0.000778
A/canine/Korea/SH1/2014|2014-09-01, 2014.66, 0.117157, -0.000087
A/canine/Korea/SH3/2016|2016-07-22, 2016.55, 0.118501, -0.000969
A/canine/Korea/SH2/2016|2016-07-22, 2016.55, 0.118501, -0.000969
A/canine/Korea/SH4/2016|2016-07-22, 2016.55, 0.118501, -0.000969
A/canine/Korea/0589318/2015|2015-03-05, 2015.18, 0.118497, 0.000641
A/canine/South_Korea/0173915/2015|2015-11-01, 2015.82, 0.118497, -0.000113
A/canine/Illinois/187427-16-7/2016|2016-04-01, 2016.25, 0.121841, 0.002724
A/canine/Illinois/091375-16-1-1/2016|2016-09-01, 2016.66, 0.121178, 0.001578
A/canine/Indiana/093165-16-1-1/2016|2016-09-01, 2016.66, 0.121178, 0.001578
A/canine/Illinois/20170110-2F1/2016|2016-04-01, 2016.25, 0.121844, 0.002727
A/canine/Illinois/20170110-2G1/2016|2016-04-01, 2016.25, 0.121844, 0.002727
A/canine/Illinois/20170110-1G4/2016|2016-04-01, 2016.25, 0.120511, 0.001394
A/canine/Indiana/17031-16-2/2016|2016-09-01, 2016.66, 0.120511, 0.000911
A/canine/Illinois/20170110-1A4/2016|2016-09-01, 2016.66, 0.120511, 0.000911
A/canine/Indiana/132276-16-1-2/2016|2016-09-01, 2016.66, 0.120511, 0.000911
A/canine/Illinois/20170110-1G12/2016|2016-04-01, 2016.25, 0.120513, 0.001396
A/canine/Indiana/M16-09378-32-1/2016|2016-04-05, 2016.26, 0.121182, 0.002053
A/dog/Indiana/M16-09378-32-1/2016|2016-04-05, 2016.26, 0.121182, 0.002053
A/canine/Illinois/M17-05782-11-1/2017|2017-04-01, 2017.25, 0.122519, 0.002225
A/canine/Illinois/M17-05782-8-1/2017|2017-04-01, 2017.25, 0.122519, 0.002225
A/canine/Illinois/M17-05782-4-1/2017|2017-04-01, 2017.25, 0.122519, 0.002225
A/canine/Illinois/M17-05782-1-1/2017|2017-04-01, 2017.25, 0.122519, 0.002225
A/canine/Illinois/M17-05782-7-1/2017|2017-04-01, 2017.25, 0.122519, 0.002225
A/canine/Illinois/M16-16391-2-1/2016|2016-04-01, 2016.25, 0.121185, 0.002069
A/canine/Illinois/M16-25374-14-1/2016|2016-04-01, 2016.25, 0.121185, 0.002068
A/canine/Illinois/M16-30480-3-1/2016|2016-04-01, 2016.25, 0.121185, 0.002068
A/canine/Pennsylvania/20170411-5/2017|2017-04-01, 2017.25, 0.121185, 0.000891
A/canine/Illinois/145135-16-3-1/2016|2016-09-01, 2016.66, 0.121185, 0.001586
A/canine/Indiana/1177-17-1/2017|2017-09-01, 2017.66, 0.121185, 0.000408
A/canine/Pennsylvania/0261885/2015|2015-09-01, 2015.66, 0.117831, -0.000591
A/canine/Illinois/12191/2015|2015-04-15, 2015.29, 0.117831, -0.000156
A/canine/Illinois/41915/2015|2015-09-01, 2015.66, 0.117831, -0.000591
A/canine/Indiana/2093681/2015|2015-09-01, 2015.66, 0.117831, -0.000591
A/canine/Illinois/I0182389/2015|2015-09-01, 2015.66, 0.117833, -0.000589
A/canine/Illinois/0843093/2015|2015-03-30, 2015.25, 0.118504, 0.000564
A/canine/Illinois/2883703/2015|2015-05-07, 2015.35, 0.118504, 0.000447
A/canine/Illinois/1619144/2015|2015-04-14, 2015.28, 0.118504, 0.000529
A/canine/Texas/2100186/2015|2015-09-01, 2015.66, 0.118504, 0.000082
A/canine/Georgia/104940/2015|2015-07-17, 2015.54, 0.119172, 0.000891
A/canine/Florida/269770/2015|2015-11-01, 2015.82, 0.119172, 0.000562
A/canine/Georgia/95391/2015|2015-07-13, 2015.53, 0.118508, 0.000239
A/canine/Georgia/42632/2015|2015-06-12, 2015.44, 0.118508, 0.000345
A/canine/Indiana/96198/2015|2015-07-02, 2015.5, 0.118508, 0.000275
A/canine/Georgia/101875/2015|2015-09-01, 2015.66, 0.118508, 0.000086
A/canine/North_Carolina/103297/2015|2015-09-01, 2015.66, 0.118508, 0.000086
A/canine/Wisconsin/19137/2016|2016-02-08, 2016.1, 0.119171, 0.000230
A/canine/Illinois/283066/2015|2015-11-01, 2015.82, 0.118510, -0.000101
A/canine/Illinois/278597/2016|2016-09-01, 2016.66, 0.118510, -0.001090
A/canine/North_Carolina/109904/2015|2015-07-29, 2015.57, 0.118510, 0.000194
A/canine/Illinois/077753/2016|2016-11-01, 2016.82, 0.119176, -0.000612
A/canine/Illinois/077752/2016|2016-09-01, 2016.66, 0.119176, -0.000423
A/canine/Illinois/M16-25374-19-1/2016|2016-04-01, 2016.25, 0.119176, 0.000060
A/canine/Indiana/003018/2016|2016-11-01, 2016.82, 0.119844, 0.000056
A/canine/Illinois/328292/2015|2015-11-01, 2015.82, 0.119179, 0.000569
A/canine/Texas/343907/2015|2015-12-22, 2015.96, 0.119179, 0.000404
