	given_date	apparent_date	residual
A/canine/Beijing/20150124-300/2015|2015-01-24	2015.07	1982.975940302009	-9.947361578192206
A/canine/Beijing/20150120-265/2015|2015-01-20	2015.05	1995.9308963341145	-5.925851668662753
A/canine/Beijing/20150122-284/2015|2015-01-22	2015.06	1995.9308963341145	-5.928951108768434
A/canine/Beijing/20131204-349/2013|2013-12-04	2013.92	1999.420491883772	-4.494035696801613
A/canine/Beijing/20121230-62/2012|2012-12-30	2012.99	1999.4213306865124	-4.205527785088305
A/canine/Beijing/20150118-256/2015|2015-01-18	2015.05	1999.4213306865124	-4.8440124468575405
A/canine/China/LG1/2015|2015-12-16	2015.95	2001.9861546026366	-4.328010245405224
A/canine/China/LG2/2015|2015-12-16	2015.95	2001.1313139535907	-4.592962984566717
A/canine/China/JLM2/2015|2015-11-25	2015.89	2001.1321192042217	-4.574116761322563
A/canine/China/JLM1/2015|2015-11-25	2015.89	2001.9924623992463	-4.307458540992096
A/canine/Beijing/20131203-341/2013|2013-12-03	2013.91	2000.3488200409258	-4.20320650454486
A/canine/California/043670/2017|2017-03-24	2017.23	2004.060765421073	-4.081725381498577
A/canine/California/20170411-20/2017|2017-04-01	2017.25	2004.060765421073	-4.087924261709821
A/canine/Beijing/20131207-365/2013|2013-12-07	2013.92	2000.347981238185	-4.206565926536086
A/canine/Beijing/20140110-2/2014|2014-01-10	2014.03	2000.347981238185	-4.24065976769845
A/canine/Beijing/20131112-279/2013|2013-11-12	2013.85	2000.347981238185	-4.184869845796328
A/canine/Beijing/20131203-342/2013|2013-12-03	2013.91	2000.347981238185	-4.203466486430407
A/canine/Beijing/20121215-34/2012|2012-12-15	2012.95	1998.4968526339383	-4.479666459962144
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2020.1156008615048	5.822484471937559
