	given_date	apparent_date	residual
A/canine/Korea/AS-01/2009|2009-09-18	2009.71	2000.243355249006	-4.04294440541063
A/canine/Guangdong/03/2013|2013-11-01	2013.82	2004.2782794724203	-4.075007211073242
A/canine/Beijing/20150122-284/2015|2015-01-22	2015.06	2027.5144289731195	5.318945124054694
A/canine/Beijing/20150120-265/2015|2015-01-20	2015.05	2025.7532890106636	4.571081260930616
A/canine/Beijing/20150124-300/2015|2015-01-24	2015.07	2025.7532890106636	4.562539809314413
A/canine/China/LG1/2015|2015-12-16	2015.95	2034.3797122018818	7.870824753628044
A/canine/China/LG2/2015|2015-12-16	2015.95	2032.653713972639	7.13369823539326
A/canine/Korea/CY053/2014|2014-03-02	2014.17	2004.2906272470655	-4.219209218371617
A/canine/Korea/KRIBB01/2011|2011-11-01	2011.82	2000.2479505920242	-4.942105005915521
A/canine/Korea/S1/2012|2012-11-05	2012.84	2002.976413000285	-4.212467556004111
A/canine/Korea/AS-15/2013|2013-09-11	2013.69	2004.2965694662314	-4.011676620708335
A/canine/Korea/AS-05/2012|2012-07-14	2012.53	2003.1585361148525	-4.002295267389832
A/canine/Korea/AS-08/2012|2012-09-17	2012.7	2003.1598478630126	-4.074337394455314
A/canine/Korea/AS-09/2012|2012-10-15	2012.78	2003.1598478630126	-4.108503200920125
A/canine/Korea/VC123578/2012|2012-03-13	2012.2	2243.168100065228	98.64014257944882
A/canine/China/11071/2019|2019-02-11	2019.11	2085.631566611793	28.409537132367998
A/canine/Guangdong/GY01/2018|2018-05-01	2018.33	2085.631566611793	28.742653745399164
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2021.673218640031	8.688030886563409
A/canine/Beijing/CAU-510/2010|2010-05-01	2010.33	2021.0973480802045	4.598439133083735
A/canine/Beijing/CAU-JC2538/2010|2010-08-01	2010.58	2021.6768652999165	4.739166902527127
A/canine/Beijing/CAU-JC2550/2010|2010-08-01	2010.58	2021.6768652999165	4.739166902527127
