#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.053724, 0.000533
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.052657, -0.000533
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.041357, -0.004361
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.043699, -0.002238
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.042764, -0.004102
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.042302, -0.005197
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.044630, -0.002275
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.044224, -0.002254
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.044224, -0.009792
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.047271, -0.001453
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.053699, 0.001954
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.056025, 0.004164
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.053695, -0.001587
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.052762, 0.001017
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.055085, -0.000196
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.053688, -0.000858
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.055083, 0.000537
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.052762, -0.002855
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.052762, -0.002855
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.050257, -0.000210
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.050262, -0.000025
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.050263, -0.000423
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.050263, -0.000423
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.048568, -0.001706
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.050433, -0.000874
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.053702, 0.001957
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.051831, 0.001545
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.051834, 0.001056
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.051834, 0.000953
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.048570, -0.001717
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.048570, -0.001794
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.048570, -0.001807
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.048570, -0.001704
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.048570, -0.001691
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.048570, -0.001807
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.051833, 0.001159
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.051373, 0.000803
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.051373, 0.001138
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.051373, 0.000596
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.049506, -0.004962
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.051368, -0.001926
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.053690, 0.000267
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.055890, 0.002906
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.059761, 0.005925
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.058368, 0.004519
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.062588, 0.002905
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.062588, 0.002879
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.058369, 0.001487
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.058832, 0.001963
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.058832, 0.001937
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.055575, 0.001416
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.056509, 0.002298
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.057903, 0.002492
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.059300, 0.002430
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.058373, 0.000419
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.059301, 0.001348
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.061637, 0.003607
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.064922, 0.006891
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.057436, 0.001909
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.057903, 0.002492
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.057903, 0.002350
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.056977, 0.001579
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.056977, 0.001657
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.056977, 0.001579
A/canine/Korea/AS-01/2009|2009-09-18, 2009.71, 0.048106, -0.001871
A/canine/Korea/KRIBB01/2011|2011-11-01, 2011.82, 0.047641, -0.005059
A/canine/Korea/CY009/2010|2010-10-01, 2010.74, 0.048105, -0.003201
A/canine/Korea/CY053/2014|2014-03-02, 2014.17, 0.049037, -0.006696
A/canine/Korea/S1/2012|2012-11-05, 2012.84, 0.050433, -0.003583
A/canine/Korea/AS-09/2012|2012-10-15, 2012.78, 0.051846, -0.002094
A/canine/Korea/AS-05/2012|2012-07-14, 2012.53, 0.053238, -0.000379
A/canine/Korea/AS-08/2012|2012-09-17, 2012.7, 0.052310, -0.001526
A/canine/Korea/DG1/2014|2014-02-13, 2014.12, 0.054650, -0.001019
A/canine/Korea/AS-06/2012|2012-08-24, 2012.64, 0.053239, -0.000520
A/canine/Korea/AS-11/2013|2013-06-08, 2013.43, 0.057429, 0.002651
A/canine/Korea/AS-14/2013|2013-08-09, 2013.6, 0.053239, -0.001759
A/canine/Korea/AS-04/2012|2012-06-11, 2012.44, 0.052779, -0.000722
A/canine/Korea/AS-03/2012|2012-05-10, 2012.36, 0.052779, -0.000618
A/canine/Korea/AS-15/2013|2013-09-11, 2013.69, 0.052779, -0.002335
A/canine/Korea/SH1/2014|2014-09-01, 2014.66, 0.054165, -0.002201
A/canine/Korea/BD-1/2013|2013-05-30, 2013.41, 0.053234, -0.001519
A/canine/Texas/2100186/2015|2015-09-01, 2015.66, 0.057920, 0.000264
A/canine/Illinois/1619144/2015|2015-04-14, 2015.28, 0.057924, 0.000758
A/canine/Illinois/2883703/2015|2015-05-07, 2015.35, 0.057924, 0.000668
A/canine/Florida/269770/2015|2015-11-01, 2015.82, 0.058858, 0.000995
A/canine/Georgia/42632/2015|2015-06-12, 2015.44, 0.058858, 0.001485
A/canine/Georgia/101875/2015|2015-09-01, 2015.66, 0.060251, 0.002594
A/canine/Georgia/104940/2015|2015-07-17, 2015.54, 0.059789, 0.002287
A/canine/Indiana/96198/2015|2015-07-02, 2015.5, 0.059789, 0.002339
A/canine/Georgia/95391/2015|2015-07-13, 2015.53, 0.059328, 0.001839
A/canine/North_Carolina/103297/2015|2015-09-01, 2015.66, 0.059328, 0.001671
A/canine/Illinois/278597/2016|2016-09-01, 2016.66, 0.060256, 0.001309
A/canine/Illinois/283066/2015|2015-11-01, 2015.82, 0.060256, 0.002393
A/canine/North_Carolina/109904/2015|2015-07-29, 2015.57, 0.057931, 0.000390
A/canine/Indiana/003018/2016|2016-11-01, 2016.82, 0.059790, 0.000636
A/canine/Illinois/328292/2015|2015-11-01, 2015.82, 0.059329, 0.001466
A/canine/Texas/343907/2015|2015-12-22, 2015.96, 0.059329, 0.001285
A/canine/Wisconsin/19137/2016|2016-02-08, 2016.1, 0.059789, 0.001565
A/canine/Illinois/M16-25374-19-1/2016|2016-04-01, 2016.25, 0.061186, 0.002768
A/canine/Illinois/077752/2016|2016-09-01, 2016.66, 0.061653, 0.002706
A/canine/Illinois/077753/2016|2016-11-01, 2016.82, 0.061653, 0.002499
A/canine/Illinois/0843093/2015|2015-03-30, 2015.25, 0.057458, 0.000331
A/canine/Illinois/I0182389/2015|2015-09-01, 2015.66, 0.056998, -0.000658
A/canine/Pennsylvania/0261885/2015|2015-09-01, 2015.66, 0.057000, -0.000656
A/canine/Illinois/41915/2015|2015-09-01, 2015.66, 0.057000, -0.000656
A/canine/Illinois/12191/2015|2015-04-15, 2015.29, 0.057000, -0.000179
A/canine/Indiana/2093681/2015|2015-09-01, 2015.66, 0.057468, -0.000189
A/canine/Korea/0589318/2015|2015-03-05, 2015.18, 0.059331, 0.002294
A/canine/South_Korea/0173915/2015|2015-11-01, 2015.82, 0.059332, 0.001469
A/canine/Illinois/20170110-1G4/2016|2016-04-01, 2016.25, 0.057467, -0.000951
A/canine/Illinois/20170110-2G1/2016|2016-04-01, 2016.25, 0.057467, -0.000951
A/canine/Illinois/20170110-2F1/2016|2016-04-01, 2016.25, 0.057467, -0.000951
A/canine/Illinois/20170110-1A4/2016|2016-09-01, 2016.66, 0.057467, -0.001480
A/canine/Indiana/132276-16-1-2/2016|2016-09-01, 2016.66, 0.057467, -0.001480
A/canine/Illinois/187427-16-7/2016|2016-04-01, 2016.25, 0.058867, 0.000449
A/canine/Indiana/17031-16-2/2016|2016-09-01, 2016.66, 0.058868, -0.000079
A/canine/Indiana/M16-09378-32-1/2016|2016-04-05, 2016.26, 0.058401, -0.000030
A/dog/Indiana/M16-09378-32-1/2016|2016-04-05, 2016.26, 0.058401, -0.000030
A/canine/Illinois/20170110-1G12/2016|2016-04-01, 2016.25, 0.057472, -0.000946
A/canine/Illinois/091375-16-1-1/2016|2016-09-01, 2016.66, 0.058403, -0.000545
A/canine/Indiana/093165-16-1-1/2016|2016-09-01, 2016.66, 0.057940, -0.001007
A/canine/Illinois/145135-16-3-1/2016|2016-09-01, 2016.66, 0.057942, -0.001005
A/canine/Illinois/M16-30480-3-1/2016|2016-04-01, 2016.25, 0.058404, -0.000014
A/canine/Illinois/M16-25374-14-1/2016|2016-04-01, 2016.25, 0.059801, 0.001383
A/canine/Indiana/1177-17-1/2017|2017-09-01, 2017.66, 0.059341, -0.000897
A/canine/Illinois/M16-16391-2-1/2016|2016-04-01, 2016.25, 0.059341, 0.000923
A/canine/Pennsylvania/20170411-5/2017|2017-04-01, 2017.25, 0.059341, -0.000368
A/canine/Illinois/M17-05782-11-1/2017|2017-04-01, 2017.25, 0.059801, 0.000092
A/canine/Illinois/M17-05782-7-1/2017|2017-04-01, 2017.25, 0.059801, 0.000092
A/canine/Illinois/M17-05782-8-1/2017|2017-04-01, 2017.25, 0.059801, 0.000092
A/canine/Illinois/M17-05782-1-1/2017|2017-04-01, 2017.25, 0.059801, 0.000092
A/canine/Illinois/M17-05782-4-1/2017|2017-04-01, 2017.25, 0.059801, 0.000092
A/canine/Korea/SH5/2015|2015-11-20, 2015.88, 0.057049, -0.000892
A/canine/South_Korea/20170110-1F1/2016|2016-04-01, 2016.25, 0.059374, 0.000956
A/canine/Korea/SH4/2016|2016-07-22, 2016.55, 0.059857, 0.001052
A/canine/Korea/SH2/2016|2016-07-22, 2016.55, 0.059858, 0.001053
A/canine/Korea/SH3/2016|2016-07-22, 2016.55, 0.059858, 0.001053
A/canine/Beijing/20170501-108/2017|2017-05-01, 2017.33, 0.059378, -0.000434
A/canine/Liaoning/530/2018|2018-01-01, 2018.0, 0.061243, 0.000566
A/canine/California/84315/2017|2017-05-18, 2017.38, 0.058921, -0.000955
A/canine/Beijing/20170512-121/2017|2017-05-12, 2017.36, 0.059389, -0.000462
A/canine/Beijing/20170512-122/2017|2017-05-12, 2017.36, 0.058927, -0.000924
A/canine/Shanghai/20170721-36/2017|2017-07-21, 2017.55, 0.058927, -0.001169
A/Canis_lupus_familiaris/USA/150620/2018|2018-08-21, 2018.63, 0.062184, 0.000694
A/Canis_lupus_familiaris/USA/152386/2018|2018-08-23, 2018.64, 0.062184, 0.000681
A/canine/New_Jersey/CRP036/2018|2018-05-13, 2018.36, 0.060326, -0.000816
A/canine/New_York/CRP034/2018|2018-05-07, 2018.35, 0.060325, -0.000803
A/canine/Korea/SH6/2017|2017-11-07, 2017.84, 0.060324, -0.000147
A/Canis_lupus_familiaris/USA/007781/2018|2018-01-17, 2018.05, 0.059862, -0.000879
A/canine/Ontario/NCFAD-2018-070-3/2018|2018-01-13, 2018.04, 0.059862, -0.000866
A/Canis_lupus_familiaris/USA/218592/2017|2017-12-30, 2017.99, 0.059862, -0.000802
A/canine/Ontario/NCFAD-2018-070-4/2018|2018-01-26, 2018.07, 0.059862, -0.000905
A/canine/Nevada/BRW018/2018|2018-03-01, 2018.17, 0.059862, -0.001034
A/canine/Ontario/NCFAD-2018-070-2/2018|2018-01-09, 2018.02, 0.059862, -0.000841
A/canine/California/BRW002/2018|2018-01-06, 2018.02, 0.059862, -0.000841
A/canine/Ontario/NCFAD-2018-001-4/2018|2018-01-05, 2018.01, 0.059862, -0.000828
A/canine/Nevada/BRW015/2018|2018-02-07, 2018.1, 0.059862, -0.000944
A/canine/California/BRW003/2018|2018-01-01, 2018.0, 0.059862, -0.000815
A/canine/Ontario/NCFAD-2018-070-5/2018|2018-02-01, 2018.08, 0.059862, -0.000918
A/Canis_lupus_familiaris/USA/006974/2018|2018-01-17, 2018.05, 0.059862, -0.000879
A/canine/Ontario/NCFAD-2018-070-1/2018|2018-01-09, 2018.02, 0.059862, -0.000841
A/canine/Beijing/20170712-18/2017|2017-07-12, 2017.53, 0.059854, -0.000216
A/canine/Beijing/20170510-118/2017|2017-05-10, 2017.36, 0.059391, -0.000460
A/canine/Beijing/20170720-30/2017|2017-07-20, 2017.55, 0.059859, -0.000237
A/canine/Beijing/309/2017|2017-09-01, 2017.66, 0.059394, -0.000844
A/canine/Liaoning/282/2017|2017-08-01, 2017.58, 0.059394, -0.000740
A/canine/Beijing/20170512-120/2017|2017-05-12, 2017.36, 0.060322, 0.000471
A/canine/Beijing/20170527-146/2017|2017-05-27, 2017.4, 0.059394, -0.000509
A/canine/Beijing/20170528-147/2017|2017-05-28, 2017.41, 0.059394, -0.000522
A/canine/Beijing/20170512-133/2017|2017-05-12, 2017.36, 0.059858, 0.000007
A/canine/Beijing/20170512-137/2017|2017-05-12, 2017.36, 0.059395, -0.000456
A/canine/Henan/L03/2018|2018-05-01, 2018.33, 0.059856, -0.001247
A/canine/Henan/L02/2018|2018-03-01, 2018.17, 0.059393, -0.001503
A/canine/China/HN6/2018|2018-06-03, 2018.42, 0.058934, -0.002286
A/canine/China/HN3/2018|2018-05-22, 2018.39, 0.058933, -0.002247
A/canine/Henan/L06/2018|2018-05-01, 2018.33, 0.058933, -0.002170
A/canine/Beijing/20170612-183/2017|2017-06-12, 2017.44, 0.060325, 0.000371
A/canine/Beijing/308/2017|2017-09-01, 2017.66, 0.060327, 0.000089
A/canine/Tianjin/368/2017|2017-11-01, 2017.82, 0.060327, -0.000117
A/canine/Liaoning/284/2017|2017-08-01, 2017.58, 0.059861, -0.000273
A/canine/Shanghai/354/2017|2017-10-01, 2017.74, 0.059401, -0.000940
A/canine/Shanghai/159/2017|2017-10-01, 2017.74, 0.059401, -0.000940
A/canine/Shanxi/361/2017|2017-10-01, 2017.74, 0.059401, -0.000940
A/canine/Nanjing/404/2017|2017-11-01, 2017.82, 0.060326, -0.000119
A/canine/Ontario/NCFAD-2018-070-11/2018|2018-03-09, 2018.19, 0.062186, 0.001264
A/canine/Ontario/NCFAD-2018-070-7/2018|2018-03-02, 2018.17, 0.062186, 0.001290
A/canine/Ontario/NCFAD-2018-070-8/2018|2018-03-02, 2018.17, 0.062186, 0.001290
A/canine/Ontario/NCFAD-2018-070-10/2018|2018-03-09, 2018.19, 0.062186, 0.001264
A/canine/Ontario/NCFAD-2018-070-9/2018|2018-03-02, 2018.17, 0.062186, 0.001290
A/canine/Ontario/NCFAD-2018-070-13/2018|2018-03-13, 2018.2, 0.061722, 0.000787
A/canine/Ontario/NCFAD-2018-070-15/2018|2018-03-14, 2018.2, 0.061722, 0.000787
A/canine/Ontario/NCFAD-2018-070-14/2018|2018-03-14, 2018.2, 0.061722, 0.000787
A/canine/Ontario/NCFAD-2018-070-12/2018|2018-03-13, 2018.2, 0.061722, 0.000787
A/canine/Ontario/NCFAD-2018-070-16/2018|2018-03-26, 2018.24, 0.061722, 0.000735
A/canine/Beijing/20161228-9/2016|2016-12-28, 2016.98, 0.058464, -0.000896
A/canine/Beijing/20170314-73/2017|2017-03-14, 2017.2, 0.058464, -0.001180
A/canine/Beijing/20170424-102/2017|2017-04-24, 2017.31, 0.058464, -0.001322
A/canine/Beijing/20161216-8/2016|2016-12-16, 2016.95, 0.058464, -0.000858
A/canine/China/QiaoKe01/2017|2017-05-01, 2017.33, 0.058464, -0.001348
A/canine/Nanjing/20170704-53/2017|2017-07-04, 2017.5, 0.059396, -0.000636
A/canine/Nanjing/20170607-40/2017|2017-06-07, 2017.43, 0.059398, -0.000544
A/canine/Nanjing/20170515-25/2017|2017-05-15, 2017.37, 0.059398, -0.000466
A/canine/Nanjing/20170419-12/2017|2017-04-19, 2017.3, 0.060324, 0.000551
A/canine/Shanghai/20170622-7/2017|2017-06-22, 2017.47, 0.059861, -0.000131
A/canine/Beijing/20170709-15/2017|2017-07-09, 2017.52, 0.059863, -0.000195
A/canine/Shanghai/20170713-18/2017|2017-07-13, 2017.53, 0.059865, -0.000205
A/canine/Nanjing/20170328-7/2017|2017-03-28, 2017.24, 0.059401, -0.000295
A/canine/Nanjing/20170620-47/2017|2017-06-20, 2017.47, 0.060330, 0.000337
A/canine/Beijing/20170417-83/2017|2017-04-17, 2017.29, 0.058934, -0.000826
A/canine/Beijing/20170604-164/2017|2017-06-04, 2017.42, 0.058934, -0.000994
A/canine/Beijing/20170711-16/2017|2017-07-11, 2017.52, 0.058934, -0.001123
A/canine/Florida/20170606-11/2017|2017-04-01, 2017.25, 0.058942, -0.000766
A/canine/NorthCarolina/20170606-28/2017|2017-04-01, 2017.25, 0.059406, -0.000303
A/canine/North_Carolina/090487/2017|2017-05-26, 2017.4, 0.058939, -0.000964
A/canine/Florida/20170606-17/2017|2017-04-01, 2017.25, 0.058939, -0.000770
A/canine/Florida/20170606-8/2017|2017-04-01, 2017.25, 0.058939, -0.000770
A/canine/Florida/20170606-2/2017|2017-04-01, 2017.25, 0.058939, -0.000770
A/canine/Kentucky/20170606-6/2017|2017-04-01, 2017.25, 0.058939, -0.000770
A/canine/Florida/20170606-18/2017|2017-04-01, 2017.25, 0.058939, -0.000770
A/canine/Kentucky/20170606-23/2017|2017-04-01, 2017.25, 0.058939, -0.000770
A/canine/Georgia/20170606-19/2017|2017-05-25, 2017.4, 0.058939, -0.000964
A/canine/Florida/20170606-7/2017|2017-04-01, 2017.25, 0.058939, -0.000770
A/canine/Georgia/89750.1/2017|2017-05-26, 2017.4, 0.058939, -0.000964
A/canine/Florida/090919/2017|2017-05-26, 2017.4, 0.058939, -0.000964
A/canine/Florida/88807.2/2017|2017-05-25, 2017.4, 0.058939, -0.000964
A/canine/Florida/20170606-9/2017|2017-04-01, 2017.25, 0.059402, -0.000307
A/canine/Minnesota/139684/2017|2017-08-10, 2017.6, 0.059872, -0.000289
A/canine/Kentucky/128656/2017|2017-07-26, 2017.56, 0.059410, -0.000699
A/canine/Indiana/130636/2017|2017-07-29, 2017.57, 0.059409, -0.000713
A/canine/South_Carolina/132956/2017|2017-08-01, 2017.58, 0.059409, -0.000725
A/Canis_lupus_familiaris/USA/007780/2018|2018-01-17, 2018.05, 0.060334, -0.000408
A/Canis_lupus_familiaris/USA/000915/2018|2018-01-03, 2018.01, 0.060336, -0.000354
A/canine/Ohio/A97/2017|2017-10-28, 2017.82, 0.060803, 0.000358
A/canine/Ohio/A91/2017|2017-10-28, 2017.82, 0.060803, 0.000358
A/Canis_lupus_familiaris/USA/188297/2017|2017-10-31, 2017.82, 0.060803, 0.000358
A/canine/Kentucky/174490/2017|2017-10-09, 2017.76, 0.060342, -0.000025
A/canine/Ohio/A82/2017|2017-10-28, 2017.82, 0.060341, -0.000104
