#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.105633, 0.000000
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.105633, 0.000000
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.086631, -0.009943
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.089346, -0.004393
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.098540, 0.002972
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.102149, -0.001183
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.097278, 0.003190
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.093679, -0.001272
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.093679, -0.013269
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.097282, 0.001653
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.101785, 0.003260
A/canine/Korea/AS-01/2009|2009-09-18, 2009.71, 0.100884, 0.000366
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.103283, 0.001985
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.103286, 0.002296
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.103286, 0.002152
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.102078, -0.000556
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.100889, -0.000266
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.100889, -0.000759
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.100889, -0.000266
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.100889, -0.000759
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.105677, -0.000983
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.105677, -0.001004
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.100887, -0.004417
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.112915, 0.001407
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.112915, 0.001427
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.112915, 0.001386
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.103277, -0.003897
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.104471, -0.002785
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.105672, -0.003495
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.112855, -0.000482
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.115257, 0.001920
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.110458, -0.001030
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.111657, -0.001557
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.116446, 0.003233
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.110474, -0.005492
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.110474, -0.005533
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.103280, -0.006071
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.103280, -0.005743
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.103280, -0.006112
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.104473, -0.004694
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.104474, -0.004672
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.104474, -0.004672
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.104466, -0.004495
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.104469, 0.001136
