#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.115496, 0.001146
A/canine/Singapore/SG_NParks_CIV_M10305/2018|2018-06-01, 2018.41, 0.120515, -0.001146
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.095140, -0.012393
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.098549, -0.013152
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.109843, 0.002110
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.109159, 0.000578
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.111848, 0.002690
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.104639, -0.010464
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.104639, -0.009710
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.104640, -0.003588
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.108723, -0.001554
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.106646, -0.001970
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.110004, -0.002627
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.107993, -0.003790
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.107993, -0.003790
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.107995, -0.003706
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.111343, -0.000334
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.112678, 0.000907
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.117417, 0.005728
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.117417, 0.005728
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.106658, -0.005407
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.106658, -0.005407
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.106658, -0.005207
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.106658, -0.005584
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.106661, -0.005040
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.107329, -0.005702
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.108670, -0.003289
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.108670, -0.003478
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.108670, -0.003478
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.108670, -0.002983
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.108670, -0.003384
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.111333, -0.001804
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.109332, -0.006254
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.110001, -0.006562
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.110003, -0.005583
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.110672, -0.002359
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.109330, -0.006927
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.109330, -0.006927
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.109330, -0.007233
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.109330, -0.003701
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.112018, -0.003497
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.114025, -0.000419
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.116030, 0.001469
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.120737, 0.006576
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.122064, 0.007126
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.120729, 0.005778
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.124749, 0.007020
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.123414, 0.005709
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.123414, 0.005697
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.122063, 0.006830
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.122063, 0.006783
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.128771, 0.008499
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.128771, 0.008476
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.131457, 0.012693
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.130796, 0.012032
