#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.053720, 0.000533
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.052655, -0.000533
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.041353, -0.004358
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.043696, -0.002234
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.042762, -0.004098
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.042299, -0.005193
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.044628, -0.002271
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.044222, -0.002250
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.044222, -0.009791
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.047269, -0.001450
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.053697, 0.001956
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.056024, 0.004167
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.053693, -0.001586
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.052760, 0.001019
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.055083, -0.000196
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.053686, -0.000857
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.055082, 0.000539
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.052760, -0.002854
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.052760, -0.002854
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.050255, -0.000208
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.050259, -0.000023
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.050261, -0.000421
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.050261, -0.000421
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.048568, -0.001701
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.050430, -0.000872
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.053701, 0.001960
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.051830, 0.001548
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.051832, 0.001059
