#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.004467, 0.003016
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.002168, -0.000943
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.002168, -0.002073
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.007288, 0.006230
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.009110, 0.006691
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.007938, 0.004758
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.008525, -0.007363
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.006758, -0.007654
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.006758, -0.007654
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.009551, 0.003119
A/canine/Korea/AS-01/2009|2009-09-18, 2009.71, 0.010285, 0.001615
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.010282, -0.000002
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.012047, 0.001948
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.012047, 0.001948
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.011461, 0.001547
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.013228, 0.004098
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.012639, 0.002909
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.013816, 0.001987
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.016179, 0.004143
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.015584, 0.003755
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.015582, -0.002566
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.017353, 0.000519
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.016760, -0.001988
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.017351, -0.001397
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.016760, -0.000074
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.017347, -0.000802
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.012648, -0.001396
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.016178, 0.000612
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.016763, 0.001174
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.014401, -0.002295
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.013230, -0.001367
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.013230, -0.001597
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.014408, 0.002579
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.026884, 0.000870
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.026884, 0.000823
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.019132, -0.001854
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.019731, -0.001278
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.019731, -0.001301
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.013819, -0.002415
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.016763, 0.000620
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.023855, 0.000794
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.025048, 0.001987
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.020307, -0.000679
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.021488, -0.001435
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.022077, -0.000846
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.017349, -0.000869
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.016769, -0.001588
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.016769, -0.001588
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.019711, 0.001331
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.017943, -0.000645
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.018530, 0.000151
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.017945, -0.000689
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.010287, 0.000349
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.010288, -0.000757
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.010876, 0.000939
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.011465, 0.002104
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.013228, 0.003682
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.011471, 0.002248
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.012649, 0.003426
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.014998, 0.005614
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.016172, 0.006949
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.012061, 0.002884
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.013236, 0.003851
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.015004, 0.005804
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.014414, 0.005214
A/canine/Korea/KRIBB01/2011|2011-11-01, 2011.82, 0.015586, 0.002050
A/canine/Korea/CY053/2014|2014-03-02, 2014.17, 0.014405, -0.004551
A/canine/Korea/CY009/2010|2010-10-01, 2010.74, 0.015580, 0.004535
A/canine/Korea/AS-06/2012|2012-08-24, 2012.64, 0.020933, 0.005506
A/canine/Korea/AS-03/2012|2012-05-10, 2012.36, 0.022711, 0.007930
A/canine/Korea/AS-04/2012|2012-06-11, 2012.44, 0.021536, 0.006570
A/canine/Korea/AS-11/2013|2013-06-08, 2013.43, 0.026244, 0.008995
A/canine/Korea/AS-14/2013|2013-08-09, 2013.6, 0.022122, 0.004480
A/canine/Korea/AS-15/2013|2013-09-11, 2013.69, 0.022122, 0.004273
A/canine/Korea/S1/2012|2012-11-05, 2012.84, 0.019139, 0.003251
A/canine/Korea/AS-05/2012|2012-07-14, 2012.53, 0.016764, 0.001591
A/canine/Korea/AS-08/2012|2012-09-17, 2012.7, 0.017354, 0.001788
A/canine/Korea/AS-09/2012|2012-10-15, 2012.78, 0.017355, 0.001605
A/canine/Korea/DG1/2014|2014-02-13, 2014.12, 0.020309, 0.001468
A/canine/Korea/BD-1/2013|2013-05-30, 2013.41, 0.016172, -0.001031
A/canine/Korea/SH1/2014|2014-09-01, 2014.66, 0.017939, -0.002148
A/canine/Korea/SH5/2015|2015-11-20, 2015.88, 0.021716, -0.001185
A/canine/South_Korea/20170110-1F1/2016|2016-04-01, 2016.25, 0.019954, -0.003799
A/canine/Korea/SH2/2016|2016-07-22, 2016.55, 0.025251, 0.000805
A/canine/Korea/SH3/2016|2016-07-22, 2016.55, 0.024079, -0.000366
A/canine/Korea/SH4/2016|2016-07-22, 2016.55, 0.024079, -0.000366
A/canine/Illinois/091375-16-1-1/2016|2016-09-01, 2016.66, 0.021132, -0.003567
A/canine/Indiana/093165-16-1-1/2016|2016-09-01, 2016.66, 0.021132, -0.003567
A/canine/Illinois/20170110-2G1/2016|2016-04-01, 2016.25, 0.021717, -0.002037
A/canine/Illinois/20170110-2F1/2016|2016-04-01, 2016.25, 0.023479, -0.000275
A/canine/Indiana/M16-09378-32-1/2016|2016-04-05, 2016.26, 0.020535, -0.003242
A/dog/Indiana/M16-09378-32-1/2016|2016-04-05, 2016.26, 0.020535, -0.003242
A/canine/Illinois/20170110-1G4/2016|2016-04-01, 2016.25, 0.020537, -0.003217
A/canine/Illinois/187427-16-7/2016|2016-04-01, 2016.25, 0.021124, -0.002630
A/canine/Illinois/20170110-1G12/2016|2016-04-01, 2016.25, 0.020542, -0.003211
A/canine/Indiana/17031-16-2/2016|2016-09-01, 2016.66, 0.020542, -0.004157
A/canine/Illinois/20170110-1A4/2016|2016-09-01, 2016.66, 0.020542, -0.004157
A/canine/Indiana/132276-16-1-2/2016|2016-09-01, 2016.66, 0.020542, -0.004157
A/canine/Illinois/M16-16391-2-1/2016|2016-04-01, 2016.25, 0.021131, -0.002623
A/canine/Illinois/M16-25374-14-1/2016|2016-04-01, 2016.25, 0.021129, -0.002624
A/canine/Illinois/145135-16-3-1/2016|2016-09-01, 2016.66, 0.021129, -0.003570
A/canine/Illinois/M16-30480-3-1/2016|2016-04-01, 2016.25, 0.021129, -0.002624
A/canine/Indiana/1177-17-1/2017|2017-09-01, 2017.66, 0.021716, -0.005289
A/canine/Pennsylvania/20170411-5/2017|2017-04-01, 2017.25, 0.021718, -0.004343
A/canine/Illinois/M17-05782-11-1/2017|2017-04-01, 2017.25, 0.022303, -0.003757
A/canine/Illinois/M17-05782-4-1/2017|2017-04-01, 2017.25, 0.022303, -0.003757
A/canine/Illinois/M17-05782-8-1/2017|2017-04-01, 2017.25, 0.022303, -0.003757
A/canine/Illinois/M17-05782-1-1/2017|2017-04-01, 2017.25, 0.022303, -0.003757
A/canine/Illinois/M17-05782-7-1/2017|2017-04-01, 2017.25, 0.022303, -0.003757
A/canine/Illinois/I0182389/2015|2015-09-01, 2015.66, 0.018187, -0.004206
A/canine/Illinois/41915/2015|2015-09-01, 2015.66, 0.018191, -0.004202
A/canine/Illinois/12191/2015|2015-04-15, 2015.29, 0.019365, -0.002175
A/canine/Georgia/95391/2015|2015-07-13, 2015.53, 0.018777, -0.003316
A/canine/Illinois/1619144/2015|2015-04-14, 2015.28, 0.019950, -0.001566
A/canine/Florida/269770/2015|2015-11-01, 2015.82, 0.018190, -0.004572
A/canine/Korea/0589318/2015|2015-03-05, 2015.18, 0.018191, -0.003095
A/canine/Illinois/0843093/2015|2015-03-30, 2015.25, 0.017606, -0.003842
A/canine/Georgia/42632/2015|2015-06-12, 2015.44, 0.017606, -0.004280
A/canine/Pennsylvania/0261885/2015|2015-09-01, 2015.66, 0.017606, -0.004787
A/canine/North_Carolina/103297/2015|2015-09-01, 2015.66, 0.017606, -0.004787
A/canine/Georgia/101875/2015|2015-09-01, 2015.66, 0.017606, -0.004787
A/canine/Texas/2100186/2015|2015-09-01, 2015.66, 0.017606, -0.004787
A/canine/South_Korea/0173915/2015|2015-11-01, 2015.82, 0.017606, -0.005156
A/canine/Georgia/104940/2015|2015-07-17, 2015.54, 0.017606, -0.004510
A/canine/Illinois/2883703/2015|2015-05-07, 2015.35, 0.017606, -0.004072
A/canine/Indiana/2093681/2015|2015-09-01, 2015.66, 0.018189, -0.004204
A/canine/Indiana/96198/2015|2015-07-02, 2015.5, 0.031215, 0.009191
A/canine/North_Carolina/109904/2015|2015-07-29, 2015.57, 0.027076, 0.004891
A/canine/Illinois/278597/2016|2016-09-01, 2016.66, 0.018779, -0.005920
A/canine/Illinois/283066/2015|2015-11-01, 2015.82, 0.018779, -0.003983
A/canine/Texas/343907/2015|2015-12-22, 2015.96, 0.019954, -0.003130
A/canine/Indiana/003018/2016|2016-11-01, 2016.82, 0.019958, -0.005111
A/canine/Illinois/328292/2015|2015-11-01, 2015.82, 0.021139, -0.001623
A/canine/Wisconsin/19137/2016|2016-02-08, 2016.1, 0.019962, -0.003446
A/canine/Illinois/M16-25374-19-1/2016|2016-04-01, 2016.25, 0.020548, -0.003206
A/canine/Illinois/077752/2016|2016-09-01, 2016.66, 0.021138, -0.003561
A/canine/Illinois/077753/2016|2016-11-01, 2016.82, 0.021723, -0.003345
A/canine/Korea/SH6/2017|2017-11-07, 2017.84, 0.027091, -0.000330
A/canine/Nevada/BRW018/2018|2018-03-01, 2018.17, 0.028265, 0.000083
A/Canis_lupus_familiaris/USA/150620/2018|2018-08-21, 2018.63, 0.028858, -0.000385
A/Canis_lupus_familiaris/USA/152386/2018|2018-08-23, 2018.64, 0.028858, -0.000408
A/canine/New_Jersey/CRP036/2018|2018-05-13, 2018.36, 0.028272, -0.000348
A/canine/New_York/CRP034/2018|2018-05-07, 2018.35, 0.028272, -0.000325
A/Canis_lupus_familiaris/USA/007781/2018|2018-01-17, 2018.05, 0.027681, -0.000224
A/canine/Ontario/NCFAD-2018-070-1/2018|2018-01-09, 2018.02, 0.027681, -0.000155
A/canine/Ontario/NCFAD-2018-070-2/2018|2018-01-09, 2018.02, 0.027681, -0.000155
A/canine/Ontario/NCFAD-2018-070-3/2018|2018-01-13, 2018.04, 0.027681, -0.000201
A/canine/Ontario/NCFAD-2018-001-4/2018|2018-01-05, 2018.01, 0.027681, -0.000132
A/canine/California/BRW002/2018|2018-01-06, 2018.02, 0.027681, -0.000155
A/Canis_lupus_familiaris/USA/218592/2017|2017-12-30, 2017.99, 0.027681, -0.000085
A/canine/Nevada/BRW015/2018|2018-02-07, 2018.1, 0.027681, -0.000339
A/canine/Ontario/NCFAD-2018-070-4/2018|2018-01-26, 2018.07, 0.027681, -0.000270
A/canine/Ontario/NCFAD-2018-070-5/2018|2018-02-01, 2018.08, 0.027681, -0.000293
A/Canis_lupus_familiaris/USA/006974/2018|2018-01-17, 2018.05, 0.027681, -0.000224
A/canine/California/BRW003/2018|2018-01-01, 2018.0, 0.027681, -0.000108
A/canine/Ontario/NCFAD-2018-064-1/2018|2018-10-15, 2018.78, 0.028813, -0.000775
A/canine/Ontario/NCFAD-2018-069-1/2018|2018-10-22, 2018.8, 0.029988, 0.000353
A/canine/Ontario/NCFAD-2018-069-6/2018|2018-10-22, 2018.8, 0.029403, -0.000232
A/canine/Ontario/NCFAD-2018-069-10/2018|2018-10-18, 2018.79, 0.029402, -0.000210
A/canine/Ontario/NCFAD-2018-069-9/2018|2018-10-24, 2018.81, 0.029402, -0.000256
A/canine/Beijing/20170604-164/2017|2017-06-04, 2017.42, 0.025858, -0.000594
A/canine/Xian/20170601-157/2017|2017-06-01, 2017.41, 0.024686, -0.001744
A/canine/Xian/20170601-159/2017|2017-06-01, 2017.41, 0.024686, -0.001743
A/canine/Kentucky/174490/2017|2017-10-09, 2017.76, 0.024098, -0.003138
A/canine/China/QiaoKe01/2017|2017-05-01, 2017.33, 0.024098, -0.002147
A/canine/Florida/20170606-11/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Florida/20170606-8/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Georgia/20170606-19/2017|2017-05-25, 2017.4, 0.024098, -0.002308
A/canine/Georgia/89750.1/2017|2017-05-26, 2017.4, 0.024098, -0.002308
A/canine/Beijing/20170512-121/2017|2017-05-12, 2017.36, 0.024098, -0.002216
A/canine/Beijing/20170512-122/2017|2017-05-12, 2017.36, 0.024098, -0.002216
A/canine/Florida/20170606-9/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Florida/090919/2017|2017-05-26, 2017.4, 0.024098, -0.002308
A/Canis_lupus_familiaris/USA/188305/2017|2017-10-31, 2017.82, 0.024098, -0.003277
A/canine/Florida/88807.2/2017|2017-05-25, 2017.4, 0.024098, -0.002308
A/canine/Florida/20170606-18/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Florida/20170606-17/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Kentucky/20170606-6/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Florida/20170606-2/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Beijing/20170501-108/2017|2017-05-01, 2017.33, 0.024098, -0.002147
A/canine/NorthCarolina/20170606-28/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Kentucky/128656/2017|2017-07-26, 2017.56, 0.024098, -0.002677
A/canine/North_Carolina/090487/2017|2017-05-26, 2017.4, 0.024098, -0.002308
A/canine/Kentucky/20170606-23/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Florida/20170606-7/2017|2017-04-01, 2017.25, 0.024098, -0.001962
A/canine/Indiana/130636/2017|2017-07-29, 2017.57, 0.024098, -0.002700
A/canine/Beijing/20170314-73/2017|2017-03-14, 2017.2, 0.024098, -0.001847
A/canine/South_Carolina/132956/2017|2017-08-01, 2017.58, 0.024098, -0.002723
A/Canis_lupus_familiaris/USA/007780/2018|2018-01-17, 2018.05, 0.024695, -0.003210
A/Canis_lupus_familiaris/USA/000915/2018|2018-01-03, 2018.01, 0.026460, -0.001353
A/canine/Beijing/20170712-18/2017|2017-07-12, 2017.53, 0.027053, 0.000347
A/canine/Beijing/20170512-133/2017|2017-05-12, 2017.36, 0.025871, -0.000443
A/canine/Beijing/20170512-137/2017|2017-05-12, 2017.36, 0.027050, 0.000737
A/canine/Nanjing/20170620-47/2017|2017-06-20, 2017.47, 0.026463, -0.000105
A/canine/Nanjing/20170419-12/2017|2017-04-19, 2017.3, 0.025878, -0.000297
A/canine/Nanjing/20170704-53/2017|2017-07-04, 2017.5, 0.026468, -0.000169
A/canine/Nanjing/20170328-7/2017|2017-03-28, 2017.24, 0.026468, 0.000431
A/canine/Nanjing/20170515-25/2017|2017-05-15, 2017.37, 0.025881, -0.000456
A/canine/Nanjing/20170607-40/2017|2017-06-07, 2017.43, 0.027057, 0.000582
A/canine/Beijing/20170510-118/2017|2017-05-10, 2017.36, 0.024696, -0.001618
A/canine/Beijing/20170527-146/2017|2017-05-27, 2017.4, 0.025874, -0.000532
A/canine/Beijing/20170528-147/2017|2017-05-28, 2017.41, 0.028233, 0.001804
A/canine/Beijing/20170616-202/2017|2017-06-16, 2017.45, 0.025872, -0.000649
A/canine/Beijing/20170720-30/2017|2017-07-20, 2017.55, 0.025288, -0.001464
A/canine/Beijing/309/2017|2017-09-01, 2017.66, 0.026462, -0.000544
A/canine/Liaoning/282/2017|2017-08-01, 2017.58, 0.026462, -0.000359
A/canine/Beijing/20170424-102/2017|2017-04-24, 2017.31, 0.024107, -0.002092
A/canine/Shanghai/20170713-18/2017|2017-07-13, 2017.53, 0.025283, -0.001423
A/canine/Shanghai/20170721-36/2017|2017-07-21, 2017.55, 0.024700, -0.002052
A/canine/Shanghai/20170622-7/2017|2017-06-22, 2017.47, 0.025286, -0.001281
A/canine/China/HN3/2018|2018-05-22, 2018.39, 0.025874, -0.002815
A/canine/Henan/L02/2018|2018-03-01, 2018.17, 0.028232, 0.000050
A/canine/China/HN6/2018|2018-06-03, 2018.42, 0.025874, -0.002884
A/canine/Henan/L06/2018|2018-05-01, 2018.33, 0.027052, -0.001499
A/canine/Henan/L03/2018|2018-05-01, 2018.33, 0.028227, -0.000324
A/canine/Minnesota/139684/2017|2017-08-10, 2017.6, 0.024698, -0.002169
A/canine/Ohio/174509/2017|2017-10-08, 2017.76, 0.024698, -0.002538
A/canine/Beijing/20170711-16/2017|2017-07-11, 2017.52, 0.025286, -0.001397
A/canine/Beijing/20170512-120/2017|2017-05-12, 2017.36, 0.025287, -0.001027
A/canine/California/84315/2017|2017-05-18, 2017.38, 0.024700, -0.001660
A/canine/Beijing/20161216-8/2016|2016-12-16, 2016.95, 0.025875, 0.000507
A/canine/Beijing/20161228-9/2016|2016-12-28, 2016.98, 0.025289, -0.000149
A/canine/Beijing/20170417-83/2017|2017-04-17, 2017.29, 0.024697, -0.001455
A/canine/Ohio/A97/2017|2017-10-28, 2017.82, 0.024698, -0.002677
A/canine/Ohio/A91/2017|2017-10-28, 2017.82, 0.024698, -0.002677
A/Canis_lupus_familiaris/USA/188297/2017|2017-10-31, 2017.82, 0.024698, -0.002677
A/canine/Beijing/20170709-15/2017|2017-07-09, 2017.52, 0.024698, -0.001985
A/canine/Illinois/A37/2017|2017-11-01, 2017.82, 0.025286, -0.002089
A/canine/Ohio/188191/2017|2017-10-31, 2017.82, 0.024701, -0.002674
A/Canis_lupus_familiaris/USA/118191/2017|2017-10-31, 2017.82, 0.024703, -0.002672
A/Canis_lupus_familiaris/USA/188226/2017|2017-10-31, 2017.82, 0.024703, -0.002672
A/canine/Ohio/A82/2017|2017-10-28, 2017.82, 0.024703, -0.002672
A/Canis_lupus_familiaris/USA/188203/2017|2017-10-31, 2017.82, 0.024703, -0.002672
A/canine/Beijing/20170612-183/2017|2017-06-12, 2017.44, 0.025279, -0.001219
A/canine/Beijing/20170610-174/2017|2017-06-10, 2017.44, 0.025868, -0.000631
A/canine/Beijing/20170417-81/2017|2017-04-17, 2017.29, 0.025870, -0.000283
A/canine/Beijing/20170618-206/2017|2017-06-18, 2017.46, 0.025874, -0.000670
A/canine/Beijing/20170614-185/2017|2017-06-14, 2017.45, 0.026463, -0.000058
A/canine/Beijing/20170610-173/2017|2017-06-10, 2017.44, 0.025287, -0.001211
A/canine/Beijing/20170616-200/2017|2017-06-16, 2017.45, 0.025287, -0.001234
A/canine/Beijing/20170610-172/2017|2017-06-10, 2017.44, 0.025287, -0.001211
A/canine/Beijing/20170615-195/2017|2017-06-15, 2017.45, 0.025287, -0.001234
A/canine/Beijing/20170528-148/2017|2017-05-28, 2017.41, 0.026461, 0.000032
