#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.059266, 0.000231
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.059266, -0.000462
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.059266, 0.000231
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.022816, -0.039329
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.038260, -0.023862
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.038260, -0.023873
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.042421, -0.018478
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.042422, -0.017469
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.042422, -0.019701
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.045479, -0.017619
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.044460, -0.018638
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.044461, -0.018572
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.045487, -0.017546
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.043527, -0.017360
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.044546, -0.016450
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.047953, -0.016532
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.047953, -0.016554
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.043526, -0.017372
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.043526, -0.017491
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.043526, -0.017296
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.043526, -0.017361
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.041319, -0.018528
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.046437, -0.012424
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.045486, -0.014091
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.045486, -0.014102
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.044447, -0.014674
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.044447, -0.014783
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.046400, -0.013708
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.050499, -0.006955
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.049482, -0.007354
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.049482, -0.007441
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.049482, -0.007527
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.049482, -0.007072
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.049482, -0.007527
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.054534, -0.002129
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.053377, -0.007695
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.053377, -0.006795
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.052404, -0.008668
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.053379, -0.007411
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.055328, -0.004844
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.054354, -0.006436
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.054352, -0.003567
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.052404, -0.005418
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.053378, -0.004444
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.060214, 0.007451
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.059231, 0.005472
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.059320, 0.005918
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.054353, 0.000626
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.055371, 0.002425
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.055371, 0.001114
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.051472, -0.005104
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.050456, -0.006131
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.051478, -0.005271
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.052494, -0.005328
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.051476, -0.005620
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.050457, -0.006141
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.050457, -0.006477
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.050457, -0.006141
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.050457, -0.006477
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.050457, -0.006217
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.050457, -0.006217
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.050457, -0.006130
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.050457, -0.006141
A/canine/Korea/AS-01/2009|2009-09-18, 2009.71, 0.053380, -0.002958
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.065832, 0.010545
A/canine/Korea/S1/2012|2012-11-05, 2012.84, 0.058314, -0.001414
A/canine/Korea/CY009/2010|2010-10-01, 2010.74, 0.056309, -0.001144
A/canine/Korea/CY053/2014|2014-03-02, 2014.17, 0.057328, -0.003842
A/canine/Korea/KRIBB01/2011|2011-11-01, 2011.82, 0.058348, -0.000275
A/canine/Korea/AS-08/2012|2012-09-17, 2012.7, 0.059322, -0.000255
A/canine/Korea/AS-05/2012|2012-07-14, 2012.53, 0.059322, -0.000070
A/canine/Korea/AS-09/2012|2012-10-15, 2012.78, 0.059322, -0.000341
A/canine/Korea/AS-11/2013|2013-06-08, 2013.43, 0.061362, 0.000994
A/canine/Korea/AS-14/2013|2013-08-09, 2013.6, 0.061363, 0.000811
A/canine/Korea/AS-04/2012|2012-06-11, 2012.44, 0.060346, 0.001051
A/canine/Korea/AS-15/2013|2013-09-11, 2013.69, 0.060346, -0.000304
A/canine/Korea/AS-03/2012|2012-05-10, 2012.36, 0.060346, 0.001137
A/canine/Korea/AS-06/2012|2012-08-24, 2012.64, 0.060346, 0.000834
A/canine/Korea/DG1/2014|2014-02-13, 2014.12, 0.067096, 0.005981
A/canine/Korea/BD-1/2013|2013-05-30, 2013.41, 0.060210, -0.000136
A/canine/Korea/0589318/2015|2015-03-05, 2015.18, 0.063136, 0.000873
A/canine/South_Korea/0173915/2015|2015-11-01, 2015.82, 0.063136, 0.000179
A/canine/Illinois/I0182389/2015|2015-09-01, 2015.66, 0.068015, 0.005232
A/canine/Illinois/12191/2015|2015-04-15, 2015.29, 0.067043, 0.004661
A/canine/Pennsylvania/0261885/2015|2015-09-01, 2015.66, 0.068993, 0.006210
A/canine/Georgia/42632/2015|2015-06-12, 2015.44, 0.067044, 0.004499
A/canine/Texas/343907/2015|2015-12-22, 2015.96, 0.067043, 0.003935
A/canine/Indiana/2093681/2015|2015-09-01, 2015.66, 0.067043, 0.004260
A/canine/Indiana/003018/2016|2016-11-01, 2016.82, 0.067043, 0.003003
A/canine/Illinois/283066/2015|2015-11-01, 2015.82, 0.067043, 0.004086
A/canine/Illinois/328292/2015|2015-11-01, 2015.82, 0.067043, 0.004086
A/canine/Illinois/278597/2016|2016-09-01, 2016.66, 0.067043, 0.003176
A/canine/Illinois/2883703/2015|2015-05-07, 2015.35, 0.067043, 0.004596
A/canine/Illinois/41915/2015|2015-09-01, 2015.66, 0.067043, 0.004260
A/canine/North_Carolina/109904/2015|2015-07-29, 2015.57, 0.067043, 0.004357
A/canine/Illinois/1619144/2015|2015-04-14, 2015.28, 0.067043, 0.004671
A/canine/Florida/269770/2015|2015-11-01, 2015.82, 0.067043, 0.004086
A/canine/Texas/2100186/2015|2015-09-01, 2015.66, 0.067043, 0.004260
A/canine/Illinois/0843093/2015|2015-03-30, 2015.25, 0.067044, 0.004705
A/canine/Illinois/077752/2016|2016-09-01, 2016.66, 0.068996, 0.005129
A/canine/Illinois/077753/2016|2016-11-01, 2016.82, 0.068996, 0.004956
A/canine/Wisconsin/19137/2016|2016-02-08, 2016.1, 0.068022, 0.004762
A/canine/Illinois/M16-25374-19-1/2016|2016-04-01, 2016.25, 0.068996, 0.005573
A/canine/Indiana/96198/2015|2015-07-02, 2015.5, 0.068996, 0.006386
A/canine/North_Carolina/103297/2015|2015-09-01, 2015.66, 0.068996, 0.006213
A/canine/Georgia/104940/2015|2015-07-17, 2015.54, 0.068022, 0.005369
A/canine/Georgia/101875/2015|2015-09-01, 2015.66, 0.068022, 0.005239
A/canine/Georgia/95391/2015|2015-07-13, 2015.53, 0.068022, 0.005379
A/canine/Illinois/20170110-2F1/2016|2016-04-01, 2016.25, 0.068995, 0.005572
A/canine/Illinois/20170110-2G1/2016|2016-04-01, 2016.25, 0.068995, 0.005572
A/canine/Indiana/17031-16-2/2016|2016-09-01, 2016.66, 0.068996, 0.005129
A/canine/Illinois/M16-25374-14-1/2016|2016-04-01, 2016.25, 0.068997, 0.005574
A/canine/Pennsylvania/20170411-5/2017|2017-04-01, 2017.25, 0.068997, 0.004491
A/canine/Illinois/M17-05782-7-1/2017|2017-04-01, 2017.25, 0.068997, 0.004491
A/canine/Illinois/M17-05782-1-1/2017|2017-04-01, 2017.25, 0.068997, 0.004491
A/canine/Illinois/M17-05782-8-1/2017|2017-04-01, 2017.25, 0.068997, 0.004491
A/canine/Illinois/M17-05782-4-1/2017|2017-04-01, 2017.25, 0.068997, 0.004491
A/canine/Illinois/M17-05782-11-1/2017|2017-04-01, 2017.25, 0.068997, 0.004491
A/canine/Illinois/M16-16391-2-1/2016|2016-04-01, 2016.25, 0.068997, 0.005574
A/canine/Indiana/1177-17-1/2017|2017-09-01, 2017.66, 0.068997, 0.004047
A/canine/Illinois/145135-16-3-1/2016|2016-09-01, 2016.66, 0.068022, 0.004155
A/canine/Illinois/20170110-1G12/2016|2016-04-01, 2016.25, 0.068022, 0.004599
A/canine/Indiana/M16-09378-32-1/2016|2016-04-05, 2016.26, 0.068022, 0.004589
A/canine/Illinois/20170110-1A4/2016|2016-09-01, 2016.66, 0.068022, 0.004155
A/canine/Indiana/093165-16-1-1/2016|2016-09-01, 2016.66, 0.068022, 0.004155
A/canine/Illinois/187427-16-7/2016|2016-04-01, 2016.25, 0.068022, 0.004599
